seizure_id,district_id,district_name,locality_name,seizure_timestamp,category_id,category_name,seized_quantity,unit_of_measure,seizure_context
SEZ-2026-00017,31,Virudhunagar,Virudhunagar West Industrial Bypass,2024-10-21 18:04:34,2,Synthetic Stimulants / MDMA / Meth,29.94,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00018,24,Nilgiris,Nilgiris East Campus Zone,2026-03-10 07:39:13,6,Unclassified / Suspicious Substance,1.65,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00019,7,Erode,Erode Central Market,2025-03-07 07:03:49,2,Synthetic Stimulants / MDMA / Meth,35.10,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00020,33,Thiruvarur,Thiruvarur South Market,2025-07-19 02:01:33,5,Opioid Analogues / Brown Sugar / Heroin,9.43,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00021,15,Tenkasi,Tenkasi South Industrial Bypass,2025-08-29 15:04:56,1,Commercial Ganja / Cannabis,12.12,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00022,6,Tirunelveli,Tirunelveli North Campus Zone,2025-12-10 23:55:08,4,Chemical Precursors / Ephedrine,39.02,LITRES,WAREHOUSE_RAID
SEZ-2026-00023,1,Chennai,Chennai West Campus Zone,2025-11-16 00:18:45,4,Chemical Precursors / Ephedrine,17.27,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00024,1,Chennai,Chennai North Industrial Bypass,2025-01-21 10:27:00,6,Unclassified / Suspicious Substance,12.82,VIALS,WAREHOUSE_RAID
SEZ-2026-00025,3,Madurai,Madurai West Industrial Bypass,2025-08-24 08:56:56,3,Prescription Narcotics / Codeine / Alprazolam,8.27,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00026,13,Thoothukudi,Thoothukudi South Campus Zone,2025-08-16 18:43:29,6,Unclassified / Suspicious Substance,21.40,KG,WAREHOUSE_RAID
SEZ-2026-00027,22,Dharmapuri,Dharmapuri West Industrial Bypass,2026-08-08 05:17:56,4,Chemical Precursors / Ephedrine,6.56,LITRES,WAREHOUSE_RAID
SEZ-2026-00028,10,Krishnagiri,Krishnagiri East Campus Zone,2025-09-17 00:53:17,3,Prescription Narcotics / Codeine / Alprazolam,28.42,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00029,17,Chengalpattu,Chengalpattu East Market,2026-07-18 08:28:00,1,Commercial Ganja / Cannabis,1.79,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00030,2,Coimbatore,Coimbatore North Industrial Bypass,2025-12-25 01:31:34,2,Synthetic Stimulants / MDMA / Meth,38.47,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00031,26,Ariyalur,Ariyalur Central Industrial Bypass,2024-12-27 05:50:11,1,Commercial Ganja / Cannabis,25.10,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00032,32,Theni,Theni South Market,2026-03-14 18:45:23,3,Prescription Narcotics / Codeine / Alprazolam,42.11,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00033,24,Nilgiris,Nilgiris Central Industrial Bypass,2026-04-20 10:48:43,1,Commercial Ganja / Cannabis,24.02,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00034,36,Ranipet,Ranipet West Market,2025-09-15 04:29:55,5,Opioid Analogues / Brown Sugar / Heroin,17.83,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00035,11,Dindigul,Dindigul East Campus Zone,2026-08-05 13:03:34,5,Opioid Analogues / Brown Sugar / Heroin,23.91,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00036,3,Madurai,Madurai South Industrial Bypass,2024-10-20 02:28:25,3,Prescription Narcotics / Codeine / Alprazolam,13.32,VIALS,WAREHOUSE_RAID
SEZ-2026-00037,7,Erode,Erode West Industrial Bypass,2026-01-09 00:41:52,1,Commercial Ganja / Cannabis,28.56,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00038,9,Vellore,Vellore West Market,2025-01-21 01:15:47,6,Unclassified / Suspicious Substance,1.08,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00039,13,Thoothukudi,Thoothukudi West Industrial Bypass,2026-05-29 19:27:59,2,Synthetic Stimulants / MDMA / Meth,6.84,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00040,12,Thanjavur,Thanjavur West Industrial Bypass,2025-06-20 11:12:50,1,Commercial Ganja / Cannabis,40.87,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00041,4,Salem,Salem West Campus Zone,2025-07-08 00:04:16,4,Chemical Precursors / Ephedrine,0.59,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00042,32,Theni,Theni East Industrial Bypass,2025-07-04 11:23:37,3,Prescription Narcotics / Codeine / Alprazolam,35.28,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00043,4,Salem,Salem East Campus Zone,2025-09-16 09:45:09,1,Commercial Ganja / Cannabis,39.81,KG,WAREHOUSE_RAID
SEZ-2026-00044,10,Krishnagiri,Krishnagiri Central Industrial Bypass,2024-11-15 15:00:35,3,Prescription Narcotics / Codeine / Alprazolam,36.36,LITRES,WAREHOUSE_RAID
SEZ-2026-00045,7,Erode,Erode Central Industrial Bypass,2026-05-12 17:08:02,5,Opioid Analogues / Brown Sugar / Heroin,29.35,LITRES,WAREHOUSE_RAID
SEZ-2026-00046,7,Erode,Erode West Market,2024-11-01 01:55:25,1,Commercial Ganja / Cannabis,17.56,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00047,23,Namakkal,Namakkal Central Industrial Bypass,2026-07-04 07:35:24,1,Commercial Ganja / Cannabis,24.14,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00048,18,Tiruvallur,Tiruvallur North Campus Zone,2026-01-27 20:17:02,1,Commercial Ganja / Cannabis,44.93,LITRES,WAREHOUSE_RAID
SEZ-2026-00049,18,Tiruvallur,Tiruvallur South Campus Zone,2025-10-30 10:43:53,2,Synthetic Stimulants / MDMA / Meth,21.59,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00050,6,Tirunelveli,Tirunelveli South Industrial Bypass,2026-01-14 13:40:24,1,Commercial Ganja / Cannabis,34.11,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00051,19,Cuddalore,Cuddalore North Industrial Bypass,2025-01-01 23:00:43,1,Commercial Ganja / Cannabis,43.31,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00052,12,Thanjavur,Thanjavur Central Campus Zone,2024-09-21 15:32:07,6,Unclassified / Suspicious Substance,41.37,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00053,4,Salem,Salem Central Campus Zone,2026-01-09 05:56:56,1,Commercial Ganja / Cannabis,24.50,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00054,26,Ariyalur,Ariyalur West Market,2025-07-28 16:58:59,1,Commercial Ganja / Cannabis,7.70,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00055,26,Ariyalur,Ariyalur North Campus Zone,2026-01-29 13:54:35,1,Commercial Ganja / Cannabis,40.08,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00056,6,Tirunelveli,Tirunelveli North Campus Zone,2026-08-07 21:44:48,6,Unclassified / Suspicious Substance,30.91,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00057,7,Erode,Erode Central Campus Zone,2026-05-11 04:00:42,6,Unclassified / Suspicious Substance,39.97,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00058,34,Nagapattinam,Nagapattinam West Campus Zone,2026-03-11 04:40:03,6,Unclassified / Suspicious Substance,2.53,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00059,5,Tiruchirappalli,Tiruchirappalli Central Campus Zone,2025-07-21 05:46:28,2,Synthetic Stimulants / MDMA / Meth,45.33,LITRES,WAREHOUSE_RAID
SEZ-2026-00060,17,Chengalpattu,Chengalpattu North Market,2025-08-15 23:57:58,2,Synthetic Stimulants / MDMA / Meth,39.01,VIALS,WAREHOUSE_RAID
SEZ-2026-00061,16,Kancheepuram,Kancheepuram Central Campus Zone,2024-12-25 05:44:12,2,Synthetic Stimulants / MDMA / Meth,42.54,KG,WAREHOUSE_RAID
SEZ-2026-00062,25,Karur,Karur East Market,2025-07-08 17:41:45,2,Synthetic Stimulants / MDMA / Meth,40.95,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00063,9,Vellore,Vellore South Market,2025-02-19 22:45:59,5,Opioid Analogues / Brown Sugar / Heroin,23.83,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00064,18,Tiruvallur,Tiruvallur North Market,2025-08-13 00:59:04,4,Chemical Precursors / Ephedrine,10.67,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00065,3,Madurai,Madurai South Market,2025-05-21 14:03:36,1,Commercial Ganja / Cannabis,43.49,LITRES,WAREHOUSE_RAID
SEZ-2026-00066,20,Viluppuram,Viluppuram East Industrial Bypass,2025-01-08 14:26:29,2,Synthetic Stimulants / MDMA / Meth,10.20,LITRES,WAREHOUSE_RAID
SEZ-2026-00067,21,Kallakurichi,Kallakurichi North Campus Zone,2026-07-31 21:40:55,2,Synthetic Stimulants / MDMA / Meth,40.09,KG,WAREHOUSE_RAID
SEZ-2026-00068,31,Virudhunagar,Virudhunagar West Market,2025-06-18 17:06:54,2,Synthetic Stimulants / MDMA / Meth,41.26,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00069,27,Perambalur,Perambalur West Industrial Bypass,2026-02-12 12:54:58,2,Synthetic Stimulants / MDMA / Meth,38.82,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00070,15,Tenkasi,Tenkasi West Industrial Bypass,2025-11-06 06:59:04,5,Opioid Analogues / Brown Sugar / Heroin,22.40,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00071,28,Pudukkottai,Pudukkottai South Market,2025-02-22 13:52:49,4,Chemical Precursors / Ephedrine,30.32,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00072,30,Ramanathapuram,Ramanathapuram East Market,2025-08-17 02:57:29,2,Synthetic Stimulants / MDMA / Meth,9.16,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00073,30,Ramanathapuram,Ramanathapuram West Market,2025-01-06 16:26:08,1,Commercial Ganja / Cannabis,26.15,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00074,21,Kallakurichi,Kallakurichi South Campus Zone,2025-11-20 09:17:12,6,Unclassified / Suspicious Substance,3.63,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00075,36,Ranipet,Ranipet East Market,2025-05-08 16:53:02,6,Unclassified / Suspicious Substance,29.03,KG,WAREHOUSE_RAID
SEZ-2026-00076,8,Tiruppur,Tiruppur North Market,2024-10-03 17:25:50,4,Chemical Precursors / Ephedrine,38.48,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00077,11,Dindigul,Dindigul North Industrial Bypass,2025-01-22 14:21:15,3,Prescription Narcotics / Codeine / Alprazolam,17.16,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00078,37,Tirupathur,Tirupathur Central Campus Zone,2026-05-10 16:40:04,3,Prescription Narcotics / Codeine / Alprazolam,16.41,LITRES,WAREHOUSE_RAID
SEZ-2026-00079,27,Perambalur,Perambalur Central Campus Zone,2025-08-24 21:40:12,6,Unclassified / Suspicious Substance,45.09,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00080,10,Krishnagiri,Krishnagiri East Industrial Bypass,2024-11-30 18:07:37,2,Synthetic Stimulants / MDMA / Meth,41.16,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00081,35,Mayiladuthurai,Mayiladuthurai Central Industrial Bypass,2024-11-22 19:51:27,2,Synthetic Stimulants / MDMA / Meth,32.48,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00082,9,Vellore,Vellore Central Campus Zone,2026-05-04 13:04:21,4,Chemical Precursors / Ephedrine,13.01,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00083,25,Karur,Karur Central Campus Zone,2024-12-17 03:39:16,4,Chemical Precursors / Ephedrine,42.49,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00084,22,Dharmapuri,Dharmapuri North Campus Zone,2025-09-24 15:47:18,3,Prescription Narcotics / Codeine / Alprazolam,15.14,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00085,9,Vellore,Vellore East Industrial Bypass,2025-01-31 04:51:45,5,Opioid Analogues / Brown Sugar / Heroin,20.64,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00086,31,Virudhunagar,Virudhunagar Central Campus Zone,2025-02-21 16:12:37,3,Prescription Narcotics / Codeine / Alprazolam,10.52,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00087,4,Salem,Salem North Campus Zone,2024-10-09 14:17:05,2,Synthetic Stimulants / MDMA / Meth,5.37,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00088,35,Mayiladuthurai,Mayiladuthurai East Market,2025-09-28 22:18:48,1,Commercial Ganja / Cannabis,22.20,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00089,19,Cuddalore,Cuddalore North Industrial Bypass,2024-12-22 18:26:09,1,Commercial Ganja / Cannabis,36.21,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00090,5,Tiruchirappalli,Tiruchirappalli South Market,2025-07-06 07:59:10,2,Synthetic Stimulants / MDMA / Meth,5.11,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00091,17,Chengalpattu,Chengalpattu East Industrial Bypass,2025-01-27 21:46:58,4,Chemical Precursors / Ephedrine,14.71,KG,WAREHOUSE_RAID
SEZ-2026-00092,10,Krishnagiri,Krishnagiri West Campus Zone,2025-01-12 04:00:53,1,Commercial Ganja / Cannabis,36.56,LITRES,WAREHOUSE_RAID
SEZ-2026-00093,5,Tiruchirappalli,Tiruchirappalli West Campus Zone,2026-02-10 21:30:29,6,Unclassified / Suspicious Substance,16.92,VIALS,WAREHOUSE_RAID
SEZ-2026-00094,10,Krishnagiri,Krishnagiri South Campus Zone,2025-12-14 12:31:53,1,Commercial Ganja / Cannabis,31.88,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00095,37,Tirupathur,Tirupathur East Market,2025-08-31 12:54:54,6,Unclassified / Suspicious Substance,10.01,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00096,36,Ranipet,Ranipet Central Industrial Bypass,2025-07-06 21:10:48,6,Unclassified / Suspicious Substance,13.96,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00097,13,Thoothukudi,Thoothukudi North Market,2025-05-15 15:04:28,6,Unclassified / Suspicious Substance,12.99,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00098,9,Vellore,Vellore West Industrial Bypass,2026-01-16 07:04:28,5,Opioid Analogues / Brown Sugar / Heroin,22.76,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00099,35,Mayiladuthurai,Mayiladuthurai South Market,2025-04-01 15:56:33,5,Opioid Analogues / Brown Sugar / Heroin,25.69,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00100,22,Dharmapuri,Dharmapuri Central Market,2026-02-18 22:14:17,3,Prescription Narcotics / Codeine / Alprazolam,38.40,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00101,19,Cuddalore,Cuddalore East Campus Zone,2026-05-17 19:17:30,3,Prescription Narcotics / Codeine / Alprazolam,23.15,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00102,33,Thiruvarur,Thiruvarur South Campus Zone,2026-05-12 07:11:57,5,Opioid Analogues / Brown Sugar / Heroin,44.47,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00103,29,Sivaganga,Sivaganga West Campus Zone,2025-12-17 22:53:07,5,Opioid Analogues / Brown Sugar / Heroin,35.38,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00104,24,Nilgiris,Nilgiris North Campus Zone,2025-03-03 20:03:38,3,Prescription Narcotics / Codeine / Alprazolam,34.38,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00105,23,Namakkal,Namakkal North Campus Zone,2026-07-31 01:22:52,1,Commercial Ganja / Cannabis,22.89,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00106,38,Tiruvannamalai,Tiruvannamalai West Market,2026-06-04 22:20:15,6,Unclassified / Suspicious Substance,29.38,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00107,11,Dindigul,Dindigul South Market,2026-05-30 01:14:41,1,Commercial Ganja / Cannabis,9.22,VIALS,WAREHOUSE_RAID
SEZ-2026-00108,1,Chennai,Chennai South Campus Zone,2025-01-20 12:51:48,3,Prescription Narcotics / Codeine / Alprazolam,14.81,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00109,28,Pudukkottai,Pudukkottai North Campus Zone,2025-04-10 00:22:05,6,Unclassified / Suspicious Substance,45.24,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00110,8,Tiruppur,Tiruppur East Industrial Bypass,2024-11-03 20:04:19,1,Commercial Ganja / Cannabis,34.00,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00111,7,Erode,Erode East Campus Zone,2026-02-02 05:22:01,6,Unclassified / Suspicious Substance,32.64,LITRES,WAREHOUSE_RAID
SEZ-2026-00112,36,Ranipet,Ranipet North Campus Zone,2025-12-20 14:27:09,3,Prescription Narcotics / Codeine / Alprazolam,23.52,KG,WAREHOUSE_RAID
SEZ-2026-00113,15,Tenkasi,Tenkasi Central Industrial Bypass,2025-11-23 18:01:58,5,Opioid Analogues / Brown Sugar / Heroin,21.63,LITRES,HIGHWAY_INTERCEPTION
SEZ-2026-00114,16,Kancheepuram,Kancheepuram North Campus Zone,2025-06-06 03:38:09,2,Synthetic Stimulants / MDMA / Meth,22.59,LITRES,WAREHOUSE_RAID
SEZ-2026-00115,30,Ramanathapuram,Ramanathapuram North Market,2025-04-09 03:05:10,3,Prescription Narcotics / Codeine / Alprazolam,22.23,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00116,24,Nilgiris,Nilgiris South Industrial Bypass,2025-02-03 02:45:55,4,Chemical Precursors / Ephedrine,14.37,BLISTER_STRIPS,HIGHWAY_INTERCEPTION
SEZ-2026-00117,11,Dindigul,Dindigul North Campus Zone,2025-09-15 04:28:42,6,Unclassified / Suspicious Substance,34.84,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00118,33,Thiruvarur,Thiruvarur Central Industrial Bypass,2024-11-22 03:34:07,5,Opioid Analogues / Brown Sugar / Heroin,38.40,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00119,5,Tiruchirappalli,Tiruchirappalli West Campus Zone,2026-06-29 08:56:07,5,Opioid Analogues / Brown Sugar / Heroin,20.33,LITRES,WAREHOUSE_RAID
SEZ-2026-00120,17,Chengalpattu,Chengalpattu West Market,2025-12-30 23:59:24,1,Commercial Ganja / Cannabis,23.57,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00121,16,Kancheepuram,Kancheepuram West Campus Zone,2025-01-31 01:31:24,4,Chemical Precursors / Ephedrine,29.51,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00122,10,Krishnagiri,Krishnagiri East Market,2025-06-26 00:59:43,6,Unclassified / Suspicious Substance,24.00,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00123,27,Perambalur,Perambalur South Market,2024-11-21 20:38:33,6,Unclassified / Suspicious Substance,1.29,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00124,18,Tiruvallur,Tiruvallur East Market,2026-01-08 11:58:16,4,Chemical Precursors / Ephedrine,5.58,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00125,33,Thiruvarur,Thiruvarur South Market,2025-05-12 21:53:07,6,Unclassified / Suspicious Substance,40.20,LITRES,WAREHOUSE_RAID
SEZ-2026-00126,15,Tenkasi,Tenkasi West Industrial Bypass,2026-06-29 07:09:00,3,Prescription Narcotics / Codeine / Alprazolam,34.61,KG,WAREHOUSE_RAID
SEZ-2026-00127,34,Nagapattinam,Nagapattinam North Market,2024-10-01 10:26:20,1,Commercial Ganja / Cannabis,22.44,VIALS,WAREHOUSE_RAID
SEZ-2026-00128,34,Nagapattinam,Nagapattinam Central Industrial Bypass,2025-05-15 01:43:28,5,Opioid Analogues / Brown Sugar / Heroin,2.60,KG,WAREHOUSE_RAID
SEZ-2026-00129,22,Dharmapuri,Dharmapuri Central Campus Zone,2024-12-20 23:25:51,2,Synthetic Stimulants / MDMA / Meth,27.36,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00130,14,Kanniyakumari,Kanniyakumari South Campus Zone,2026-01-14 10:04:01,6,Unclassified / Suspicious Substance,39.01,LITRES,WAREHOUSE_RAID
SEZ-2026-00131,7,Erode,Erode Central Market,2025-12-30 22:19:21,1,Commercial Ganja / Cannabis,34.71,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00132,13,Thoothukudi,Thoothukudi Central Industrial Bypass,2025-12-24 07:56:29,1,Commercial Ganja / Cannabis,20.77,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00133,6,Tirunelveli,Tirunelveli East Industrial Bypass,2025-07-20 00:23:57,6,Unclassified / Suspicious Substance,5.49,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00134,13,Thoothukudi,Thoothukudi East Industrial Bypass,2025-02-20 09:53:09,3,Prescription Narcotics / Codeine / Alprazolam,9.02,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00135,21,Kallakurichi,Kallakurichi South Industrial Bypass,2025-11-14 00:27:51,3,Prescription Narcotics / Codeine / Alprazolam,8.75,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00136,38,Tiruvannamalai,Tiruvannamalai Central Industrial Bypass,2025-10-28 06:23:35,6,Unclassified / Suspicious Substance,12.82,LITRES,WAREHOUSE_RAID
SEZ-2026-00137,36,Ranipet,Ranipet North Industrial Bypass,2024-12-27 09:57:04,3,Prescription Narcotics / Codeine / Alprazolam,38.30,VIALS,WAREHOUSE_RAID
SEZ-2026-00138,30,Ramanathapuram,Ramanathapuram South Industrial Bypass,2026-05-11 08:30:48,6,Unclassified / Suspicious Substance,9.82,VIALS,WAREHOUSE_RAID
SEZ-2026-00139,17,Chengalpattu,Chengalpattu Central Industrial Bypass,2025-01-25 07:11:51,6,Unclassified / Suspicious Substance,26.64,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00140,10,Krishnagiri,Krishnagiri Central Market,2025-11-09 08:32:13,4,Chemical Precursors / Ephedrine,32.47,BLISTER_STRIPS,POSTAL_PARCEL_HOLD
SEZ-2026-00141,27,Perambalur,Perambalur North Industrial Bypass,2024-11-28 07:59:28,1,Commercial Ganja / Cannabis,21.18,BLISTER_STRIPS,WAREHOUSE_RAID
SEZ-2026-00142,19,Cuddalore,Cuddalore North Campus Zone,2025-09-12 20:38:16,1,Commercial Ganja / Cannabis,14.90,VIALS,HIGHWAY_INTERCEPTION
SEZ-2026-00143,13,Thoothukudi,Thoothukudi East Market,2024-11-27 19:49:24,2,Synthetic Stimulants / MDMA / Meth,25.55,KG,HIGHWAY_INTERCEPTION
SEZ-2026-00144,27,Perambalur,Perambalur North Market,2025-11-25 16:43:17,5,Opioid Analogues / Brown Sugar / Heroin,30.83,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00145,16,Kancheepuram,Kancheepuram West Industrial Bypass,2026-03-18 22:21:38,4,Chemical Precursors / Ephedrine,3.78,KG,POSTAL_PARCEL_HOLD
SEZ-2026-00146,8,Tiruppur,Tiruppur South Industrial Bypass,2024-11-16 02:02:38,2,Synthetic Stimulants / MDMA / Meth,6.22,VIALS,POSTAL_PARCEL_HOLD
SEZ-2026-00147,8,Tiruppur,Tiruppur South Market,2024-10-05 00:23:37,4,Chemical Precursors / Ephedrine,6.26,LITRES,POSTAL_PARCEL_HOLD
SEZ-2026-00148,12,Thanjavur,Thanjavur East Campus Zone,2026-08-12 08:04:33,1,Commercial Ganja / Cannabis,27.64,LITRES,HIGHWAY_INTERCEPTION
