checkpost_report_id,checkpost_name,district_id,district_name,border_corridor,scanned_at,transit_direction,category_id,category_name,volume_band
CHK-2026-00079,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2026-06-09 07:24:31,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00080,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-07-02 17:42:23,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00081,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2026-08-18 08:10:19,INBOUND_TO_TN,1,Commercial Ganja / Cannabis,BAND_B_MEDIUM
CHK-2026-00082,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-07-27 12:56:27,INBOUND_TO_TN,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00083,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-03-27 02:02:00,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00084,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-05-21 00:07:33,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
CHK-2026-00085,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-06-20 18:27:40,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00086,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-01-22 19:57:43,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00087,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-01-05 11:00:32,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00088,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2024-10-30 00:51:06,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00089,V.O.C. Port Terminal,13,Thoothukudi,Maritime Coast,2026-02-02 17:21:48,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00090,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-10-14 00:38:27,INBOUND_TO_TN,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00091,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-12-29 08:56:31,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00092,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-05-29 19:47:31,OUTBOUND,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00093,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-09-28 10:32:34,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
CHK-2026-00094,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2024-11-18 23:34:22,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00095,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-08-12 21:52:26,INBOUND_TO_TN,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00096,Ennore Port Gate,1,Chennai,Maritime Logistics,2024-11-19 22:23:30,INBOUND_TO_TN,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00097,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-02-10 21:03:35,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00098,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-05-28 10:56:55,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00099,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-11-23 19:13:12,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00100,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-10-17 09:40:54,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00101,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-05-19 23:22:37,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_B_MEDIUM
CHK-2026-00102,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2024-10-03 11:10:22,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00103,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-07-12 17:32:00,TRANSIT_CROSS_STATE,1,Commercial Ganja / Cannabis,BAND_B_MEDIUM
CHK-2026-00104,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-05-27 05:19:14,OUTBOUND,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00105,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-05-29 08:30:46,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00106,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2024-10-10 06:22:29,OUTBOUND,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00107,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2024-12-04 03:11:39,INBOUND_TO_TN,2,Synthetic Stimulants / MDMA / Meth,BAND_A_BULK
CHK-2026-00108,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2026-01-31 17:11:26,INBOUND_TO_TN,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00109,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-01-06 09:25:40,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00110,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-10-03 00:20:10,INBOUND_TO_TN,4,Chemical Precursors / Ephedrine,BAND_A_BULK
CHK-2026-00111,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-02-09 21:43:48,INBOUND_TO_TN,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00112,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-07-30 23:19:43,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00113,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2024-12-07 00:54:39,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00114,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-02-23 07:02:35,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_B_MEDIUM
CHK-2026-00115,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-08-25 15:18:47,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00116,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2024-09-22 06:34:06,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00117,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-05-13 15:45:22,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00118,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-12-26 18:11:13,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
CHK-2026-00119,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2026-01-05 06:24:00,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00120,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-04-25 07:27:57,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_B_MEDIUM
CHK-2026-00121,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2025-09-16 19:57:42,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_B_MEDIUM
CHK-2026-00122,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2026-08-01 22:09:53,TRANSIT_CROSS_STATE,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00123,Ennore Port Gate,1,Chennai,Maritime Logistics,2026-08-17 03:55:40,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_B_MEDIUM
CHK-2026-00124,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2026-04-20 16:55:05,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00125,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2026-08-08 00:27:22,OUTBOUND,4,Chemical Precursors / Ephedrine,BAND_B_MEDIUM
CHK-2026-00126,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-02-05 04:44:43,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00127,Gummidipoondi Checkpost,18,Tiruvallur,Andhra Pradesh (NH-16),2024-11-04 04:35:20,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00128,Kaliyakkavilai Gate,14,Kanniyakumari,Kerala (NH-66),2025-03-05 13:46:44,OUTBOUND,6,Unclassified / Suspicious Substance,BAND_A_BULK
CHK-2026-00129,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2025-07-15 04:12:30,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_A_BULK
CHK-2026-00130,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-08-21 23:32:11,TRANSIT_CROSS_STATE,2,Synthetic Stimulants / MDMA / Meth,BAND_C_PARCEL
CHK-2026-00131,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2024-10-24 04:00:10,TRANSIT_CROSS_STATE,4,Chemical Precursors / Ephedrine,BAND_C_PARCEL
CHK-2026-00132,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-01-02 00:01:37,TRANSIT_CROSS_STATE,3,Prescription Narcotics / Codeine / Alprazolam,BAND_C_PARCEL
CHK-2026-00133,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2026-06-07 01:17:12,OUTBOUND,5,Opioid Analogues / Brown Sugar / Heroin,BAND_A_BULK
CHK-2026-00134,Ennore Port Gate,1,Chennai,Maritime Logistics,2025-06-02 06:02:16,OUTBOUND,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00135,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-03-17 18:55:45,TRANSIT_CROSS_STATE,6,Unclassified / Suspicious Substance,BAND_C_PARCEL
CHK-2026-00136,Walayar Checkpost,2,Coimbatore,Kerala (NH-544),2025-10-24 03:07:36,TRANSIT_CROSS_STATE,1,Commercial Ganja / Cannabis,BAND_A_BULK
CHK-2026-00137,Puliyarai Checkpost,15,Tenkasi,Kerala (NH-744),2025-03-01 14:15:21,INBOUND_TO_TN,3,Prescription Narcotics / Codeine / Alprazolam,BAND_B_MEDIUM
CHK-2026-00138,Zuzuvadi Checkpost,10,Krishnagiri,Karnataka (NH-48),2024-11-22 16:08:59,OUTBOUND,2,Synthetic Stimulants / MDMA / Meth,BAND_C_PARCEL
