complaint_id,district_id,district_name,taluk_id,locality_id,locality_name,category_id,category_name,source_id,source_name,reported_at,description_sanitized,verification_status,is_first_time_signal
CMP-2026-00014,35,Mayiladuthurai,173,518,Mayiladuthurai East Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,4,State Anti-Drug Helpline 10583,2025-12-18 01:36:00,Observation reported near Mayiladuthurai East Campus Zone sector in Mayiladuthurai.,NEEDS_VERIFICATION,0
CMP-2026-00015,31,Virudhunagar,151,452,Virudhunagar North Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,4,State Anti-Drug Helpline 10583,2025-09-19 00:44:32,Observation reported near Virudhunagar North Campus Zone sector in Virudhunagar.,UNVERIFIED,0
CMP-2026-00016,6,Tirunelveli,27,81,Tirunelveli South Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2,Police FIR & Seizure Register,2026-05-01 03:12:30,Observation reported near Tirunelveli South Industrial Bypass sector in Tirunelveli.,CORROBORATED,0
CMP-2026-00017,27,Perambalur,134,400,Perambalur West Market,3,Prescription Narcotics / Codeine / Alprazolam,2,Police FIR & Seizure Register,2025-08-06 19:59:20,Observation reported near Perambalur West Market sector in Perambalur.,NEEDS_VERIFICATION,0
CMP-2026-00018,34,Nagapattinam,169,506,Nagapattinam West Campus Zone,2,Synthetic Stimulants / MDMA / Meth,5,Health & Rehab Aggregate Registry,2026-02-04 00:12:48,Observation reported near Nagapattinam West Campus Zone sector in Nagapattinam.,UNVERIFIED,0
CMP-2026-00019,10,Krishnagiri,47,139,Krishnagiri South Market,6,Unclassified / Suspicious Substance,2,Police FIR & Seizure Register,2026-05-29 23:36:59,Observation reported near Krishnagiri South Market sector in Krishnagiri.,VERIFIED,0
CMP-2026-00020,10,Krishnagiri,50,149,Krishnagiri Central Campus Zone,1,Commercial Ganja / Cannabis,4,State Anti-Drug Helpline 10583,2025-01-02 22:39:25,Observation reported near Krishnagiri Central Campus Zone sector in Krishnagiri.,VERIFIED,0
CMP-2026-00021,7,Erode,35,103,Erode Central Market,5,Opioid Analogues / Brown Sugar / Heroin,3,State Checkpost Telemetry,2025-03-11 20:10:34,Observation reported near Erode Central Market sector in Erode.,NEEDS_VERIFICATION,0
CMP-2026-00022,15,Tenkasi,73,218,Tenkasi East Campus Zone,1,Commercial Ganja / Cannabis,4,State Anti-Drug Helpline 10583,2026-06-24 05:48:39,Observation reported near Tenkasi East Campus Zone sector in Tenkasi.,UNVERIFIED,0
CMP-2026-00023,24,Nilgiris,118,354,Nilgiris East Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,3,State Checkpost Telemetry,2024-09-26 17:40:57,Observation reported near Nilgiris East Industrial Bypass sector in Nilgiris.,UNVERIFIED,0
CMP-2026-00024,4,Salem,18,52,Salem East Market,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2024-10-31 06:55:54,Observation reported near Salem East Market sector in Salem.,VERIFIED,0
CMP-2026-00025,20,Viluppuram,97,290,Viluppuram South Campus Zone,4,Chemical Precursors / Ephedrine,5,Health & Rehab Aggregate Registry,2026-03-23 05:29:23,Observation reported near Viluppuram South Campus Zone sector in Viluppuram.,UNVERIFIED,0
CMP-2026-00026,30,Ramanathapuram,148,444,Ramanathapuram East Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,2,Police FIR & Seizure Register,2025-02-16 19:07:43,Observation reported near Ramanathapuram East Industrial Bypass sector in Ramanathapuram.,UNVERIFIED,0
CMP-2026-00027,11,Dindigul,54,161,Dindigul West Campus Zone,6,Unclassified / Suspicious Substance,2,Police FIR & Seizure Register,2024-11-08 13:14:32,Observation reported near Dindigul West Campus Zone sector in Dindigul.,NEEDS_VERIFICATION,0
CMP-2026-00028,38,Tiruvannamalai,188,564,Tiruvannamalai East Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,3,State Checkpost Telemetry,2025-11-30 00:32:30,Observation reported near Tiruvannamalai East Industrial Bypass sector in Tiruvannamalai.,UNVERIFIED,0
CMP-2026-00029,2,Coimbatore,8,22,Coimbatore East Market,2,Synthetic Stimulants / MDMA / Meth,2,Police FIR & Seizure Register,2025-03-05 14:07:13,Observation reported near Coimbatore East Market sector in Coimbatore.,NEEDS_VERIFICATION,0
CMP-2026-00030,29,Sivaganga,144,432,Sivaganga West Industrial Bypass,6,Unclassified / Suspicious Substance,5,Health & Rehab Aggregate Registry,2025-06-19 20:31:57,Observation reported near Sivaganga West Industrial Bypass sector in Sivaganga.,CORROBORATED,0
CMP-2026-00031,34,Nagapattinam,169,507,Nagapattinam West Industrial Bypass,4,Chemical Precursors / Ephedrine,4,State Anti-Drug Helpline 10583,2024-09-28 13:39:06,Observation reported near Nagapattinam West Industrial Bypass sector in Nagapattinam.,CORROBORATED,0
CMP-2026-00032,8,Tiruppur,39,117,Tiruppur West Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,5,Health & Rehab Aggregate Registry,2025-11-18 01:18:08,Observation reported near Tiruppur West Industrial Bypass sector in Tiruppur.,CORROBORATED,0
CMP-2026-00033,11,Dindigul,55,165,Dindigul Central Industrial Bypass,1,Commercial Ganja / Cannabis,3,State Checkpost Telemetry,2026-07-26 21:12:21,Observation reported near Dindigul Central Industrial Bypass sector in Dindigul.,CORROBORATED,0
CMP-2026-00034,19,Cuddalore,92,275,Cuddalore South Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,1,Anonymous Citizen Portal,2026-05-13 01:32:31,Observation reported near Cuddalore South Campus Zone sector in Cuddalore.,UNVERIFIED,0
CMP-2026-00035,32,Theni,160,478,Theni Central Market,2,Synthetic Stimulants / MDMA / Meth,4,State Anti-Drug Helpline 10583,2025-05-17 15:47:21,Observation reported near Theni Central Market sector in Theni.,NEEDS_VERIFICATION,0
CMP-2026-00036,34,Nagapattinam,169,506,Nagapattinam West Campus Zone,1,Commercial Ganja / Cannabis,4,State Anti-Drug Helpline 10583,2025-06-04 17:30:12,Observation reported near Nagapattinam West Campus Zone sector in Nagapattinam.,VERIFIED,0
CMP-2026-00037,14,Kanniyakumari,70,210,Kanniyakumari Central Industrial Bypass,1,Commercial Ganja / Cannabis,1,Anonymous Citizen Portal,2025-06-05 14:56:34,Observation reported near Kanniyakumari Central Industrial Bypass sector in Kanniyakumari.,NEEDS_VERIFICATION,0
CMP-2026-00038,25,Karur,125,374,Karur Central Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,4,State Anti-Drug Helpline 10583,2026-04-05 18:35:27,Observation reported near Karur Central Campus Zone sector in Karur.,CORROBORATED,0
CMP-2026-00039,31,Virudhunagar,152,454,Virudhunagar South Market,2,Synthetic Stimulants / MDMA / Meth,2,Police FIR & Seizure Register,2024-12-28 23:30:04,Observation reported near Virudhunagar South Market sector in Virudhunagar.,NEEDS_VERIFICATION,1
CMP-2026-00040,15,Tenkasi,74,222,Tenkasi West Industrial Bypass,4,Chemical Precursors / Ephedrine,5,Health & Rehab Aggregate Registry,2025-08-08 22:36:51,Observation reported near Tenkasi West Industrial Bypass sector in Tenkasi.,NEEDS_VERIFICATION,0
CMP-2026-00041,17,Chengalpattu,81,243,Chengalpattu North Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,4,State Anti-Drug Helpline 10583,2026-05-13 03:58:19,Observation reported near Chengalpattu North Industrial Bypass sector in Chengalpattu.,UNVERIFIED,0
CMP-2026-00042,18,Tiruvallur,90,270,Tiruvallur Central Industrial Bypass,1,Commercial Ganja / Cannabis,1,Anonymous Citizen Portal,2025-02-05 10:37:02,Observation reported near Tiruvallur Central Industrial Bypass sector in Tiruvallur.,CORROBORATED,0
CMP-2026-00043,19,Cuddalore,94,281,Cuddalore West Campus Zone,6,Unclassified / Suspicious Substance,3,State Checkpost Telemetry,2025-05-19 23:13:00,Observation reported near Cuddalore West Campus Zone sector in Cuddalore.,CORROBORATED,0
CMP-2026-00044,29,Sivaganga,142,426,Sivaganga South Industrial Bypass,6,Unclassified / Suspicious Substance,4,State Anti-Drug Helpline 10583,2025-07-31 07:58:09,Observation reported near Sivaganga South Industrial Bypass sector in Sivaganga.,NEEDS_VERIFICATION,0
CMP-2026-00045,9,Vellore,42,124,Vellore South Market,1,Commercial Ganja / Cannabis,4,State Anti-Drug Helpline 10583,2025-07-06 09:25:37,Observation reported near Vellore South Market sector in Vellore.,VERIFIED,0
CMP-2026-00046,36,Ranipet,180,539,Ranipet Central Campus Zone,6,Unclassified / Suspicious Substance,5,Health & Rehab Aggregate Registry,2024-12-05 19:46:34,Observation reported near Ranipet Central Campus Zone sector in Ranipet.,VERIFIED,0
CMP-2026-00047,30,Ramanathapuram,150,448,Ramanathapuram Central Market,6,Unclassified / Suspicious Substance,3,State Checkpost Telemetry,2026-01-08 19:46:21,Observation reported near Ramanathapuram Central Market sector in Ramanathapuram.,NEEDS_VERIFICATION,0
CMP-2026-00048,33,Thiruvarur,161,481,Thiruvarur North Market,1,Commercial Ganja / Cannabis,2,Police FIR & Seizure Register,2024-11-25 10:55:15,Observation reported near Thiruvarur North Market sector in Thiruvarur.,VERIFIED,1
CMP-2026-00049,32,Theni,159,476,Theni West Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,2,Police FIR & Seizure Register,2025-01-20 13:47:58,Observation reported near Theni West Campus Zone sector in Theni.,CORROBORATED,0
CMP-2026-00050,21,Kallakurichi,101,303,Kallakurichi North Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,3,State Checkpost Telemetry,2025-03-09 01:00:28,Observation reported near Kallakurichi North Industrial Bypass sector in Kallakurichi.,NEEDS_VERIFICATION,0
CMP-2026-00051,31,Virudhunagar,155,463,Virudhunagar Central Market,6,Unclassified / Suspicious Substance,1,Anonymous Citizen Portal,2024-09-30 05:43:49,Observation reported near Virudhunagar Central Market sector in Virudhunagar.,UNVERIFIED,0
CMP-2026-00052,21,Kallakurichi,104,310,Kallakurichi West Market,1,Commercial Ganja / Cannabis,3,State Checkpost Telemetry,2026-05-27 05:50:21,Observation reported near Kallakurichi West Market sector in Kallakurichi.,CORROBORATED,1
CMP-2026-00053,23,Namakkal,115,343,Namakkal Central Market,1,Commercial Ganja / Cannabis,5,Health & Rehab Aggregate Registry,2026-05-07 11:57:15,Observation reported near Namakkal Central Market sector in Namakkal.,CORROBORATED,0
CMP-2026-00054,21,Kallakurichi,105,313,Kallakurichi Central Market,1,Commercial Ganja / Cannabis,5,Health & Rehab Aggregate Registry,2026-03-15 20:35:37,Observation reported near Kallakurichi Central Market sector in Kallakurichi.,VERIFIED,0
CMP-2026-00055,28,Pudukkottai,139,416,Pudukkottai West Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2026-04-25 01:28:53,Observation reported near Pudukkottai West Campus Zone sector in Pudukkottai.,VERIFIED,0
CMP-2026-00056,22,Dharmapuri,108,323,Dharmapuri East Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,1,Anonymous Citizen Portal,2025-08-21 21:45:55,Observation reported near Dharmapuri East Campus Zone sector in Dharmapuri.,UNVERIFIED,0
CMP-2026-00057,10,Krishnagiri,48,143,Krishnagiri East Campus Zone,6,Unclassified / Suspicious Substance,5,Health & Rehab Aggregate Registry,2024-10-17 01:50:27,Observation reported near Krishnagiri East Campus Zone sector in Krishnagiri.,UNVERIFIED,0
CMP-2026-00058,18,Tiruvallur,87,259,Tiruvallur South Market,3,Prescription Narcotics / Codeine / Alprazolam,1,Anonymous Citizen Portal,2024-10-30 19:23:48,Observation reported near Tiruvallur South Market sector in Tiruvallur.,VERIFIED,0
CMP-2026-00059,14,Kanniyakumari,70,210,Kanniyakumari Central Industrial Bypass,1,Commercial Ganja / Cannabis,2,Police FIR & Seizure Register,2025-08-20 11:40:36,Observation reported near Kanniyakumari Central Industrial Bypass sector in Kanniyakumari.,CORROBORATED,0
CMP-2026-00060,21,Kallakurichi,102,306,Kallakurichi South Industrial Bypass,1,Commercial Ganja / Cannabis,1,Anonymous Citizen Portal,2026-08-02 05:53:42,Observation reported near Kallakurichi South Industrial Bypass sector in Kallakurichi.,CORROBORATED,0
CMP-2026-00061,3,Madurai,15,44,Madurai Central Campus Zone,4,Chemical Precursors / Ephedrine,4,State Anti-Drug Helpline 10583,2026-03-01 06:24:45,Observation reported near Madurai Central Campus Zone sector in Madurai.,VERIFIED,0
CMP-2026-00062,2,Coimbatore,9,25,Coimbatore West Market,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2025-10-26 23:40:43,Observation reported near Coimbatore West Market sector in Coimbatore.,NEEDS_VERIFICATION,0
CMP-2026-00063,2,Coimbatore,7,21,Coimbatore South Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,2,Police FIR & Seizure Register,2026-07-24 21:31:02,Observation reported near Coimbatore South Industrial Bypass sector in Coimbatore.,UNVERIFIED,0
CMP-2026-00064,21,Kallakurichi,103,308,Kallakurichi East Campus Zone,4,Chemical Precursors / Ephedrine,4,State Anti-Drug Helpline 10583,2026-03-21 17:53:24,Observation reported near Kallakurichi East Campus Zone sector in Kallakurichi.,CORROBORATED,1
CMP-2026-00065,1,Chennai,5,15,Chennai Central Industrial Bypass,6,Unclassified / Suspicious Substance,3,State Checkpost Telemetry,2025-04-28 09:47:26,Observation reported near Chennai Central Industrial Bypass sector in Chennai.,CORROBORATED,0
CMP-2026-00066,37,Tirupathur,182,545,Tirupathur South Campus Zone,2,Synthetic Stimulants / MDMA / Meth,4,State Anti-Drug Helpline 10583,2026-03-04 02:48:54,Observation reported near Tirupathur South Campus Zone sector in Tirupathur.,VERIFIED,0
CMP-2026-00067,19,Cuddalore,93,277,Cuddalore East Market,3,Prescription Narcotics / Codeine / Alprazolam,1,Anonymous Citizen Portal,2025-08-23 13:06:40,Observation reported near Cuddalore East Market sector in Cuddalore.,CORROBORATED,0
CMP-2026-00068,26,Ariyalur,130,389,Ariyalur Central Campus Zone,2,Synthetic Stimulants / MDMA / Meth,4,State Anti-Drug Helpline 10583,2026-06-27 10:45:17,Observation reported near Ariyalur Central Campus Zone sector in Ariyalur.,NEEDS_VERIFICATION,0
CMP-2026-00069,7,Erode,32,96,Erode South Industrial Bypass,4,Chemical Precursors / Ephedrine,5,Health & Rehab Aggregate Registry,2024-11-07 21:13:27,Observation reported near Erode South Industrial Bypass sector in Erode.,VERIFIED,0
CMP-2026-00070,1,Chennai,2,4,Chennai South Market,5,Opioid Analogues / Brown Sugar / Heroin,5,Health & Rehab Aggregate Registry,2025-03-28 00:49:35,Observation reported near Chennai South Market sector in Chennai.,VERIFIED,0
CMP-2026-00071,23,Namakkal,115,345,Namakkal Central Industrial Bypass,4,Chemical Precursors / Ephedrine,5,Health & Rehab Aggregate Registry,2025-02-23 01:22:00,Observation reported near Namakkal Central Industrial Bypass sector in Namakkal.,NEEDS_VERIFICATION,0
CMP-2026-00072,27,Perambalur,133,399,Perambalur East Industrial Bypass,4,Chemical Precursors / Ephedrine,5,Health & Rehab Aggregate Registry,2025-06-21 17:08:28,Observation reported near Perambalur East Industrial Bypass sector in Perambalur.,VERIFIED,0
CMP-2026-00073,6,Tirunelveli,27,81,Tirunelveli South Industrial Bypass,4,Chemical Precursors / Ephedrine,4,State Anti-Drug Helpline 10583,2025-10-19 05:01:24,Observation reported near Tirunelveli South Industrial Bypass sector in Tirunelveli.,VERIFIED,0
CMP-2026-00074,13,Thoothukudi,62,184,Thoothukudi South Market,5,Opioid Analogues / Brown Sugar / Heroin,5,Health & Rehab Aggregate Registry,2025-08-09 21:22:48,Observation reported near Thoothukudi South Market sector in Thoothukudi.,CORROBORATED,0
CMP-2026-00075,8,Tiruppur,36,106,Tiruppur North Market,5,Opioid Analogues / Brown Sugar / Heroin,2,Police FIR & Seizure Register,2026-07-10 13:30:00,Observation reported near Tiruppur North Market sector in Tiruppur.,VERIFIED,0
CMP-2026-00076,38,Tiruvannamalai,186,558,Tiruvannamalai North Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,1,Anonymous Citizen Portal,2026-07-23 15:55:57,Observation reported near Tiruvannamalai North Industrial Bypass sector in Tiruvannamalai.,CORROBORATED,0
CMP-2026-00077,24,Nilgiris,118,353,Nilgiris East Campus Zone,4,Chemical Precursors / Ephedrine,3,State Checkpost Telemetry,2025-01-28 15:42:30,Observation reported near Nilgiris East Campus Zone sector in Nilgiris.,VERIFIED,0
CMP-2026-00078,37,Tirupathur,182,545,Tirupathur South Campus Zone,6,Unclassified / Suspicious Substance,1,Anonymous Citizen Portal,2026-08-11 21:53:13,Observation reported near Tirupathur South Campus Zone sector in Tirupathur.,CORROBORATED,0
CMP-2026-00079,34,Nagapattinam,168,503,Nagapattinam East Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2026-08-06 03:32:38,Observation reported near Nagapattinam East Campus Zone sector in Nagapattinam.,UNVERIFIED,0
CMP-2026-00080,1,Chennai,3,8,Chennai East Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,5,Health & Rehab Aggregate Registry,2025-11-21 21:09:37,Observation reported near Chennai East Campus Zone sector in Chennai.,CORROBORATED,0
CMP-2026-00081,9,Vellore,45,134,Vellore Central Campus Zone,2,Synthetic Stimulants / MDMA / Meth,1,Anonymous Citizen Portal,2024-12-13 19:02:31,Observation reported near Vellore Central Campus Zone sector in Vellore.,NEEDS_VERIFICATION,0
CMP-2026-00082,7,Erode,35,105,Erode Central Industrial Bypass,1,Commercial Ganja / Cannabis,5,Health & Rehab Aggregate Registry,2024-11-07 00:42:23,Observation reported near Erode Central Industrial Bypass sector in Erode.,VERIFIED,0
CMP-2026-00083,31,Virudhunagar,154,461,Virudhunagar West Campus Zone,6,Unclassified / Suspicious Substance,4,State Anti-Drug Helpline 10583,2024-10-17 22:17:49,Observation reported near Virudhunagar West Campus Zone sector in Virudhunagar.,NEEDS_VERIFICATION,0
CMP-2026-00084,5,Tiruchirappalli,24,70,Tiruchirappalli West Market,2,Synthetic Stimulants / MDMA / Meth,1,Anonymous Citizen Portal,2025-02-24 05:56:22,Observation reported near Tiruchirappalli West Market sector in Tiruchirappalli.,VERIFIED,0
CMP-2026-00085,28,Pudukkottai,138,413,Pudukkottai East Campus Zone,6,Unclassified / Suspicious Substance,1,Anonymous Citizen Portal,2024-10-25 16:36:55,Observation reported near Pudukkottai East Campus Zone sector in Pudukkottai.,CORROBORATED,0
CMP-2026-00086,17,Chengalpattu,84,250,Chengalpattu West Market,5,Opioid Analogues / Brown Sugar / Heroin,3,State Checkpost Telemetry,2026-07-06 11:19:43,Observation reported near Chengalpattu West Market sector in Chengalpattu.,UNVERIFIED,0
CMP-2026-00087,20,Viluppuram,98,293,Viluppuram East Campus Zone,1,Commercial Ganja / Cannabis,3,State Checkpost Telemetry,2025-06-24 21:48:47,Observation reported near Viluppuram East Campus Zone sector in Viluppuram.,VERIFIED,0
CMP-2026-00088,6,Tirunelveli,26,78,Tirunelveli North Industrial Bypass,2,Synthetic Stimulants / MDMA / Meth,2,Police FIR & Seizure Register,2026-05-07 08:00:48,Observation reported near Tirunelveli North Industrial Bypass sector in Tirunelveli.,NEEDS_VERIFICATION,0
CMP-2026-00089,17,Chengalpattu,85,253,Chengalpattu Central Market,2,Synthetic Stimulants / MDMA / Meth,3,State Checkpost Telemetry,2025-03-07 05:20:48,Observation reported near Chengalpattu Central Market sector in Chengalpattu.,UNVERIFIED,0
CMP-2026-00090,25,Karur,124,370,Karur West Market,5,Opioid Analogues / Brown Sugar / Heroin,5,Health & Rehab Aggregate Registry,2025-05-25 21:02:24,Observation reported near Karur West Market sector in Karur.,CORROBORATED,0
CMP-2026-00091,34,Nagapattinam,168,504,Nagapattinam East Industrial Bypass,4,Chemical Precursors / Ephedrine,2,Police FIR & Seizure Register,2025-04-17 16:27:06,Observation reported near Nagapattinam East Industrial Bypass sector in Nagapattinam.,CORROBORATED,0
CMP-2026-00092,37,Tirupathur,181,541,Tirupathur North Market,2,Synthetic Stimulants / MDMA / Meth,5,Health & Rehab Aggregate Registry,2026-01-18 03:35:33,Observation reported near Tirupathur North Market sector in Tirupathur.,NEEDS_VERIFICATION,0
CMP-2026-00093,22,Dharmapuri,110,330,Dharmapuri Central Industrial Bypass,4,Chemical Precursors / Ephedrine,3,State Checkpost Telemetry,2025-07-09 15:38:32,Observation reported near Dharmapuri Central Industrial Bypass sector in Dharmapuri.,UNVERIFIED,0
CMP-2026-00094,13,Thoothukudi,63,187,Thoothukudi East Market,5,Opioid Analogues / Brown Sugar / Heroin,4,State Anti-Drug Helpline 10583,2025-08-23 17:06:32,Observation reported near Thoothukudi East Market sector in Thoothukudi.,UNVERIFIED,0
CMP-2026-00095,17,Chengalpattu,85,254,Chengalpattu Central Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,4,State Anti-Drug Helpline 10583,2026-05-12 03:27:12,Observation reported near Chengalpattu Central Campus Zone sector in Chengalpattu.,VERIFIED,0
CMP-2026-00096,25,Karur,124,372,Karur West Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,3,State Checkpost Telemetry,2025-04-13 13:04:46,Observation reported near Karur West Industrial Bypass sector in Karur.,CORROBORATED,0
CMP-2026-00097,16,Kancheepuram,77,230,Kancheepuram South Campus Zone,1,Commercial Ganja / Cannabis,5,Health & Rehab Aggregate Registry,2025-05-04 09:42:10,Observation reported near Kancheepuram South Campus Zone sector in Kancheepuram.,CORROBORATED,0
CMP-2026-00098,26,Ariyalur,127,379,Ariyalur South Market,6,Unclassified / Suspicious Substance,2,Police FIR & Seizure Register,2025-09-24 07:26:14,Observation reported near Ariyalur South Market sector in Ariyalur.,VERIFIED,1
CMP-2026-00099,26,Ariyalur,130,389,Ariyalur Central Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,5,Health & Rehab Aggregate Registry,2026-03-17 15:02:57,Observation reported near Ariyalur Central Campus Zone sector in Ariyalur.,NEEDS_VERIFICATION,0
CMP-2026-00100,20,Viluppuram,100,300,Viluppuram Central Industrial Bypass,4,Chemical Precursors / Ephedrine,1,Anonymous Citizen Portal,2024-12-01 22:21:49,Observation reported near Viluppuram Central Industrial Bypass sector in Viluppuram.,VERIFIED,0
CMP-2026-00101,5,Tiruchirappalli,25,73,Tiruchirappalli Central Market,3,Prescription Narcotics / Codeine / Alprazolam,2,Police FIR & Seizure Register,2025-06-08 04:28:50,Observation reported near Tiruchirappalli Central Market sector in Tiruchirappalli.,NEEDS_VERIFICATION,0
CMP-2026-00102,27,Perambalur,132,396,Perambalur South Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2,Police FIR & Seizure Register,2026-06-21 17:31:06,Observation reported near Perambalur South Industrial Bypass sector in Perambalur.,NEEDS_VERIFICATION,0
CMP-2026-00103,18,Tiruvallur,88,264,Tiruvallur East Industrial Bypass,1,Commercial Ganja / Cannabis,1,Anonymous Citizen Portal,2025-09-03 22:45:49,Observation reported near Tiruvallur East Industrial Bypass sector in Tiruvallur.,UNVERIFIED,0
CMP-2026-00104,7,Erode,31,91,Erode North Market,3,Prescription Narcotics / Codeine / Alprazolam,1,Anonymous Citizen Portal,2026-03-10 05:57:45,Observation reported near Erode North Market sector in Erode.,VERIFIED,0
CMP-2026-00105,15,Tenkasi,71,212,Tenkasi North Campus Zone,6,Unclassified / Suspicious Substance,4,State Anti-Drug Helpline 10583,2025-05-06 05:49:15,Observation reported near Tenkasi North Campus Zone sector in Tenkasi.,UNVERIFIED,0
CMP-2026-00106,33,Thiruvarur,163,487,Thiruvarur East Market,4,Chemical Precursors / Ephedrine,4,State Anti-Drug Helpline 10583,2025-02-06 00:54:57,Observation reported near Thiruvarur East Market sector in Thiruvarur.,UNVERIFIED,0
CMP-2026-00107,3,Madurai,13,37,Madurai East Market,6,Unclassified / Suspicious Substance,1,Anonymous Citizen Portal,2026-04-22 05:08:06,Observation reported near Madurai East Market sector in Madurai.,CORROBORATED,0
CMP-2026-00108,1,Chennai,2,5,Chennai South Campus Zone,2,Synthetic Stimulants / MDMA / Meth,5,Health & Rehab Aggregate Registry,2026-01-06 11:39:01,Observation reported near Chennai South Campus Zone sector in Chennai.,NEEDS_VERIFICATION,0
CMP-2026-00109,29,Sivaganga,141,421,Sivaganga North Market,6,Unclassified / Suspicious Substance,1,Anonymous Citizen Portal,2026-05-04 23:18:48,Observation reported near Sivaganga North Market sector in Sivaganga.,NEEDS_VERIFICATION,0
