police_report_id,district_id,district_name,taluk_id,locality_id,station_code,incident_timestamp,operation_type,category_id,category_name,investigation_status
POL-2026-00048,8,Tiruppur,36,107,PS-TIR-B1,2024-09-23 09:53:00,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00049,6,Tirunelveli,29,85,PS-TIR-B4,2025-11-26 22:46:13,SEARCH_SEIZURE,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00050,29,Sivaganga,143,427,PS-SIV-B1,2026-08-08 03:07:29,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00051,1,Chennai,4,11,PS-CHE-B3,2026-03-19 11:01:30,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00052,38,Tiruvannamalai,187,560,PS-TIR-B2,2025-12-03 21:15:27,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00053,13,Thoothukudi,64,190,PS-THO-B2,2025-11-01 17:36:05,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00054,14,Kanniyakumari,67,200,PS-KAN-B4,2026-08-09 14:50:34,CHECKPOST_INTERCEPTION,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00055,15,Tenkasi,74,220,PS-TEN-B4,2025-02-21 10:38:34,SEARCH_SEIZURE,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00056,22,Dharmapuri,110,328,PS-DHA-B3,2025-03-16 12:53:30,SPECIAL_TASK_DRIVE,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00057,13,Thoothukudi,61,183,PS-THO-B4,2026-06-17 22:02:37,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00058,36,Ranipet,179,536,PS-RAN-B2,2024-12-05 12:21:46,SEARCH_SEIZURE,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00059,32,Theni,160,480,PS-THE-B1,2025-08-18 23:58:40,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00060,10,Krishnagiri,46,137,PS-KRI-B1,2026-02-03 01:52:57,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00061,27,Perambalur,135,404,PS-PER-B1,2024-12-28 05:40:14,SEARCH_SEIZURE,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00062,28,Pudukkottai,139,417,PS-PUD-B4,2025-04-24 06:42:21,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00063,26,Ariyalur,127,381,PS-ARI-B4,2025-02-02 14:11:17,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00064,21,Kallakurichi,104,310,PS-KAL-B3,2025-09-30 20:00:12,SPECIAL_TASK_DRIVE,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00065,26,Ariyalur,128,382,PS-ARI-B2,2026-02-05 12:27:05,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00066,31,Virudhunagar,152,454,PS-VIR-B2,2025-07-05 18:07:36,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00067,38,Tiruvannamalai,187,560,PS-TIR-B3,2025-03-04 08:11:51,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00068,16,Kancheepuram,77,230,PS-KAN-B1,2026-05-31 03:35:09,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00069,33,Thiruvarur,163,487,PS-THI-B1,2025-03-06 18:26:41,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,ACTION_COMPLETED
POL-2026-00070,1,Chennai,5,14,PS-CHE-B2,2026-04-20 13:39:36,SEARCH_SEIZURE,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00071,24,Nilgiris,116,348,PS-NIL-B3,2026-06-04 17:10:24,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00072,35,Mayiladuthurai,173,517,PS-MAY-B3,2024-11-27 06:52:52,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00073,31,Virudhunagar,151,453,PS-VIR-B4,2026-02-22 03:37:18,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00074,1,Chennai,1,1,PS-CHE-B1,2024-10-26 04:03:47,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00075,6,Tirunelveli,28,82,PS-TIR-B2,2026-02-20 21:28:23,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00076,28,Pudukkottai,138,414,PS-PUD-B2,2024-12-16 00:49:23,ROUTINE_BEAT_PATROL,5,Opioid Analogues / Brown Sugar / Heroin,CASE_REGISTERED
POL-2026-00077,38,Tiruvannamalai,187,559,PS-TIR-B3,2025-09-20 14:41:55,SEARCH_SEIZURE,2,Synthetic Stimulants / MDMA / Meth,PENDING_INVESTIGATION
POL-2026-00078,16,Kancheepuram,76,226,PS-KAN-B3,2026-04-12 13:06:51,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00079,1,Chennai,4,11,PS-CHE-B1,2025-06-04 06:15:54,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00080,17,Chengalpattu,83,247,PS-CHE-B3,2025-03-24 19:35:08,SEARCH_SEIZURE,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00081,33,Thiruvarur,162,485,PS-THI-B2,2025-01-03 22:30:34,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00082,12,Thanjavur,56,166,PS-THA-B4,2025-10-17 16:36:58,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00083,9,Vellore,44,132,PS-VEL-B3,2024-12-24 12:24:18,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,PENDING_INVESTIGATION
POL-2026-00084,32,Theni,157,469,PS-THE-B1,2024-12-21 10:56:28,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00085,17,Chengalpattu,83,248,PS-CHE-B1,2025-07-23 23:27:03,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00086,37,Tirupathur,185,555,PS-TIR-B2,2024-11-04 16:03:02,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00087,35,Mayiladuthurai,173,519,PS-MAY-B3,2025-08-02 05:17:22,CHECKPOST_INTERCEPTION,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00088,28,Pudukkottai,137,411,PS-PUD-B1,2025-08-11 00:05:07,SPECIAL_TASK_DRIVE,3,Prescription Narcotics / Codeine / Alprazolam,PENDING_INVESTIGATION
POL-2026-00089,20,Viluppuram,99,297,PS-VIL-B2,2026-04-07 13:22:55,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00090,23,Namakkal,114,340,PS-NAM-B1,2026-06-11 20:03:26,ROUTINE_BEAT_PATROL,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00091,28,Pudukkottai,138,414,PS-PUD-B1,2025-06-06 22:36:27,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00092,38,Tiruvannamalai,187,559,PS-TIR-B4,2026-01-21 14:38:06,SEARCH_SEIZURE,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00093,9,Vellore,42,124,PS-VEL-B4,2026-06-26 01:34:15,SPECIAL_TASK_DRIVE,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00094,13,Thoothukudi,64,192,PS-THO-B1,2026-01-23 05:44:32,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00095,33,Thiruvarur,164,492,PS-THI-B3,2026-07-02 14:07:48,SEARCH_SEIZURE,5,Opioid Analogues / Brown Sugar / Heroin,CASE_REGISTERED
POL-2026-00096,26,Ariyalur,126,376,PS-ARI-B1,2025-08-21 05:49:46,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00097,35,Mayiladuthurai,173,519,PS-MAY-B1,2025-10-07 01:13:03,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00098,22,Dharmapuri,109,327,PS-DHA-B1,2025-12-28 05:57:32,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00099,38,Tiruvannamalai,188,563,PS-TIR-B1,2025-03-21 04:17:33,CHECKPOST_INTERCEPTION,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00100,19,Cuddalore,93,279,PS-CUD-B1,2025-03-21 16:22:39,SPECIAL_TASK_DRIVE,5,Opioid Analogues / Brown Sugar / Heroin,ACTION_COMPLETED
POL-2026-00101,6,Tirunelveli,27,80,PS-TIR-B3,2025-12-03 15:22:37,ROUTINE_BEAT_PATROL,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00102,17,Chengalpattu,81,243,PS-CHE-B4,2025-09-05 05:22:15,SPECIAL_TASK_DRIVE,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00103,20,Viluppuram,99,295,PS-VIL-B1,2025-06-17 04:26:44,SEARCH_SEIZURE,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00104,11,Dindigul,51,153,PS-DIN-B2,2025-08-18 05:00:32,CHECKPOST_INTERCEPTION,3,Prescription Narcotics / Codeine / Alprazolam,PENDING_INVESTIGATION
POL-2026-00105,30,Ramanathapuram,149,446,PS-RAM-B2,2025-02-27 01:49:03,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00106,2,Coimbatore,9,27,PS-COI-B4,2025-11-27 01:03:59,ROUTINE_BEAT_PATROL,3,Prescription Narcotics / Codeine / Alprazolam,ACTION_COMPLETED
POL-2026-00107,16,Kancheepuram,76,227,PS-KAN-B3,2025-04-17 12:22:04,SPECIAL_TASK_DRIVE,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00108,11,Dindigul,55,165,PS-DIN-B4,2026-08-13 17:56:15,SEARCH_SEIZURE,2,Synthetic Stimulants / MDMA / Meth,PENDING_INVESTIGATION
POL-2026-00109,36,Ranipet,178,534,PS-RAN-B1,2025-02-18 15:52:12,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,PENDING_INVESTIGATION
POL-2026-00110,5,Tiruchirappalli,23,67,PS-TIR-B2,2025-04-14 17:45:51,ROUTINE_BEAT_PATROL,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00111,34,Nagapattinam,169,506,PS-NAG-B1,2024-11-23 22:28:48,CHECKPOST_INTERCEPTION,3,Prescription Narcotics / Codeine / Alprazolam,ACTION_COMPLETED
POL-2026-00112,24,Nilgiris,118,352,PS-NIL-B1,2026-04-05 21:06:38,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00113,33,Thiruvarur,163,488,PS-THI-B3,2024-10-14 04:58:25,SPECIAL_TASK_DRIVE,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00114,37,Tirupathur,185,553,PS-TIR-B1,2026-01-20 21:28:18,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00115,14,Kanniyakumari,68,204,PS-KAN-B2,2025-02-18 11:53:32,ROUTINE_BEAT_PATROL,5,Opioid Analogues / Brown Sugar / Heroin,CASE_REGISTERED
POL-2026-00116,33,Thiruvarur,162,484,PS-THI-B1,2025-03-23 02:53:45,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,ACTION_COMPLETED
POL-2026-00117,1,Chennai,1,2,PS-CHE-B4,2025-06-13 20:21:55,SEARCH_SEIZURE,5,Opioid Analogues / Brown Sugar / Heroin,CASE_REGISTERED
POL-2026-00118,27,Perambalur,132,396,PS-PER-B2,2025-06-18 10:32:41,CHECKPOST_INTERCEPTION,3,Prescription Narcotics / Codeine / Alprazolam,PENDING_INVESTIGATION
POL-2026-00119,38,Tiruvannamalai,186,557,PS-TIR-B4,2026-03-09 17:57:11,SPECIAL_TASK_DRIVE,5,Opioid Analogues / Brown Sugar / Heroin,ACTION_COMPLETED
POL-2026-00120,31,Virudhunagar,151,451,PS-VIR-B1,2025-05-15 06:00:18,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00121,12,Thanjavur,58,172,PS-THA-B3,2026-02-22 19:32:08,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00122,6,Tirunelveli,26,76,PS-TIR-B2,2026-04-06 06:06:18,ROUTINE_BEAT_PATROL,5,Opioid Analogues / Brown Sugar / Heroin,PENDING_INVESTIGATION
POL-2026-00123,7,Erode,34,102,PS-ERO-B2,2025-02-27 00:22:13,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,ACTION_COMPLETED
POL-2026-00124,4,Salem,19,57,PS-SAL-B1,2025-09-12 12:38:17,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00125,1,Chennai,1,3,PS-CHE-B4,2025-01-12 07:01:37,CHECKPOST_INTERCEPTION,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00126,34,Nagapattinam,170,508,PS-NAG-B1,2024-12-12 23:54:06,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,PENDING_INVESTIGATION
POL-2026-00127,1,Chennai,1,1,PS-CHE-B1,2025-07-05 07:42:03,ROUTINE_BEAT_PATROL,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00128,18,Tiruvallur,87,260,PS-TIR-B1,2026-07-08 15:44:06,SEARCH_SEIZURE,3,Prescription Narcotics / Codeine / Alprazolam,ACTION_COMPLETED
POL-2026-00129,11,Dindigul,52,154,PS-DIN-B2,2026-01-08 03:17:40,ROUTINE_BEAT_PATROL,4,Chemical Precursors / Ephedrine,CASE_REGISTERED
POL-2026-00130,21,Kallakurichi,103,307,PS-KAL-B2,2026-06-24 20:18:43,CHECKPOST_INTERCEPTION,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00131,7,Erode,33,97,PS-ERO-B4,2025-12-04 23:22:54,ROUTINE_BEAT_PATROL,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00132,16,Kancheepuram,78,234,PS-KAN-B2,2025-03-02 05:35:46,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00133,1,Chennai,3,9,PS-CHE-B2,2025-11-15 10:16:47,SPECIAL_TASK_DRIVE,5,Opioid Analogues / Brown Sugar / Heroin,PENDING_INVESTIGATION
POL-2026-00134,22,Dharmapuri,109,325,PS-DHA-B3,2026-06-01 20:20:03,ROUTINE_BEAT_PATROL,3,Prescription Narcotics / Codeine / Alprazolam,CASE_REGISTERED
POL-2026-00135,4,Salem,18,52,PS-SAL-B3,2025-04-28 04:22:17,CHECKPOST_INTERCEPTION,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00136,2,Coimbatore,6,18,PS-COI-B2,2026-02-22 05:56:08,SPECIAL_TASK_DRIVE,3,Prescription Narcotics / Codeine / Alprazolam,ACTION_COMPLETED
POL-2026-00137,32,Theni,156,467,PS-THE-B1,2025-09-25 11:29:13,SPECIAL_TASK_DRIVE,6,Unclassified / Suspicious Substance,ACTION_COMPLETED
POL-2026-00138,14,Kanniyakumari,69,206,PS-KAN-B3,2025-09-02 07:40:59,CHECKPOST_INTERCEPTION,1,Commercial Ganja / Cannabis,PENDING_INVESTIGATION
POL-2026-00139,27,Perambalur,132,395,PS-PER-B4,2025-02-15 09:52:21,CHECKPOST_INTERCEPTION,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00140,11,Dindigul,52,154,PS-DIN-B2,2026-01-24 19:27:46,ROUTINE_BEAT_PATROL,5,Opioid Analogues / Brown Sugar / Heroin,ACTION_COMPLETED
POL-2026-00141,24,Nilgiris,118,354,PS-NIL-B3,2026-08-10 08:08:05,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00142,38,Tiruvannamalai,190,570,PS-TIR-B1,2024-09-25 00:46:10,CHECKPOST_INTERCEPTION,4,Chemical Precursors / Ephedrine,ACTION_COMPLETED
POL-2026-00143,18,Tiruvallur,88,262,PS-TIR-B4,2024-09-27 22:41:53,CHECKPOST_INTERCEPTION,6,Unclassified / Suspicious Substance,CASE_REGISTERED
POL-2026-00144,14,Kanniyakumari,70,210,PS-KAN-B4,2025-12-16 11:37:48,SEARCH_SEIZURE,1,Commercial Ganja / Cannabis,CASE_REGISTERED
POL-2026-00145,6,Tirunelveli,29,85,PS-TIR-B3,2026-08-05 06:11:07,SPECIAL_TASK_DRIVE,4,Chemical Precursors / Ephedrine,PENDING_INVESTIGATION
POL-2026-00146,21,Kallakurichi,101,301,PS-KAL-B1,2026-06-12 00:24:57,CHECKPOST_INTERCEPTION,5,Opioid Analogues / Brown Sugar / Heroin,ACTION_COMPLETED
POL-2026-00147,30,Ramanathapuram,146,436,PS-RAM-B4,2024-11-04 23:02:35,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,CASE_REGISTERED
POL-2026-00148,19,Cuddalore,92,274,PS-CUD-B2,2026-02-28 22:01:27,SPECIAL_TASK_DRIVE,2,Synthetic Stimulants / MDMA / Meth,ACTION_COMPLETED
POL-2026-00149,24,Nilgiris,120,359,PS-NIL-B3,2025-03-08 08:34:24,SEARCH_SEIZURE,4,Chemical Precursors / Ephedrine,PENDING_INVESTIGATION
