signal_id,district_id,district_name,taluk_id,locality_id,locality_name,timestamp,category_id,category_name,lifecycle_state,transition_trigger,confidence_score
EMG-SIG-00011,19,Cuddalore,92,275,Cuddalore South Campus Zone,2025-12-13 09:10:28,1,Commercial Ganja / Cannabis,EMERGING,MICRO_CLUSTER_48H,89
EMG-SIG-00012,32,Theni,158,474,Theni East Industrial Bypass,2024-09-23 03:39:05,5,Opioid Analogues / Brown Sugar / Heroin,CORROBORATED,MULTI_SOURCE_CORROBORATION,79
EMG-SIG-00013,1,Chennai,3,7,Chennai East Market,2025-12-14 07:38:17,2,Synthetic Stimulants / MDMA / Meth,CORROBORATED,MULTI_SOURCE_CORROBORATION,84
EMG-SIG-00014,31,Virudhunagar,155,465,Virudhunagar Central Industrial Bypass,2025-10-17 18:58:33,2,Synthetic Stimulants / MDMA / Meth,PERSISTENT,MICRO_CLUSTER_48H,87
EMG-SIG-00015,6,Tirunelveli,29,85,Tirunelveli West Market,2026-07-29 22:32:07,1,Commercial Ganja / Cannabis,EMERGING,MICRO_CLUSTER_48H,73
EMG-SIG-00016,6,Tirunelveli,26,77,Tirunelveli North Campus Zone,2026-07-11 20:01:26,3,Prescription Narcotics / Codeine / Alprazolam,PERSISTENT,MULTI_SOURCE_CORROBORATION,82
EMG-SIG-00017,34,Nagapattinam,166,497,Nagapattinam North Campus Zone,2025-11-15 17:47:41,3,Prescription Narcotics / Codeine / Alprazolam,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,84
EMG-SIG-00018,23,Namakkal,114,340,Namakkal West Market,2025-04-09 20:47:19,1,Commercial Ganja / Cannabis,UNVERIFIED,FIRST_TIME_ANOMALY,89
EMG-SIG-00019,27,Perambalur,131,391,Perambalur North Market,2025-07-03 01:47:16,5,Opioid Analogues / Brown Sugar / Heroin,UNVERIFIED,MULTI_SOURCE_CORROBORATION,87
EMG-SIG-00020,18,Tiruvallur,89,266,Tiruvallur West Campus Zone,2026-07-15 21:11:57,5,Opioid Analogues / Brown Sugar / Heroin,EMERGING,FIRST_TIME_ANOMALY,68
EMG-SIG-00021,20,Viluppuram,98,294,Viluppuram East Industrial Bypass,2025-12-08 08:05:47,4,Chemical Precursors / Ephedrine,NEW_SIGNAL,FIRST_TIME_ANOMALY,71
EMG-SIG-00022,28,Pudukkottai,138,412,Pudukkottai East Market,2025-06-05 23:52:12,1,Commercial Ganja / Cannabis,UNVERIFIED,FIRST_TIME_ANOMALY,91
EMG-SIG-00023,11,Dindigul,51,152,Dindigul North Campus Zone,2025-07-15 09:39:01,1,Commercial Ganja / Cannabis,PERSISTENT,MICRO_CLUSTER_48H,82
EMG-SIG-00024,28,Pudukkottai,137,410,Pudukkottai South Campus Zone,2025-08-23 11:42:17,3,Prescription Narcotics / Codeine / Alprazolam,PERSISTENT,FIRST_TIME_ANOMALY,84
EMG-SIG-00025,13,Thoothukudi,64,191,Thoothukudi West Campus Zone,2026-02-28 08:09:57,2,Synthetic Stimulants / MDMA / Meth,CORROBORATED,MULTI_SOURCE_CORROBORATION,65
EMG-SIG-00026,9,Vellore,44,132,Vellore West Industrial Bypass,2024-12-30 15:58:26,6,Unclassified / Suspicious Substance,NEW_SIGNAL,FIRST_TIME_ANOMALY,77
EMG-SIG-00027,26,Ariyalur,129,385,Ariyalur West Market,2025-06-26 00:24:09,5,Opioid Analogues / Brown Sugar / Heroin,CORROBORATED,MICRO_CLUSTER_48H,67
EMG-SIG-00028,20,Viluppuram,100,299,Viluppuram Central Campus Zone,2026-06-19 04:48:05,5,Opioid Analogues / Brown Sugar / Heroin,PERSISTENT,FIRST_TIME_ANOMALY,71
EMG-SIG-00029,32,Theni,159,475,Theni West Market,2025-06-28 07:30:53,6,Unclassified / Suspicious Substance,PERSISTENT,MICRO_CLUSTER_48H,77
EMG-SIG-00030,7,Erode,32,96,Erode South Industrial Bypass,2025-08-31 10:15:52,5,Opioid Analogues / Brown Sugar / Heroin,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,65
EMG-SIG-00031,28,Pudukkottai,140,420,Pudukkottai Central Industrial Bypass,2026-01-17 16:21:00,1,Commercial Ganja / Cannabis,PERSISTENT,FIRST_TIME_ANOMALY,90
EMG-SIG-00032,17,Chengalpattu,85,253,Chengalpattu Central Market,2025-04-29 18:17:42,5,Opioid Analogues / Brown Sugar / Heroin,DISMISSED,FIRST_TIME_ANOMALY,70
EMG-SIG-00033,8,Tiruppur,38,114,Tiruppur East Industrial Bypass,2026-04-10 12:58:28,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MULTI_SOURCE_CORROBORATION,86
EMG-SIG-00034,6,Tirunelveli,29,85,Tirunelveli West Market,2025-08-13 08:46:45,6,Unclassified / Suspicious Substance,UNVERIFIED,MICRO_CLUSTER_48H,78
EMG-SIG-00035,18,Tiruvallur,86,257,Tiruvallur North Campus Zone,2026-07-04 02:06:29,1,Commercial Ganja / Cannabis,DISMISSED,MULTI_SOURCE_CORROBORATION,74
EMG-SIG-00036,28,Pudukkottai,140,419,Pudukkottai Central Campus Zone,2025-10-30 17:53:26,4,Chemical Precursors / Ephedrine,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,65
EMG-SIG-00037,3,Madurai,15,43,Madurai Central Market,2024-09-18 18:55:11,4,Chemical Precursors / Ephedrine,EMERGING,MULTI_SOURCE_CORROBORATION,94
EMG-SIG-00038,5,Tiruchirappalli,24,71,Tiruchirappalli West Campus Zone,2026-06-11 20:59:48,4,Chemical Precursors / Ephedrine,NEW_SIGNAL,MICRO_CLUSTER_48H,88
EMG-SIG-00039,5,Tiruchirappalli,25,74,Tiruchirappalli Central Campus Zone,2026-01-16 23:47:39,1,Commercial Ganja / Cannabis,DISMISSED,FIRST_TIME_ANOMALY,90
EMG-SIG-00040,34,Nagapattinam,170,509,Nagapattinam Central Campus Zone,2024-10-06 20:15:56,6,Unclassified / Suspicious Substance,EMERGING,FIRST_TIME_ANOMALY,73
EMG-SIG-00041,21,Kallakurichi,104,312,Kallakurichi West Industrial Bypass,2024-11-07 00:48:46,5,Opioid Analogues / Brown Sugar / Heroin,EMERGING,MICRO_CLUSTER_48H,76
EMG-SIG-00042,5,Tiruchirappalli,23,69,Tiruchirappalli East Industrial Bypass,2025-12-24 10:00:35,2,Synthetic Stimulants / MDMA / Meth,DISMISSED,MICRO_CLUSTER_48H,77
EMG-SIG-00043,19,Cuddalore,92,275,Cuddalore South Campus Zone,2025-09-13 11:07:31,4,Chemical Precursors / Ephedrine,EMERGING,MICRO_CLUSTER_48H,84
EMG-SIG-00044,1,Chennai,1,1,Chennai North Market,2026-05-09 05:13:16,1,Commercial Ganja / Cannabis,DISMISSED,MICRO_CLUSTER_48H,77
EMG-SIG-00045,9,Vellore,45,135,Vellore Central Industrial Bypass,2025-08-11 15:17:25,3,Prescription Narcotics / Codeine / Alprazolam,DISMISSED,MICRO_CLUSTER_48H,65
EMG-SIG-00046,35,Mayiladuthurai,172,515,Mayiladuthurai South Campus Zone,2025-06-05 13:01:24,1,Commercial Ganja / Cannabis,EMERGING,MULTI_SOURCE_CORROBORATION,75
EMG-SIG-00047,32,Theni,156,468,Theni North Industrial Bypass,2024-11-04 17:55:54,2,Synthetic Stimulants / MDMA / Meth,DISMISSED,FIRST_TIME_ANOMALY,91
EMG-SIG-00048,14,Kanniyakumari,70,208,Kanniyakumari Central Market,2025-07-06 13:45:18,6,Unclassified / Suspicious Substance,NEW_SIGNAL,FIRST_TIME_ANOMALY,82
EMG-SIG-00049,20,Viluppuram,100,299,Viluppuram Central Campus Zone,2026-02-01 13:42:28,3,Prescription Narcotics / Codeine / Alprazolam,DISMISSED,FIRST_TIME_ANOMALY,70
EMG-SIG-00050,33,Thiruvarur,163,488,Thiruvarur East Campus Zone,2026-05-27 07:45:16,6,Unclassified / Suspicious Substance,PERSISTENT,MULTI_SOURCE_CORROBORATION,88
EMG-SIG-00051,22,Dharmapuri,109,326,Dharmapuri West Campus Zone,2026-04-01 16:57:11,4,Chemical Precursors / Ephedrine,CORROBORATED,MULTI_SOURCE_CORROBORATION,65
EMG-SIG-00052,17,Chengalpattu,84,252,Chengalpattu West Industrial Bypass,2025-09-15 06:12:09,2,Synthetic Stimulants / MDMA / Meth,DISMISSED,MULTI_SOURCE_CORROBORATION,80
EMG-SIG-00053,4,Salem,18,54,Salem East Industrial Bypass,2026-07-28 23:57:53,2,Synthetic Stimulants / MDMA / Meth,EMERGING,FIRST_TIME_ANOMALY,73
EMG-SIG-00054,3,Madurai,15,45,Madurai Central Industrial Bypass,2025-02-13 10:56:24,4,Chemical Precursors / Ephedrine,UNVERIFIED,MULTI_SOURCE_CORROBORATION,85
EMG-SIG-00055,2,Coimbatore,8,22,Coimbatore East Market,2025-05-05 13:46:48,4,Chemical Precursors / Ephedrine,UNVERIFIED,MULTI_SOURCE_CORROBORATION,81
EMG-SIG-00056,9,Vellore,44,132,Vellore West Industrial Bypass,2025-08-06 17:22:23,2,Synthetic Stimulants / MDMA / Meth,UNVERIFIED,MICRO_CLUSTER_48H,91
EMG-SIG-00057,6,Tirunelveli,27,80,Tirunelveli South Campus Zone,2025-02-08 02:56:13,6,Unclassified / Suspicious Substance,NEW_SIGNAL,MICRO_CLUSTER_48H,81
EMG-SIG-00058,22,Dharmapuri,110,329,Dharmapuri Central Campus Zone,2026-03-07 04:22:01,4,Chemical Precursors / Ephedrine,EMERGING,MICRO_CLUSTER_48H,88
EMG-SIG-00059,28,Pudukkottai,137,411,Pudukkottai South Industrial Bypass,2024-11-04 16:10:20,1,Commercial Ganja / Cannabis,UNVERIFIED,MULTI_SOURCE_CORROBORATION,66
EMG-SIG-00060,3,Madurai,13,39,Madurai East Industrial Bypass,2025-09-25 11:44:08,1,Commercial Ganja / Cannabis,EMERGING,MICRO_CLUSTER_48H,93
EMG-SIG-00061,26,Ariyalur,128,384,Ariyalur East Industrial Bypass,2026-01-13 17:50:57,3,Prescription Narcotics / Codeine / Alprazolam,CORROBORATED,MULTI_SOURCE_CORROBORATION,71
EMG-SIG-00062,31,Virudhunagar,154,461,Virudhunagar West Campus Zone,2025-12-08 21:39:04,2,Synthetic Stimulants / MDMA / Meth,UNVERIFIED,FIRST_TIME_ANOMALY,78
EMG-SIG-00063,37,Tirupathur,184,550,Tirupathur West Market,2026-04-02 16:51:47,4,Chemical Precursors / Ephedrine,PERSISTENT,MICRO_CLUSTER_48H,90
EMG-SIG-00064,16,Kancheepuram,80,238,Kancheepuram Central Market,2025-12-08 04:02:59,2,Synthetic Stimulants / MDMA / Meth,CORROBORATED,MICRO_CLUSTER_48H,83
EMG-SIG-00065,10,Krishnagiri,50,150,Krishnagiri Central Industrial Bypass,2025-10-15 00:49:44,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MULTI_SOURCE_CORROBORATION,82
EMG-SIG-00066,29,Sivaganga,142,424,Sivaganga South Market,2024-11-07 20:42:00,5,Opioid Analogues / Brown Sugar / Heroin,PERSISTENT,FIRST_TIME_ANOMALY,75
EMG-SIG-00067,35,Mayiladuthurai,172,516,Mayiladuthurai South Industrial Bypass,2025-09-04 08:12:56,5,Opioid Analogues / Brown Sugar / Heroin,UNVERIFIED,MULTI_SOURCE_CORROBORATION,78
EMG-SIG-00068,30,Ramanathapuram,147,439,Ramanathapuram South Market,2026-08-11 14:48:22,2,Synthetic Stimulants / MDMA / Meth,NEW_SIGNAL,MICRO_CLUSTER_48H,94
EMG-SIG-00069,23,Namakkal,111,331,Namakkal North Market,2025-04-27 11:43:52,4,Chemical Precursors / Ephedrine,DISMISSED,MICRO_CLUSTER_48H,77
EMG-SIG-00070,26,Ariyalur,130,389,Ariyalur Central Campus Zone,2025-07-02 01:44:41,4,Chemical Precursors / Ephedrine,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,82
EMG-SIG-00071,3,Madurai,14,40,Madurai West Market,2026-02-27 16:14:05,2,Synthetic Stimulants / MDMA / Meth,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,81
EMG-SIG-00072,21,Kallakurichi,104,311,Kallakurichi West Campus Zone,2025-05-09 16:20:02,1,Commercial Ganja / Cannabis,NEW_SIGNAL,FIRST_TIME_ANOMALY,90
EMG-SIG-00073,5,Tiruchirappalli,22,65,Tiruchirappalli South Campus Zone,2025-02-24 13:47:17,4,Chemical Precursors / Ephedrine,EMERGING,MULTI_SOURCE_CORROBORATION,87
EMG-SIG-00074,5,Tiruchirappalli,25,75,Tiruchirappalli Central Industrial Bypass,2025-09-20 16:32:23,1,Commercial Ganja / Cannabis,CORROBORATED,MICRO_CLUSTER_48H,74
EMG-SIG-00075,12,Thanjavur,56,168,Thanjavur North Industrial Bypass,2025-08-05 04:53:55,5,Opioid Analogues / Brown Sugar / Heroin,UNVERIFIED,FIRST_TIME_ANOMALY,78
EMG-SIG-00076,30,Ramanathapuram,146,436,Ramanathapuram North Market,2025-03-11 20:59:10,5,Opioid Analogues / Brown Sugar / Heroin,PERSISTENT,FIRST_TIME_ANOMALY,94
EMG-SIG-00077,14,Kanniyakumari,67,201,Kanniyakumari South Industrial Bypass,2024-10-21 04:12:26,1,Commercial Ganja / Cannabis,UNVERIFIED,MICRO_CLUSTER_48H,76
EMG-SIG-00078,27,Perambalur,134,400,Perambalur West Market,2025-12-24 23:28:47,2,Synthetic Stimulants / MDMA / Meth,PERSISTENT,FIRST_TIME_ANOMALY,78
EMG-SIG-00079,6,Tirunelveli,30,90,Tirunelveli Central Industrial Bypass,2024-09-26 05:32:59,6,Unclassified / Suspicious Substance,PERSISTENT,FIRST_TIME_ANOMALY,76
EMG-SIG-00080,19,Cuddalore,91,272,Cuddalore North Campus Zone,2024-10-13 17:11:28,6,Unclassified / Suspicious Substance,PERSISTENT,MICRO_CLUSTER_48H,77
EMG-SIG-00081,14,Kanniyakumari,68,204,Kanniyakumari East Industrial Bypass,2025-01-31 23:46:19,2,Synthetic Stimulants / MDMA / Meth,UNVERIFIED,FIRST_TIME_ANOMALY,90
EMG-SIG-00082,16,Kancheepuram,79,236,Kancheepuram West Campus Zone,2025-12-25 07:59:47,5,Opioid Analogues / Brown Sugar / Heroin,EMERGING,FIRST_TIME_ANOMALY,93
EMG-SIG-00083,2,Coimbatore,7,20,Coimbatore South Campus Zone,2026-02-18 02:30:47,5,Opioid Analogues / Brown Sugar / Heroin,DISMISSED,FIRST_TIME_ANOMALY,79
EMG-SIG-00084,26,Ariyalur,127,379,Ariyalur South Market,2024-10-31 08:28:22,4,Chemical Precursors / Ephedrine,NEW_SIGNAL,FIRST_TIME_ANOMALY,91
EMG-SIG-00085,21,Kallakurichi,101,302,Kallakurichi North Campus Zone,2024-09-30 15:33:00,1,Commercial Ganja / Cannabis,UNVERIFIED,MICRO_CLUSTER_48H,90
EMG-SIG-00086,7,Erode,33,99,Erode East Industrial Bypass,2026-06-12 10:48:30,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MICRO_CLUSTER_48H,83
EMG-SIG-00087,34,Nagapattinam,168,503,Nagapattinam East Campus Zone,2025-02-18 21:26:11,4,Chemical Precursors / Ephedrine,PERSISTENT,MICRO_CLUSTER_48H,88
EMG-SIG-00088,9,Vellore,41,122,Vellore North Campus Zone,2026-02-02 04:05:46,2,Synthetic Stimulants / MDMA / Meth,NEW_SIGNAL,MICRO_CLUSTER_48H,84
EMG-SIG-00089,36,Ranipet,176,527,Ranipet North Campus Zone,2025-06-07 08:19:59,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MICRO_CLUSTER_48H,65
EMG-SIG-00090,20,Viluppuram,98,293,Viluppuram East Campus Zone,2024-12-09 02:45:53,5,Opioid Analogues / Brown Sugar / Heroin,EMERGING,MICRO_CLUSTER_48H,66
EMG-SIG-00091,28,Pudukkottai,139,417,Pudukkottai West Industrial Bypass,2025-06-27 16:02:21,2,Synthetic Stimulants / MDMA / Meth,DISMISSED,FIRST_TIME_ANOMALY,66
EMG-SIG-00092,31,Virudhunagar,154,461,Virudhunagar West Campus Zone,2025-01-06 01:11:58,1,Commercial Ganja / Cannabis,CORROBORATED,FIRST_TIME_ANOMALY,78
EMG-SIG-00093,22,Dharmapuri,106,318,Dharmapuri North Industrial Bypass,2025-10-24 17:24:33,6,Unclassified / Suspicious Substance,EMERGING,MICRO_CLUSTER_48H,72
EMG-SIG-00094,24,Nilgiris,119,355,Nilgiris West Market,2025-03-21 08:40:41,6,Unclassified / Suspicious Substance,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,91
EMG-SIG-00095,5,Tiruchirappalli,23,69,Tiruchirappalli East Industrial Bypass,2026-05-16 14:17:24,3,Prescription Narcotics / Codeine / Alprazolam,UNVERIFIED,MULTI_SOURCE_CORROBORATION,88
EMG-SIG-00096,29,Sivaganga,145,434,Sivaganga Central Campus Zone,2024-12-01 04:16:42,1,Commercial Ganja / Cannabis,DISMISSED,MICRO_CLUSTER_48H,69
EMG-SIG-00097,21,Kallakurichi,104,312,Kallakurichi West Industrial Bypass,2026-02-23 14:41:29,6,Unclassified / Suspicious Substance,PERSISTENT,FIRST_TIME_ANOMALY,66
EMG-SIG-00098,2,Coimbatore,8,22,Coimbatore East Market,2024-12-30 16:04:45,3,Prescription Narcotics / Codeine / Alprazolam,EMERGING,MULTI_SOURCE_CORROBORATION,69
EMG-SIG-00099,8,Tiruppur,38,112,Tiruppur East Market,2024-11-26 03:31:53,2,Synthetic Stimulants / MDMA / Meth,PERSISTENT,FIRST_TIME_ANOMALY,76
EMG-SIG-00100,16,Kancheepuram,79,237,Kancheepuram West Industrial Bypass,2026-05-15 16:49:48,2,Synthetic Stimulants / MDMA / Meth,NEW_SIGNAL,MICRO_CLUSTER_48H,87
EMG-SIG-00101,25,Karur,123,367,Karur East Market,2025-07-24 23:16:45,5,Opioid Analogues / Brown Sugar / Heroin,UNVERIFIED,MICRO_CLUSTER_48H,69
EMG-SIG-00102,29,Sivaganga,142,426,Sivaganga South Industrial Bypass,2025-06-04 02:13:35,3,Prescription Narcotics / Codeine / Alprazolam,PERSISTENT,MICRO_CLUSTER_48H,83
EMG-SIG-00103,26,Ariyalur,128,383,Ariyalur East Campus Zone,2026-02-21 17:37:20,1,Commercial Ganja / Cannabis,UNVERIFIED,MULTI_SOURCE_CORROBORATION,91
EMG-SIG-00104,10,Krishnagiri,49,146,Krishnagiri West Campus Zone,2025-08-17 05:20:50,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MULTI_SOURCE_CORROBORATION,86
EMG-SIG-00105,19,Cuddalore,93,279,Cuddalore East Industrial Bypass,2025-07-14 00:13:35,4,Chemical Precursors / Ephedrine,UNVERIFIED,MICRO_CLUSTER_48H,85
EMG-SIG-00106,18,Tiruvallur,88,262,Tiruvallur East Market,2025-09-16 21:25:38,4,Chemical Precursors / Ephedrine,CORROBORATED,MICRO_CLUSTER_48H,65
EMG-SIG-00107,15,Tenkasi,73,218,Tenkasi East Campus Zone,2025-09-13 17:02:13,3,Prescription Narcotics / Codeine / Alprazolam,EMERGING,MICRO_CLUSTER_48H,70
EMG-SIG-00108,37,Tirupathur,182,544,Tirupathur South Market,2024-12-17 16:46:20,2,Synthetic Stimulants / MDMA / Meth,PERSISTENT,FIRST_TIME_ANOMALY,73
EMG-SIG-00109,18,Tiruvallur,89,265,Tiruvallur West Market,2025-02-17 16:05:57,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MICRO_CLUSTER_48H,81
EMG-SIG-00110,33,Thiruvarur,165,495,Thiruvarur Central Industrial Bypass,2026-08-07 09:46:50,1,Commercial Ganja / Cannabis,DISMISSED,FIRST_TIME_ANOMALY,86
EMG-SIG-00111,21,Kallakurichi,101,301,Kallakurichi North Market,2025-01-10 11:43:12,5,Opioid Analogues / Brown Sugar / Heroin,DISMISSED,MICRO_CLUSTER_48H,80
EMG-SIG-00112,34,Nagapattinam,168,504,Nagapattinam East Industrial Bypass,2025-09-14 15:16:41,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MICRO_CLUSTER_48H,90
EMG-SIG-00113,36,Ranipet,178,534,Ranipet East Industrial Bypass,2025-05-11 04:28:19,5,Opioid Analogues / Brown Sugar / Heroin,UNVERIFIED,MICRO_CLUSTER_48H,83
EMG-SIG-00114,3,Madurai,11,31,Madurai North Market,2024-10-02 08:02:27,6,Unclassified / Suspicious Substance,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,94
EMG-SIG-00115,28,Pudukkottai,137,411,Pudukkottai South Industrial Bypass,2026-07-03 23:53:40,3,Prescription Narcotics / Codeine / Alprazolam,CORROBORATED,MICRO_CLUSTER_48H,92
EMG-SIG-00116,17,Chengalpattu,83,247,Chengalpattu East Market,2025-12-01 10:50:41,3,Prescription Narcotics / Codeine / Alprazolam,PERSISTENT,FIRST_TIME_ANOMALY,70
EMG-SIG-00117,31,Virudhunagar,152,454,Virudhunagar South Market,2026-02-07 12:41:32,4,Chemical Precursors / Ephedrine,DISMISSED,MICRO_CLUSTER_48H,65
EMG-SIG-00118,9,Vellore,41,121,Vellore North Market,2024-09-20 18:15:26,5,Opioid Analogues / Brown Sugar / Heroin,PERSISTENT,MICRO_CLUSTER_48H,78
EMG-SIG-00119,32,Theni,158,472,Theni East Market,2026-02-15 10:11:00,6,Unclassified / Suspicious Substance,DISMISSED,MICRO_CLUSTER_48H,71
EMG-SIG-00120,14,Kanniyakumari,69,207,Kanniyakumari West Industrial Bypass,2026-01-20 06:40:45,1,Commercial Ganja / Cannabis,UNVERIFIED,MICRO_CLUSTER_48H,77
EMG-SIG-00121,25,Karur,122,366,Karur South Industrial Bypass,2024-11-14 01:47:01,3,Prescription Narcotics / Codeine / Alprazolam,NEW_SIGNAL,MULTI_SOURCE_CORROBORATION,93
EMG-SIG-00122,3,Madurai,11,31,Madurai North Market,2024-12-25 08:33:22,5,Opioid Analogues / Brown Sugar / Heroin,UNVERIFIED,FIRST_TIME_ANOMALY,72
EMG-SIG-00123,22,Dharmapuri,106,317,Dharmapuri North Campus Zone,2025-05-23 06:43:06,3,Prescription Narcotics / Codeine / Alprazolam,NEW_SIGNAL,MICRO_CLUSTER_48H,84
EMG-SIG-00124,10,Krishnagiri,50,150,Krishnagiri Central Industrial Bypass,2026-01-24 08:19:44,2,Synthetic Stimulants / MDMA / Meth,EMERGING,MICRO_CLUSTER_48H,94
EMG-SIG-00125,14,Kanniyakumari,68,202,Kanniyakumari East Market,2026-01-31 21:32:34,3,Prescription Narcotics / Codeine / Alprazolam,DISMISSED,MULTI_SOURCE_CORROBORATION,71
EMG-SIG-00126,7,Erode,32,95,Erode South Campus Zone,2025-03-19 07:35:07,2,Synthetic Stimulants / MDMA / Meth,PERSISTENT,MICRO_CLUSTER_48H,94
EMG-SIG-00127,38,Tiruvannamalai,186,558,Tiruvannamalai North Industrial Bypass,2025-09-17 11:11:08,6,Unclassified / Suspicious Substance,NEW_SIGNAL,FIRST_TIME_ANOMALY,85
EMG-SIG-00128,36,Ranipet,177,531,Ranipet South Industrial Bypass,2026-08-17 13:06:53,6,Unclassified / Suspicious Substance,EMERGING,MULTI_SOURCE_CORROBORATION,81
EMG-SIG-00129,29,Sivaganga,144,432,Sivaganga West Industrial Bypass,2025-08-20 10:20:59,4,Chemical Precursors / Ephedrine,UNVERIFIED,FIRST_TIME_ANOMALY,70
EMG-SIG-00130,11,Dindigul,52,155,Dindigul South Campus Zone,2026-02-08 17:59:28,1,Commercial Ganja / Cannabis,EMERGING,FIRST_TIME_ANOMALY,71
EMG-SIG-00131,13,Thoothukudi,64,190,Thoothukudi West Market,2026-07-11 13:50:01,3,Prescription Narcotics / Codeine / Alprazolam,EMERGING,MULTI_SOURCE_CORROBORATION,67
EMG-SIG-00132,15,Tenkasi,72,216,Tenkasi South Industrial Bypass,2025-11-01 11:04:20,4,Chemical Precursors / Ephedrine,UNVERIFIED,MULTI_SOURCE_CORROBORATION,81
EMG-SIG-00133,25,Karur,123,368,Karur East Campus Zone,2026-01-14 03:05:04,1,Commercial Ganja / Cannabis,UNVERIFIED,MICRO_CLUSTER_48H,72
EMG-SIG-00134,21,Kallakurichi,101,303,Kallakurichi North Industrial Bypass,2024-10-24 12:12:18,5,Opioid Analogues / Brown Sugar / Heroin,PERSISTENT,FIRST_TIME_ANOMALY,73
EMG-SIG-00135,29,Sivaganga,145,434,Sivaganga Central Campus Zone,2024-11-02 05:08:22,2,Synthetic Stimulants / MDMA / Meth,EMERGING,FIRST_TIME_ANOMALY,86
EMG-SIG-00136,30,Ramanathapuram,148,442,Ramanathapuram East Market,2024-10-05 12:46:54,2,Synthetic Stimulants / MDMA / Meth,UNVERIFIED,FIRST_TIME_ANOMALY,77
EMG-SIG-00137,32,Theni,159,477,Theni West Industrial Bypass,2024-11-20 17:57:07,2,Synthetic Stimulants / MDMA / Meth,UNVERIFIED,MULTI_SOURCE_CORROBORATION,73
EMG-SIG-00138,14,Kanniyakumari,69,207,Kanniyakumari West Industrial Bypass,2025-11-15 21:54:49,3,Prescription Narcotics / Codeine / Alprazolam,DISMISSED,FIRST_TIME_ANOMALY,87
EMG-SIG-00139,38,Tiruvannamalai,190,570,Tiruvannamalai Central Industrial Bypass,2024-11-03 06:33:28,3,Prescription Narcotics / Codeine / Alprazolam,NEW_SIGNAL,MICRO_CLUSTER_48H,65
EMG-SIG-00140,25,Karur,125,375,Karur Central Industrial Bypass,2025-12-07 13:56:54,2,Synthetic Stimulants / MDMA / Meth,DISMISSED,MULTI_SOURCE_CORROBORATION,79
EMG-SIG-00141,10,Krishnagiri,50,149,Krishnagiri Central Campus Zone,2026-02-23 06:40:20,2,Synthetic Stimulants / MDMA / Meth,NEW_SIGNAL,FIRST_TIME_ANOMALY,93
