snapshot_id,district_id,district_name,snapshot_timestamp,risk_indicator,velocity_ratio,confidence_score,coverage_status,trend_classification
RZ-HIST-00085,11,Dindigul,2026-01-09 19:10:06,WATCH,0.9,68,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00086,23,Namakkal,2026-01-28 15:29:16,WATCH,0.9,68,MODERATE,RAPID_ACCELERATION
RZ-HIST-00087,1,Chennai,2025-11-24 03:29:01,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,BASELINE_STABLE
RZ-HIST-00088,37,Tirupathur,2025-12-03 18:40:52,WATCH,1.2,67,MODERATE,BASELINE_STABLE
RZ-HIST-00089,2,Coimbatore,2026-02-02 23:47:35,HIGH PREVENTIVE ATTENTION,6,88,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00090,5,Tiruchirappalli,2024-10-05 12:33:35,WATCH,1.1,74,GOOD,RAPID_ACCELERATION
RZ-HIST-00091,19,Cuddalore,2026-08-06 13:31:30,LOW,0.8,62,MODERATE,DECELERATING
RZ-HIST-00092,14,Kanniyakumari,2025-06-17 02:46:11,WATCH,1.1,70,MODERATE,BASELINE_STABLE
RZ-HIST-00093,19,Cuddalore,2025-09-01 15:41:13,LOW,0.8,62,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00094,30,Ramanathapuram,2025-02-25 01:11:14,WATCH,1.5,71,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00095,27,Perambalur,2026-08-05 23:45:32,INSUFFICIENT_DATA,0.4,44,LIMITED,DECELERATING
RZ-HIST-00096,7,Erode,2026-06-14 07:45:40,WATCH,1.2,75,GOOD,BASELINE_STABLE
RZ-HIST-00097,34,Nagapattinam,2026-06-04 09:16:48,WATCH,1.2,68,MODERATE,BASELINE_STABLE
RZ-HIST-00098,35,Mayiladuthurai,2026-01-14 18:12:45,LOW,0.6,58,LIMITED,BASELINE_STABLE
RZ-HIST-00099,16,Kancheepuram,2024-09-25 01:49:59,WATCH,1,72,GOOD,BASELINE_STABLE
RZ-HIST-00100,26,Ariyalur,2025-12-28 04:06:45,INSUFFICIENT_DATA,0.3,42,LIMITED,RAPID_ACCELERATION
RZ-HIST-00101,1,Chennai,2025-05-01 12:50:22,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,BASELINE_STABLE
RZ-HIST-00102,1,Chennai,2025-02-04 22:51:53,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,DECELERATING
RZ-HIST-00103,16,Kancheepuram,2026-06-11 03:09:21,WATCH,1,72,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00104,24,Nilgiris,2025-03-23 05:28:53,WATCH,1.8,74,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00105,26,Ariyalur,2024-11-27 15:39:17,INSUFFICIENT_DATA,0.3,42,LIMITED,RAPID_ACCELERATION
RZ-HIST-00106,22,Dharmapuri,2024-10-20 19:03:10,WATCH,1.4,66,MODERATE,RAPID_ACCELERATION
RZ-HIST-00107,8,Tiruppur,2025-01-23 14:38:08,INCREASING,2.8,80,GOOD,RAPID_ACCELERATION
RZ-HIST-00108,35,Mayiladuthurai,2025-08-23 08:50:38,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00109,26,Ariyalur,2025-08-18 12:19:09,INSUFFICIENT_DATA,0.3,42,LIMITED,RAPID_ACCELERATION
RZ-HIST-00110,13,Thoothukudi,2025-07-14 11:44:54,INCREASING,2.5,86,GOOD,RAPID_ACCELERATION
RZ-HIST-00111,8,Tiruppur,2026-03-10 01:35:44,INCREASING,2.8,80,GOOD,DECELERATING
RZ-HIST-00112,17,Chengalpattu,2024-11-03 12:22:40,INCREASING,2.1,78,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00113,23,Namakkal,2025-06-02 03:44:33,WATCH,0.9,68,MODERATE,RAPID_ACCELERATION
RZ-HIST-00114,21,Kallakurichi,2026-07-18 02:15:52,LOW,0.6,58,LIMITED,DECELERATING
RZ-HIST-00115,20,Viluppuram,2026-03-08 00:13:23,WATCH,1,65,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00116,33,Thiruvarur,2026-03-22 04:39:51,LOW,0.5,56,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00117,23,Namakkal,2025-03-05 20:23:38,WATCH,0.9,68,MODERATE,BASELINE_STABLE
RZ-HIST-00118,14,Kanniyakumari,2025-10-12 08:40:15,WATCH,1.1,70,MODERATE,DECELERATING
RZ-HIST-00119,26,Ariyalur,2025-07-20 11:45:15,INSUFFICIENT_DATA,0.3,42,LIMITED,BASELINE_STABLE
RZ-HIST-00120,9,Vellore,2024-09-22 12:20:33,INCREASING,2.2,76,GOOD,BASELINE_STABLE
RZ-HIST-00121,29,Sivaganga,2026-06-13 03:24:43,LOW,0.6,59,LIMITED,DECELERATING
RZ-HIST-00122,26,Ariyalur,2026-08-02 09:55:45,INSUFFICIENT_DATA,0.3,42,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00123,15,Tenkasi,2025-04-21 17:56:26,WATCH,2.3,68,LIMITED,RAPID_ACCELERATION
RZ-HIST-00124,10,Krishnagiri,2025-08-14 14:52:50,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00125,29,Sivaganga,2025-09-10 21:41:09,LOW,0.6,59,LIMITED,DECELERATING
RZ-HIST-00126,6,Tirunelveli,2024-10-24 17:57:33,WATCH,1,72,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00127,16,Kancheepuram,2025-03-08 02:46:58,WATCH,1,72,GOOD,BASELINE_STABLE
RZ-HIST-00128,28,Pudukkottai,2025-10-15 10:24:57,LOW,0.8,61,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00129,24,Nilgiris,2024-11-07 16:45:09,WATCH,1.8,74,MODERATE,BASELINE_STABLE
RZ-HIST-00130,10,Krishnagiri,2026-01-16 18:59:03,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,RAPID_ACCELERATION
RZ-HIST-00131,20,Viluppuram,2025-04-17 06:22:16,WATCH,1,65,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00132,27,Perambalur,2025-08-05 19:17:56,INSUFFICIENT_DATA,0.4,44,LIMITED,RAPID_ACCELERATION
RZ-HIST-00133,4,Salem,2025-03-01 16:59:53,INCREASING,2.4,82,GOOD,BASELINE_STABLE
RZ-HIST-00134,30,Ramanathapuram,2024-11-25 04:23:12,WATCH,1.5,71,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00135,2,Coimbatore,2025-09-06 11:08:27,HIGH PREVENTIVE ATTENTION,6,88,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00136,38,Tiruvannamalai,2025-10-01 21:49:17,WATCH,1.1,70,GOOD,BASELINE_STABLE
RZ-HIST-00137,20,Viluppuram,2025-01-21 05:50:43,WATCH,1,65,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00138,13,Thoothukudi,2025-07-21 08:19:28,INCREASING,2.5,86,GOOD,RAPID_ACCELERATION
RZ-HIST-00139,35,Mayiladuthurai,2026-08-17 03:17:24,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00140,2,Coimbatore,2026-03-14 03:32:19,HIGH PREVENTIVE ATTENTION,6,88,GOOD,DECELERATING
RZ-HIST-00141,27,Perambalur,2025-02-05 11:11:25,INSUFFICIENT_DATA,0.4,44,LIMITED,BASELINE_STABLE
RZ-HIST-00142,19,Cuddalore,2025-06-17 15:54:15,LOW,0.8,62,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00143,9,Vellore,2024-12-05 21:16:25,INCREASING,2.2,76,GOOD,RAPID_ACCELERATION
RZ-HIST-00144,19,Cuddalore,2025-08-31 05:09:32,LOW,0.8,62,MODERATE,BASELINE_STABLE
RZ-HIST-00145,23,Namakkal,2025-08-19 10:24:43,WATCH,0.9,68,MODERATE,BASELINE_STABLE
RZ-HIST-00146,2,Coimbatore,2025-07-31 11:34:53,HIGH PREVENTIVE ATTENTION,6,88,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00147,10,Krishnagiri,2024-09-23 22:03:26,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,DECELERATING
RZ-HIST-00148,22,Dharmapuri,2025-02-08 07:51:01,WATCH,1.4,66,MODERATE,DECELERATING
RZ-HIST-00149,28,Pudukkottai,2025-05-05 07:33:02,LOW,0.8,61,MODERATE,DECELERATING
RZ-HIST-00150,5,Tiruchirappalli,2025-10-07 20:45:16,WATCH,1.1,74,GOOD,BASELINE_STABLE
RZ-HIST-00151,22,Dharmapuri,2026-01-27 15:13:29,WATCH,1.4,66,MODERATE,BASELINE_STABLE
RZ-HIST-00152,1,Chennai,2026-06-12 20:59:55,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,RAPID_ACCELERATION
RZ-HIST-00153,5,Tiruchirappalli,2025-04-12 23:43:00,WATCH,1.1,74,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00154,13,Thoothukudi,2026-05-31 10:28:50,INCREASING,2.5,86,GOOD,DECELERATING
RZ-HIST-00155,32,Theni,2026-01-23 23:31:04,INCREASING,1.9,73,MODERATE,BASELINE_STABLE
RZ-HIST-00156,30,Ramanathapuram,2025-09-03 18:17:50,WATCH,1.5,71,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00157,12,Thanjavur,2025-04-21 03:30:52,LOW,0.7,64,MODERATE,DECELERATING
RZ-HIST-00158,21,Kallakurichi,2026-05-26 04:57:01,LOW,0.6,58,LIMITED,BASELINE_STABLE
RZ-HIST-00159,11,Dindigul,2025-01-22 20:27:52,WATCH,0.9,68,MODERATE,RAPID_ACCELERATION
RZ-HIST-00160,25,Karur,2026-05-25 22:52:22,LOW,0.7,60,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00161,12,Thanjavur,2025-02-10 20:08:39,LOW,0.7,64,MODERATE,RAPID_ACCELERATION
RZ-HIST-00162,10,Krishnagiri,2026-06-27 11:18:05,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00163,10,Krishnagiri,2026-02-25 13:17:07,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,RAPID_ACCELERATION
RZ-HIST-00164,12,Thanjavur,2024-10-17 21:43:48,LOW,0.7,64,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00165,3,Madurai,2026-04-03 03:13:50,INCREASING,2.1,78,GOOD,BASELINE_STABLE
RZ-HIST-00166,8,Tiruppur,2026-04-05 20:12:24,INCREASING,2.8,80,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00167,10,Krishnagiri,2025-02-14 01:39:39,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,DECELERATING
RZ-HIST-00168,33,Thiruvarur,2024-10-30 14:33:04,LOW,0.5,56,LIMITED,BASELINE_STABLE
RZ-HIST-00169,31,Virudhunagar,2024-12-07 12:24:36,WATCH,1,69,MODERATE,BASELINE_STABLE
RZ-HIST-00170,24,Nilgiris,2025-01-12 16:24:34,WATCH,1.8,74,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00171,4,Salem,2024-10-23 17:02:41,INCREASING,2.4,82,GOOD,RAPID_ACCELERATION
RZ-HIST-00172,17,Chengalpattu,2026-07-26 14:25:30,INCREASING,2.1,78,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00173,3,Madurai,2025-08-08 08:18:41,INCREASING,2.1,78,GOOD,DECELERATING
RZ-HIST-00174,18,Tiruvallur,2026-01-13 05:27:40,INCREASING,2.3,80,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00175,1,Chennai,2025-12-19 10:53:12,HIGH PREVENTIVE ATTENTION,3.5,84,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00176,18,Tiruvallur,2026-05-29 06:52:58,INCREASING,2.3,80,GOOD,RAPID_ACCELERATION
RZ-HIST-00177,21,Kallakurichi,2026-02-25 10:39:48,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00178,38,Tiruvannamalai,2025-12-23 21:12:22,WATCH,1.1,70,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00179,29,Sivaganga,2026-01-24 16:38:57,LOW,0.6,59,LIMITED,DECELERATING
RZ-HIST-00180,3,Madurai,2026-01-07 01:53:33,INCREASING,2.1,78,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00181,22,Dharmapuri,2025-02-15 16:20:35,WATCH,1.4,66,MODERATE,BASELINE_STABLE
RZ-HIST-00182,8,Tiruppur,2026-04-08 13:21:37,INCREASING,2.8,80,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00183,17,Chengalpattu,2026-04-12 00:14:08,INCREASING,2.1,78,GOOD,RAPID_ACCELERATION
RZ-HIST-00184,38,Tiruvannamalai,2025-06-08 07:36:24,WATCH,1.1,70,GOOD,DECELERATING
RZ-HIST-00185,26,Ariyalur,2025-12-25 19:44:58,INSUFFICIENT_DATA,0.3,42,LIMITED,BASELINE_STABLE
RZ-HIST-00186,8,Tiruppur,2025-01-02 01:01:46,INCREASING,2.8,80,GOOD,DECELERATING
RZ-HIST-00187,21,Kallakurichi,2025-01-03 19:43:23,LOW,0.6,58,LIMITED,DECELERATING
RZ-HIST-00188,35,Mayiladuthurai,2025-08-21 05:54:49,LOW,0.6,58,LIMITED,BASELINE_STABLE
RZ-HIST-00189,36,Ranipet,2026-05-31 08:28:48,WATCH,1.6,72,GOOD,LIMITED_COVERAGE_GAP
RZ-HIST-00190,3,Madurai,2025-02-27 22:08:56,INCREASING,2.1,78,GOOD,BASELINE_STABLE
RZ-HIST-00191,11,Dindigul,2025-09-29 14:35:29,WATCH,0.9,68,MODERATE,BASELINE_STABLE
RZ-HIST-00192,3,Madurai,2025-06-13 16:34:07,INCREASING,2.1,78,GOOD,RAPID_ACCELERATION
RZ-HIST-00193,37,Tirupathur,2024-12-12 23:50:10,WATCH,1.2,67,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00194,13,Thoothukudi,2026-02-21 05:56:05,INCREASING,2.5,86,GOOD,RAPID_ACCELERATION
RZ-HIST-00195,3,Madurai,2026-01-26 19:05:42,INCREASING,2.1,78,GOOD,DECELERATING
RZ-HIST-00196,36,Ranipet,2025-11-26 11:27:59,WATCH,1.6,72,GOOD,BASELINE_STABLE
RZ-HIST-00197,30,Ramanathapuram,2025-10-12 10:47:08,WATCH,1.5,71,MODERATE,RAPID_ACCELERATION
RZ-HIST-00198,13,Thoothukudi,2025-12-10 06:50:12,INCREASING,2.5,86,GOOD,DECELERATING
RZ-HIST-00199,13,Thoothukudi,2026-07-12 12:51:05,INCREASING,2.5,86,GOOD,DECELERATING
RZ-HIST-00200,2,Coimbatore,2026-07-08 05:37:52,HIGH PREVENTIVE ATTENTION,6,88,GOOD,BASELINE_STABLE
RZ-HIST-00201,31,Virudhunagar,2025-12-10 11:48:37,WATCH,1,69,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00202,17,Chengalpattu,2025-12-17 07:38:16,INCREASING,2.1,78,GOOD,BASELINE_STABLE
RZ-HIST-00203,6,Tirunelveli,2026-02-08 12:44:37,WATCH,1,72,MODERATE,BASELINE_STABLE
RZ-HIST-00204,18,Tiruvallur,2026-07-17 01:23:59,INCREASING,2.3,80,GOOD,BASELINE_STABLE
RZ-HIST-00205,38,Tiruvannamalai,2026-02-20 19:39:06,WATCH,1.1,70,GOOD,RAPID_ACCELERATION
RZ-HIST-00206,11,Dindigul,2025-09-08 12:59:33,WATCH,0.9,68,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00207,12,Thanjavur,2025-09-11 13:17:53,LOW,0.7,64,MODERATE,LIMITED_COVERAGE_GAP
RZ-HIST-00208,28,Pudukkottai,2026-06-02 19:27:17,LOW,0.8,61,MODERATE,BASELINE_STABLE
RZ-HIST-00209,33,Thiruvarur,2025-05-31 19:58:27,LOW,0.5,56,LIMITED,BASELINE_STABLE
RZ-HIST-00210,31,Virudhunagar,2024-11-20 10:31:29,WATCH,1,69,MODERATE,BASELINE_STABLE
RZ-HIST-00211,10,Krishnagiri,2026-05-15 21:10:11,HIGH PREVENTIVE ATTENTION,4.8,85,GOOD,BASELINE_STABLE
RZ-HIST-00212,2,Coimbatore,2026-06-26 06:50:15,HIGH PREVENTIVE ATTENTION,6,88,GOOD,RAPID_ACCELERATION
RZ-HIST-00213,21,Kallakurichi,2026-08-03 22:17:56,LOW,0.6,58,LIMITED,RAPID_ACCELERATION
RZ-HIST-00214,27,Perambalur,2025-04-14 23:35:03,INSUFFICIENT_DATA,0.4,44,LIMITED,LIMITED_COVERAGE_GAP
RZ-HIST-00215,29,Sivaganga,2025-03-24 08:04:00,LOW,0.6,59,LIMITED,DECELERATING
RZ-HIST-00216,18,Tiruvallur,2026-04-03 13:20:34,INCREASING,2.3,80,GOOD,RAPID_ACCELERATION
