taluk_id,district_id,district_name,taluk_name,latitude,longitude,population
90,18,Tiruvallur,Tiruvallur Central,13.1869,79.9106,183109
91,19,Cuddalore,Cuddalore North,11.7508,79.8311,333170
92,19,Cuddalore,Cuddalore South,11.7165,79.7556,472919
93,19,Cuddalore,Cuddalore East,11.6975,79.7664,159352
94,19,Cuddalore,Cuddalore West,11.7960,79.8108,211132
95,19,Cuddalore,Cuddalore Central,11.7501,79.7467,376032
96,20,Viluppuram,Viluppuram North,11.9158,79.5100,300907
97,20,Viluppuram,Viluppuram South,11.9098,79.5067,279900
98,20,Viluppuram,Viluppuram East,11.9422,79.4423,214218
99,20,Viluppuram,Viluppuram West,11.9934,79.4505,254499
100,20,Viluppuram,Viluppuram Central,11.9014,79.4634,220420
101,21,Kallakurichi,Kallakurichi North,11.7266,78.9933,373714
102,21,Kallakurichi,Kallakurichi South,11.7391,78.9177,391643
103,21,Kallakurichi,Kallakurichi East,11.7830,78.9427,408129
104,21,Kallakurichi,Kallakurichi West,11.7081,78.9605,330862
105,21,Kallakurichi,Kallakurichi Central,11.7109,78.9923,310855
106,22,Dharmapuri,Dharmapuri North,12.1768,78.1672,158307
107,22,Dharmapuri,Dharmapuri South,12.1455,78.1893,378996
108,22,Dharmapuri,Dharmapuri East,12.1054,78.2140,195368
109,22,Dharmapuri,Dharmapuri West,12.1317,78.1111,417872
110,22,Dharmapuri,Dharmapuri Central,12.1161,78.1180,282293
111,23,Namakkal,Namakkal North,11.2206,78.1725,337164
112,23,Namakkal,Namakkal South,11.2158,78.1659,197477
113,23,Namakkal,Namakkal East,11.2324,78.1701,440658
114,23,Namakkal,Namakkal West,11.1678,78.1764,222030
115,23,Namakkal,Namakkal Central,11.2681,78.2025,434515
116,24,Nilgiris,Nilgiris North,11.4038,76.6799,472935
117,24,Nilgiris,Nilgiris South,11.4353,76.6511,214836
118,24,Nilgiris,Nilgiris East,11.4130,76.6842,208435
119,24,Nilgiris,Nilgiris West,11.4274,76.6667,257512
120,24,Nilgiris,Nilgiris Central,11.4502,76.7025,265258
121,25,Karur,Karur North,10.9835,78.0769,428776
122,25,Karur,Karur South,11.0061,78.1213,250610
123,25,Karur,Karur East,10.9148,78.0775,292953
124,25,Karur,Karur West,10.9276,78.0548,311764
125,25,Karur,Karur Central,10.9059,78.1258,297204
126,26,Ariyalur,Ariyalur North,11.1507,79.1254,228239
127,26,Ariyalur,Ariyalur South,11.1154,79.0592,476909
128,26,Ariyalur,Ariyalur East,11.1301,79.1015,229727
129,26,Ariyalur,Ariyalur West,11.0849,79.1318,467393
130,26,Ariyalur,Ariyalur Central,11.1206,79.0276,478336
131,27,Perambalur,Perambalur North,11.2931,78.8551,187359
132,27,Perambalur,Perambalur South,11.2543,78.8332,246376
133,27,Perambalur,Perambalur East,11.2843,78.8420,427007
134,27,Perambalur,Perambalur West,11.1772,78.8997,260354
135,27,Perambalur,Perambalur Central,11.2614,78.8441,469956
136,28,Pudukkottai,Pudukkottai North,10.4034,78.8530,247611
137,28,Pudukkottai,Pudukkottai South,10.3895,78.7948,332691
138,28,Pudukkottai,Pudukkottai East,10.3258,78.8031,315076
139,28,Pudukkottai,Pudukkottai West,10.4387,78.8080,276524
140,28,Pudukkottai,Pudukkottai Central,10.4248,78.8207,332315
141,29,Sivaganga,Sivaganga North,9.8028,78.5347,431485
142,29,Sivaganga,Sivaganga South,9.8019,78.4556,428657
143,29,Sivaganga,Sivaganga East,9.8214,78.5022,392655
144,29,Sivaganga,Sivaganga West,9.8322,78.4810,424223
145,29,Sivaganga,Sivaganga Central,9.9016,78.4629,327900
146,30,Ramanathapuram,Ramanathapuram North,9.3579,78.8242,258242
147,30,Ramanathapuram,Ramanathapuram South,9.3657,78.8492,249617
148,30,Ramanathapuram,Ramanathapuram East,9.3351,78.7928,428545
149,30,Ramanathapuram,Ramanathapuram West,9.3277,78.8018,466757
150,30,Ramanathapuram,Ramanathapuram Central,9.3641,78.8340,360093
151,31,Virudhunagar,Virudhunagar North,9.5616,78.0154,409670
152,31,Virudhunagar,Virudhunagar South,9.5467,77.9400,416248
153,31,Virudhunagar,Virudhunagar East,9.5481,78.0066,409977
154,31,Virudhunagar,Virudhunagar West,9.5284,77.9285,263965
155,31,Virudhunagar,Virudhunagar Central,9.5895,77.9492,260231
156,32,Theni,Theni North,10.0219,77.4411,364003
157,32,Theni,Theni South,10.0138,77.5096,383297
158,32,Theni,Theni East,9.9931,77.4994,369702
159,32,Theni,Theni West,10.0176,77.4472,328863
160,32,Theni,Theni Central,10.0072,77.4204,332422
161,33,Thiruvarur,Thiruvarur North,10.7763,79.5900,286039
162,33,Thiruvarur,Thiruvarur South,10.7533,79.6435,315875
163,33,Thiruvarur,Thiruvarur East,10.7736,79.6644,459871
164,33,Thiruvarur,Thiruvarur West,10.7526,79.6057,260613
165,33,Thiruvarur,Thiruvarur Central,10.7371,79.6182,432029
166,34,Nagapattinam,Nagapattinam North,10.7990,79.8395,296286
167,34,Nagapattinam,Nagapattinam South,10.7618,79.8826,270925
168,34,Nagapattinam,Nagapattinam East,10.7409,79.8644,422482
169,34,Nagapattinam,Nagapattinam West,10.7793,79.8291,476001
170,34,Nagapattinam,Nagapattinam Central,10.7140,79.8271,205545
171,35,Mayiladuthurai,Mayiladuthurai North,11.0934,79.6969,389777
172,35,Mayiladuthurai,Mayiladuthurai South,11.0678,79.6886,232654
173,35,Mayiladuthurai,Mayiladuthurai East,11.1587,79.6851,206755
174,35,Mayiladuthurai,Mayiladuthurai West,11.1177,79.6748,257324
175,35,Mayiladuthurai,Mayiladuthurai Central,11.1048,79.6687,359427
176,36,Ranipet,Ranipet North,12.8690,79.3614,322616
177,36,Ranipet,Ranipet South,12.9492,79.3857,178868
178,36,Ranipet,Ranipet East,12.9514,79.3725,389183
179,36,Ranipet,Ranipet West,12.9343,79.3593,241169
180,36,Ranipet,Ranipet Central,12.9697,79.3886,384360
181,37,Tirupathur,Tirupathur North,12.4992,78.5877,161341
182,37,Tirupathur,Tirupathur South,12.4461,78.5602,376417
183,37,Tirupathur,Tirupathur East,12.5012,78.5517,342106
184,37,Tirupathur,Tirupathur West,12.5516,78.5593,316981
185,37,Tirupathur,Tirupathur Central,12.4524,78.5864,292813
186,38,Tiruvannamalai,Tiruvannamalai North,12.2710,79.1229,479047
187,38,Tiruvannamalai,Tiruvannamalai South,12.2314,79.0550,307794
188,38,Tiruvannamalai,Tiruvannamalai East,12.2599,79.0590,415124
189,38,Tiruvannamalai,Tiruvannamalai West,12.2097,79.1189,444978
190,38,Tiruvannamalai,Tiruvannamalai Central,12.2560,79.1016,160281
