citizen_report_id,anonymous_token,district_id,district_name,taluk_id,locality_id,locality_name,category_id,category_name,submitted_at,intake_channel,verification_status,is_first_time_signal
CIT-2026-00084,ANON-TOKEN-15CBCF1646,22,Dharmapuri,107,321,Dharmapuri South Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2026-01-10 19:56:45,WEB_PORTAL,DISMISSED,0
CIT-2026-00085,ANON-TOKEN-84EEADCE49,24,Nilgiris,117,351,Nilgiris South Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2025-04-17 10:48:13,BOT,NEEDS_VERIFICATION,0
CIT-2026-00086,ANON-TOKEN-1771283E30,32,Theni,156,466,Theni North Market,2,Synthetic Stimulants / MDMA / Meth,2026-08-16 05:07:41,MOBILE_APP,NEEDS_VERIFICATION,0
CIT-2026-00087,ANON-TOKEN-81BBACC89A,17,Chengalpattu,85,253,Chengalpattu Central Market,6,Unclassified / Suspicious Substance,2024-10-28 11:08:15,BOT,UNVERIFIED,0
CIT-2026-00088,ANON-TOKEN-233C13F66C,29,Sivaganga,143,427,Sivaganga East Market,4,Chemical Precursors / Ephedrine,2026-03-11 08:26:51,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00089,ANON-TOKEN-4F4CB9D198,5,Tiruchirappalli,24,72,Tiruchirappalli West Industrial Bypass,1,Commercial Ganja / Cannabis,2025-08-24 06:20:18,TOLL_FREE_IVR,DISMISSED,0
CIT-2026-00090,ANON-TOKEN-78F62C32B0,19,Cuddalore,95,284,Cuddalore Central Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,2026-02-15 22:24:09,BOT,CORROBORATED,0
CIT-2026-00091,ANON-TOKEN-4117F3CB32,6,Tirunelveli,27,80,Tirunelveli South Campus Zone,4,Chemical Precursors / Ephedrine,2025-11-11 16:32:03,TOLL_FREE_IVR,NEEDS_VERIFICATION,0
CIT-2026-00092,ANON-TOKEN-255ED5B600,13,Thoothukudi,65,193,Thoothukudi Central Market,6,Unclassified / Suspicious Substance,2024-10-09 05:56:28,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00093,ANON-TOKEN-159C813737,20,Viluppuram,97,289,Viluppuram South Market,5,Opioid Analogues / Brown Sugar / Heroin,2025-08-01 06:38:17,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00094,ANON-TOKEN-386A2E1AD9,12,Thanjavur,58,172,Thanjavur East Market,5,Opioid Analogues / Brown Sugar / Heroin,2024-09-24 21:59:02,BOT,NEEDS_VERIFICATION,0
CIT-2026-00095,ANON-TOKEN-72B51BFEB3,33,Thiruvarur,163,487,Thiruvarur East Market,1,Commercial Ganja / Cannabis,2026-02-17 02:20:36,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00096,ANON-TOKEN-F7642A7729,29,Sivaganga,143,429,Sivaganga East Industrial Bypass,3,Prescription Narcotics / Codeine / Alprazolam,2025-03-13 18:26:30,WEB_PORTAL,DISMISSED,0
CIT-2026-00097,ANON-TOKEN-24D5F9C65B,24,Nilgiris,118,352,Nilgiris East Market,4,Chemical Precursors / Ephedrine,2025-10-06 11:03:49,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00098,ANON-TOKEN-F2BC248316,1,Chennai,3,9,Chennai East Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2025-07-27 23:12:12,WEB_PORTAL,CORROBORATED,0
CIT-2026-00099,ANON-TOKEN-4ED8A8A835,10,Krishnagiri,50,149,Krishnagiri Central Campus Zone,6,Unclassified / Suspicious Substance,2024-10-24 04:57:03,BOT,DISMISSED,0
CIT-2026-00100,ANON-TOKEN-5306FB57A1,34,Nagapattinam,166,497,Nagapattinam North Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,2025-03-22 18:41:26,BOT,UNVERIFIED,0
CIT-2026-00101,ANON-TOKEN-86527E2F9F,3,Madurai,15,44,Madurai Central Campus Zone,6,Unclassified / Suspicious Substance,2024-09-30 09:32:46,TOLL_FREE_IVR,UNVERIFIED,0
CIT-2026-00102,ANON-TOKEN-38EB82A9E3,3,Madurai,14,40,Madurai West Market,2,Synthetic Stimulants / MDMA / Meth,2026-05-17 12:29:54,BOT,CORROBORATED,0
CIT-2026-00103,ANON-TOKEN-92376CD6CD,6,Tirunelveli,26,78,Tirunelveli North Industrial Bypass,6,Unclassified / Suspicious Substance,2025-10-26 22:16:31,MOBILE_APP,CORROBORATED,0
CIT-2026-00104,ANON-TOKEN-A354ECE1CA,2,Coimbatore,7,20,Coimbatore South Campus Zone,4,Chemical Precursors / Ephedrine,2026-04-22 16:06:25,WEB_PORTAL,CORROBORATED,0
CIT-2026-00105,ANON-TOKEN-887BE1E800,38,Tiruvannamalai,189,566,Tiruvannamalai West Campus Zone,4,Chemical Precursors / Ephedrine,2025-07-09 07:47:24,WEB_PORTAL,UNVERIFIED,1
CIT-2026-00106,ANON-TOKEN-DF1629E5A5,37,Tirupathur,185,555,Tirupathur Central Industrial Bypass,4,Chemical Precursors / Ephedrine,2026-07-01 06:16:18,BOT,UNVERIFIED,0
CIT-2026-00107,ANON-TOKEN-5AF4B31D89,17,Chengalpattu,83,248,Chengalpattu East Campus Zone,4,Chemical Precursors / Ephedrine,2026-03-03 11:16:02,BOT,UNVERIFIED,0
CIT-2026-00108,ANON-TOKEN-54C38A2035,36,Ranipet,180,539,Ranipet Central Campus Zone,1,Commercial Ganja / Cannabis,2025-01-18 01:52:02,WEB_PORTAL,CORROBORATED,0
CIT-2026-00109,ANON-TOKEN-4D46E85737,6,Tirunelveli,30,88,Tirunelveli Central Market,1,Commercial Ganja / Cannabis,2025-08-05 03:58:42,WEB_PORTAL,NEEDS_VERIFICATION,0
CIT-2026-00110,ANON-TOKEN-1B186B5E68,17,Chengalpattu,82,244,Chengalpattu South Market,5,Opioid Analogues / Brown Sugar / Heroin,2025-06-07 11:02:48,TOLL_FREE_IVR,DISMISSED,1
CIT-2026-00111,ANON-TOKEN-9A3B34D775,34,Nagapattinam,166,498,Nagapattinam North Industrial Bypass,5,Opioid Analogues / Brown Sugar / Heroin,2026-08-04 06:48:15,BOT,NEEDS_VERIFICATION,0
CIT-2026-00112,ANON-TOKEN-E35F7F155C,3,Madurai,14,41,Madurai West Campus Zone,6,Unclassified / Suspicious Substance,2026-07-19 01:59:47,MOBILE_APP,NEEDS_VERIFICATION,0
CIT-2026-00113,ANON-TOKEN-13EBF2CFDF,21,Kallakurichi,101,303,Kallakurichi North Industrial Bypass,1,Commercial Ganja / Cannabis,2026-07-20 09:31:06,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00114,ANON-TOKEN-4C3C617C00,4,Salem,16,48,Salem North Industrial Bypass,4,Chemical Precursors / Ephedrine,2026-01-24 12:29:12,MOBILE_APP,UNVERIFIED,0
CIT-2026-00115,ANON-TOKEN-3C5427EDD0,14,Kanniyakumari,67,199,Kanniyakumari South Market,1,Commercial Ganja / Cannabis,2025-03-03 15:26:34,BOT,UNVERIFIED,0
CIT-2026-00116,ANON-TOKEN-4BFAD2EFA8,24,Nilgiris,119,356,Nilgiris West Campus Zone,2,Synthetic Stimulants / MDMA / Meth,2025-12-03 22:09:22,WEB_PORTAL,DISMISSED,0
CIT-2026-00117,ANON-TOKEN-1AB1882336,4,Salem,20,59,Salem Central Campus Zone,2,Synthetic Stimulants / MDMA / Meth,2025-05-28 04:28:06,WEB_PORTAL,UNVERIFIED,0
CIT-2026-00118,ANON-TOKEN-D035477608,3,Madurai,12,35,Madurai South Campus Zone,4,Chemical Precursors / Ephedrine,2025-06-18 02:44:26,TOLL_FREE_IVR,NEEDS_VERIFICATION,0
CIT-2026-00119,ANON-TOKEN-DC29DA8BD0,8,Tiruppur,36,107,Tiruppur North Campus Zone,4,Chemical Precursors / Ephedrine,2026-07-11 00:10:43,MOBILE_APP,CORROBORATED,0
CIT-2026-00120,ANON-TOKEN-E786D6DC8D,26,Ariyalur,128,382,Ariyalur East Market,1,Commercial Ganja / Cannabis,2026-08-08 17:37:45,BOT,UNVERIFIED,0
CIT-2026-00121,ANON-TOKEN-8291548B67,25,Karur,123,367,Karur East Market,2,Synthetic Stimulants / MDMA / Meth,2025-03-24 15:24:52,MOBILE_APP,DISMISSED,0
CIT-2026-00122,ANON-TOKEN-7863F87BBE,31,Virudhunagar,154,460,Virudhunagar West Market,4,Chemical Precursors / Ephedrine,2025-08-16 00:09:07,WEB_PORTAL,NEEDS_VERIFICATION,1
CIT-2026-00123,ANON-TOKEN-9B37F9CBD2,14,Kanniyakumari,70,209,Kanniyakumari Central Campus Zone,3,Prescription Narcotics / Codeine / Alprazolam,2025-12-14 09:52:18,MOBILE_APP,CORROBORATED,0
CIT-2026-00124,ANON-TOKEN-3D6C169301,5,Tiruchirappalli,25,73,Tiruchirappalli Central Market,3,Prescription Narcotics / Codeine / Alprazolam,2026-02-23 05:26:19,MOBILE_APP,CORROBORATED,0
CIT-2026-00125,ANON-TOKEN-6DDB1F67EA,7,Erode,33,97,Erode East Market,4,Chemical Precursors / Ephedrine,2025-04-14 15:47:00,WEB_PORTAL,DISMISSED,0
CIT-2026-00126,ANON-TOKEN-9F8A37F236,16,Kancheepuram,78,233,Kancheepuram East Campus Zone,5,Opioid Analogues / Brown Sugar / Heroin,2026-06-16 13:09:46,TOLL_FREE_IVR,CORROBORATED,0
CIT-2026-00127,ANON-TOKEN-6DF11AE3B3,17,Chengalpattu,83,247,Chengalpattu East Market,2,Synthetic Stimulants / MDMA / Meth,2025-03-06 18:41:02,MOBILE_APP,UNVERIFIED,0
CIT-2026-00128,ANON-TOKEN-4746CAE03D,6,Tirunelveli,29,85,Tirunelveli West Market,6,Unclassified / Suspicious Substance,2025-07-19 15:21:35,MOBILE_APP,NEEDS_VERIFICATION,0
CIT-2026-00129,ANON-TOKEN-E1E9E1A393,17,Chengalpattu,83,249,Chengalpattu East Industrial Bypass,6,Unclassified / Suspicious Substance,2025-06-23 01:06:32,MOBILE_APP,NEEDS_VERIFICATION,0
