snapshot_id,district_id,district_name,snapshot_date,daily_signals_count,velocity_ratio,risk_level,confidence_score,coverage_status
SNAP-00024,5,Tiruchirappalli,2026-07-20 22:01:54,18,1.1,WATCH,74,GOOD
SNAP-00025,27,Perambalur,2025-12-18 22:17:07,8,0.4,INSUFFICIENT_DATA,44,LIMITED
SNAP-00026,23,Namakkal,2026-06-10 00:29:53,21,0.9,WATCH,68,MODERATE
SNAP-00027,3,Madurai,2025-12-17 23:33:01,20,2.1,INCREASING,78,GOOD
SNAP-00028,35,Mayiladuthurai,2024-01-09 10:04:42,3,0.6,LOW,58,LIMITED
SNAP-00029,19,Cuddalore,2024-05-05 18:32:12,22,0.8,LOW,62,MODERATE
SNAP-00030,3,Madurai,2025-05-11 01:28:26,4,2.1,INCREASING,78,GOOD
SNAP-00031,2,Coimbatore,2025-11-22 18:21:06,6,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00032,16,Kancheepuram,2024-11-03 14:51:40,0,1,WATCH,72,GOOD
SNAP-00033,14,Kanniyakumari,2024-09-19 10:32:54,20,1.1,WATCH,70,MODERATE
SNAP-00034,28,Pudukkottai,2023-11-24 20:28:25,20,0.8,LOW,61,MODERATE
SNAP-00035,25,Karur,2026-06-18 18:35:01,2,0.7,LOW,60,MODERATE
SNAP-00036,24,Nilgiris,2023-12-24 18:26:11,24,1.8,WATCH,74,MODERATE
SNAP-00037,7,Erode,2025-08-06 15:52:34,8,1.2,WATCH,75,GOOD
SNAP-00038,2,Coimbatore,2025-05-17 14:31:47,0,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00039,29,Sivaganga,2024-02-18 10:15:04,14,0.6,LOW,59,LIMITED
SNAP-00040,3,Madurai,2023-09-11 15:10:07,6,2.1,INCREASING,78,GOOD
SNAP-00041,30,Ramanathapuram,2024-07-09 01:18:59,14,1.5,WATCH,71,MODERATE
SNAP-00042,24,Nilgiris,2026-03-23 08:44:37,4,1.8,WATCH,74,MODERATE
SNAP-00043,1,Chennai,2025-06-03 19:39:25,12,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00044,17,Chengalpattu,2026-01-19 08:06:43,8,2.1,INCREASING,78,GOOD
SNAP-00045,3,Madurai,2025-03-31 04:31:40,24,2.1,INCREASING,78,GOOD
SNAP-00046,33,Thiruvarur,2025-12-21 10:12:19,4,0.5,LOW,56,LIMITED
SNAP-00047,18,Tiruvallur,2025-02-09 22:41:32,14,2.3,INCREASING,80,GOOD
SNAP-00048,4,Salem,2026-02-25 21:27:06,5,2.4,INCREASING,82,GOOD
SNAP-00049,2,Coimbatore,2025-11-03 11:31:27,17,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00050,9,Vellore,2024-03-27 04:25:47,1,2.2,INCREASING,76,GOOD
SNAP-00051,28,Pudukkottai,2025-03-27 10:28:12,13,0.8,LOW,61,MODERATE
SNAP-00052,32,Theni,2025-08-30 21:14:41,24,1.9,INCREASING,73,MODERATE
SNAP-00053,11,Dindigul,2026-08-11 15:18:07,16,0.9,WATCH,68,MODERATE
SNAP-00054,18,Tiruvallur,2024-03-06 19:05:02,8,2.3,INCREASING,80,GOOD
SNAP-00055,27,Perambalur,2025-07-21 11:13:24,21,0.4,INSUFFICIENT_DATA,44,LIMITED
SNAP-00056,10,Krishnagiri,2023-11-22 20:22:02,21,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
SNAP-00057,32,Theni,2025-01-30 15:50:42,22,1.9,INCREASING,73,MODERATE
SNAP-00058,8,Tiruppur,2026-03-28 22:50:53,5,2.8,INCREASING,80,GOOD
SNAP-00059,13,Thoothukudi,2025-04-10 17:28:35,13,2.5,INCREASING,86,GOOD
SNAP-00060,5,Tiruchirappalli,2024-04-07 15:54:53,17,1.1,WATCH,74,GOOD
SNAP-00061,11,Dindigul,2024-04-13 10:33:09,17,0.9,WATCH,68,MODERATE
SNAP-00062,19,Cuddalore,2026-02-13 23:43:55,17,0.8,LOW,62,MODERATE
SNAP-00063,11,Dindigul,2025-08-22 20:28:56,7,0.9,WATCH,68,MODERATE
SNAP-00064,37,Tirupathur,2024-02-06 06:54:38,15,1.2,WATCH,67,MODERATE
SNAP-00065,32,Theni,2024-03-15 17:13:19,11,1.9,INCREASING,73,MODERATE
SNAP-00066,6,Tirunelveli,2026-01-24 10:55:09,8,1,WATCH,72,MODERATE
SNAP-00067,9,Vellore,2025-12-14 14:07:31,13,2.2,INCREASING,76,GOOD
SNAP-00068,23,Namakkal,2023-10-19 08:16:01,3,0.9,WATCH,68,MODERATE
SNAP-00069,31,Virudhunagar,2024-03-26 14:15:00,22,1,WATCH,69,MODERATE
SNAP-00070,33,Thiruvarur,2026-02-13 23:53:21,6,0.5,LOW,56,LIMITED
SNAP-00071,13,Thoothukudi,2026-07-27 03:10:17,0,2.5,INCREASING,86,GOOD
SNAP-00072,33,Thiruvarur,2024-03-22 21:59:49,11,0.5,LOW,56,LIMITED
SNAP-00073,13,Thoothukudi,2026-07-04 12:15:59,17,2.5,INCREASING,86,GOOD
SNAP-00074,6,Tirunelveli,2024-04-21 17:42:51,15,1,WATCH,72,MODERATE
SNAP-00075,23,Namakkal,2024-09-23 23:27:07,5,0.9,WATCH,68,MODERATE
SNAP-00076,4,Salem,2025-08-04 15:22:38,21,2.4,INCREASING,82,GOOD
SNAP-00077,31,Virudhunagar,2024-05-31 19:29:22,20,1,WATCH,69,MODERATE
SNAP-00078,34,Nagapattinam,2025-07-21 10:17:47,2,1.2,WATCH,68,MODERATE
SNAP-00079,7,Erode,2025-02-15 10:02:17,24,1.2,WATCH,75,GOOD
SNAP-00080,11,Dindigul,2024-12-17 00:09:13,16,0.9,WATCH,68,MODERATE
SNAP-00081,25,Karur,2025-11-10 07:51:50,11,0.7,LOW,60,MODERATE
SNAP-00082,28,Pudukkottai,2023-08-31 19:04:57,14,0.8,LOW,61,MODERATE
SNAP-00083,36,Ranipet,2024-01-01 07:43:30,10,1.6,WATCH,72,GOOD
SNAP-00084,9,Vellore,2026-07-19 14:58:55,14,2.2,INCREASING,76,GOOD
SNAP-00085,20,Viluppuram,2024-07-03 19:29:38,19,1,WATCH,65,MODERATE
SNAP-00086,7,Erode,2025-07-16 07:41:36,11,1.2,WATCH,75,GOOD
SNAP-00087,11,Dindigul,2025-06-10 11:48:55,12,0.9,WATCH,68,MODERATE
SNAP-00088,28,Pudukkottai,2026-06-09 22:56:13,4,0.8,LOW,61,MODERATE
SNAP-00089,9,Vellore,2025-10-21 15:24:26,14,2.2,INCREASING,76,GOOD
SNAP-00090,26,Ariyalur,2026-01-28 21:30:13,6,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00091,25,Karur,2025-04-15 16:04:49,10,0.7,LOW,60,MODERATE
SNAP-00092,24,Nilgiris,2024-08-27 03:21:44,3,1.8,WATCH,74,MODERATE
SNAP-00093,15,Tenkasi,2024-06-23 11:59:12,8,2.3,WATCH,68,LIMITED
SNAP-00094,20,Viluppuram,2026-07-21 08:26:11,15,1,WATCH,65,MODERATE
SNAP-00095,7,Erode,2026-05-25 07:57:30,7,1.2,WATCH,75,GOOD
SNAP-00096,15,Tenkasi,2026-02-04 20:38:57,20,2.3,WATCH,68,LIMITED
SNAP-00097,23,Namakkal,2026-07-24 21:11:11,10,0.9,WATCH,68,MODERATE
SNAP-00098,17,Chengalpattu,2023-11-09 01:29:42,9,2.1,INCREASING,78,GOOD
SNAP-00099,35,Mayiladuthurai,2025-12-22 05:25:47,12,0.6,LOW,58,LIMITED
SNAP-00100,7,Erode,2023-11-01 17:41:24,0,1.2,WATCH,75,GOOD
SNAP-00101,4,Salem,2023-09-02 20:45:31,25,2.4,INCREASING,82,GOOD
SNAP-00102,34,Nagapattinam,2025-01-30 10:11:02,7,1.2,WATCH,68,MODERATE
SNAP-00103,29,Sivaganga,2025-08-29 14:41:11,10,0.6,LOW,59,LIMITED
SNAP-00104,13,Thoothukudi,2025-12-04 00:59:09,6,2.5,INCREASING,86,GOOD
SNAP-00105,20,Viluppuram,2025-10-28 16:43:37,2,1,WATCH,65,MODERATE
SNAP-00106,7,Erode,2026-03-20 00:01:07,24,1.2,WATCH,75,GOOD
SNAP-00107,33,Thiruvarur,2025-12-08 04:40:48,16,0.5,LOW,56,LIMITED
SNAP-00108,33,Thiruvarur,2024-10-30 04:10:21,3,0.5,LOW,56,LIMITED
SNAP-00109,22,Dharmapuri,2023-12-07 23:47:22,11,1.4,WATCH,66,MODERATE
SNAP-00110,16,Kancheepuram,2025-11-06 21:45:30,17,1,WATCH,72,GOOD
SNAP-00111,26,Ariyalur,2025-09-29 10:45:47,12,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00112,18,Tiruvallur,2023-12-01 11:36:36,3,2.3,INCREASING,80,GOOD
SNAP-00113,38,Tiruvannamalai,2024-03-16 11:37:16,6,1.1,WATCH,70,GOOD
SNAP-00114,1,Chennai,2026-01-16 16:01:59,5,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00115,25,Karur,2024-12-08 04:09:42,6,0.7,LOW,60,MODERATE
SNAP-00116,36,Ranipet,2024-10-01 01:15:32,23,1.6,WATCH,72,GOOD
SNAP-00117,9,Vellore,2026-02-27 08:17:49,12,2.2,INCREASING,76,GOOD
SNAP-00118,37,Tirupathur,2023-11-19 16:09:23,5,1.2,WATCH,67,MODERATE
SNAP-00119,33,Thiruvarur,2026-05-16 15:29:46,17,0.5,LOW,56,LIMITED
SNAP-00120,26,Ariyalur,2025-10-13 18:12:10,18,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00121,10,Krishnagiri,2025-11-26 05:47:37,19,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
SNAP-00122,26,Ariyalur,2025-08-28 17:18:58,25,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00123,33,Thiruvarur,2023-11-02 23:31:45,15,0.5,LOW,56,LIMITED
SNAP-00124,36,Ranipet,2025-07-10 10:55:31,8,1.6,WATCH,72,GOOD
SNAP-00125,14,Kanniyakumari,2025-12-19 23:03:08,16,1.1,WATCH,70,MODERATE
SNAP-00126,14,Kanniyakumari,2024-06-08 14:46:44,7,1.1,WATCH,70,MODERATE
SNAP-00127,29,Sivaganga,2026-04-06 02:56:08,1,0.6,LOW,59,LIMITED
SNAP-00128,10,Krishnagiri,2026-05-20 09:48:14,23,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
SNAP-00129,29,Sivaganga,2025-10-15 17:06:38,12,0.6,LOW,59,LIMITED
SNAP-00130,22,Dharmapuri,2025-03-20 16:31:35,2,1.4,WATCH,66,MODERATE
SNAP-00131,30,Ramanathapuram,2026-07-06 16:04:51,2,1.5,WATCH,71,MODERATE
SNAP-00132,17,Chengalpattu,2025-12-19 10:56:31,18,2.1,INCREASING,78,GOOD
SNAP-00133,4,Salem,2023-09-05 16:48:10,16,2.4,INCREASING,82,GOOD
SNAP-00134,12,Thanjavur,2026-06-15 15:35:55,10,0.7,LOW,64,MODERATE
SNAP-00135,30,Ramanathapuram,2025-11-22 08:23:03,12,1.5,WATCH,71,MODERATE
SNAP-00136,28,Pudukkottai,2025-08-02 20:24:16,18,0.8,LOW,61,MODERATE
SNAP-00137,21,Kallakurichi,2024-05-11 01:29:04,7,0.6,LOW,58,LIMITED
SNAP-00138,34,Nagapattinam,2024-04-17 15:04:53,15,1.2,WATCH,68,MODERATE
SNAP-00139,12,Thanjavur,2024-01-21 12:59:30,5,0.7,LOW,64,MODERATE
SNAP-00140,10,Krishnagiri,2025-07-10 07:25:26,11,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
SNAP-00141,36,Ranipet,2024-05-19 15:05:05,11,1.6,WATCH,72,GOOD
SNAP-00142,35,Mayiladuthurai,2026-03-24 20:18:59,16,0.6,LOW,58,LIMITED
SNAP-00143,1,Chennai,2025-11-14 18:36:11,11,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00144,36,Ranipet,2025-11-30 17:08:28,11,1.6,WATCH,72,GOOD
SNAP-00145,33,Thiruvarur,2025-10-17 20:26:53,11,0.5,LOW,56,LIMITED
SNAP-00146,18,Tiruvallur,2025-03-04 14:25:31,20,2.3,INCREASING,80,GOOD
SNAP-00147,4,Salem,2025-01-23 09:19:19,11,2.4,INCREASING,82,GOOD
SNAP-00148,10,Krishnagiri,2024-08-20 04:29:40,5,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
SNAP-00149,14,Kanniyakumari,2024-10-08 07:38:10,14,1.1,WATCH,70,MODERATE
SNAP-00150,12,Thanjavur,2025-04-30 09:18:50,11,0.7,LOW,64,MODERATE
SNAP-00151,21,Kallakurichi,2025-12-10 01:12:42,25,0.6,LOW,58,LIMITED
SNAP-00152,36,Ranipet,2023-11-22 17:23:10,19,1.6,WATCH,72,GOOD
SNAP-00153,4,Salem,2025-01-17 05:02:50,7,2.4,INCREASING,82,GOOD
SNAP-00154,1,Chennai,2025-06-15 10:37:38,0,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00155,5,Tiruchirappalli,2026-06-22 06:24:45,12,1.1,WATCH,74,GOOD
SNAP-00156,22,Dharmapuri,2024-11-20 00:11:06,17,1.4,WATCH,66,MODERATE
SNAP-00157,2,Coimbatore,2026-03-23 02:00:13,4,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00158,17,Chengalpattu,2024-07-22 07:10:25,24,2.1,INCREASING,78,GOOD
SNAP-00159,21,Kallakurichi,2025-03-14 15:46:52,25,0.6,LOW,58,LIMITED
SNAP-00160,5,Tiruchirappalli,2024-08-12 23:20:57,25,1.1,WATCH,74,GOOD
SNAP-00161,12,Thanjavur,2024-05-14 20:47:01,15,0.7,LOW,64,MODERATE
SNAP-00162,26,Ariyalur,2023-11-29 03:12:06,3,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00163,19,Cuddalore,2023-10-06 03:58:48,2,0.8,LOW,62,MODERATE
SNAP-00164,12,Thanjavur,2026-01-29 11:20:56,0,0.7,LOW,64,MODERATE
SNAP-00165,18,Tiruvallur,2024-07-19 17:46:23,8,2.3,INCREASING,80,GOOD
SNAP-00166,22,Dharmapuri,2025-06-17 00:34:36,21,1.4,WATCH,66,MODERATE
SNAP-00167,17,Chengalpattu,2023-10-06 14:19:03,1,2.1,INCREASING,78,GOOD
SNAP-00168,19,Cuddalore,2025-11-24 02:59:28,17,0.8,LOW,62,MODERATE
SNAP-00169,27,Perambalur,2024-03-20 23:01:41,3,0.4,INSUFFICIENT_DATA,44,LIMITED
SNAP-00170,18,Tiruvallur,2025-12-30 03:14:46,14,2.3,INCREASING,80,GOOD
SNAP-00171,6,Tirunelveli,2023-10-05 09:59:10,22,1,WATCH,72,MODERATE
SNAP-00172,9,Vellore,2024-05-03 03:31:59,18,2.2,INCREASING,76,GOOD
SNAP-00173,27,Perambalur,2025-04-16 09:06:33,19,0.4,INSUFFICIENT_DATA,44,LIMITED
SNAP-00174,22,Dharmapuri,2024-01-02 01:42:24,14,1.4,WATCH,66,MODERATE
SNAP-00175,22,Dharmapuri,2026-06-10 02:55:03,21,1.4,WATCH,66,MODERATE
SNAP-00176,16,Kancheepuram,2025-12-26 00:09:44,11,1,WATCH,72,GOOD
SNAP-00177,9,Vellore,2025-12-19 19:11:13,12,2.2,INCREASING,76,GOOD
SNAP-00178,20,Viluppuram,2025-06-14 03:39:57,14,1,WATCH,65,MODERATE
SNAP-00179,30,Ramanathapuram,2024-01-20 12:34:37,8,1.5,WATCH,71,MODERATE
SNAP-00180,31,Virudhunagar,2024-03-17 09:13:30,4,1,WATCH,69,MODERATE
SNAP-00181,2,Coimbatore,2023-12-19 06:53:17,24,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00182,16,Kancheepuram,2025-02-11 12:32:23,8,1,WATCH,72,GOOD
SNAP-00183,4,Salem,2025-05-24 15:21:58,19,2.4,INCREASING,82,GOOD
SNAP-00184,25,Karur,2023-12-15 06:00:18,22,0.7,LOW,60,MODERATE
SNAP-00185,4,Salem,2024-08-18 11:39:29,3,2.4,INCREASING,82,GOOD
SNAP-00186,36,Ranipet,2026-04-02 09:45:18,17,1.6,WATCH,72,GOOD
SNAP-00187,34,Nagapattinam,2026-08-07 15:44:12,6,1.2,WATCH,68,MODERATE
SNAP-00188,4,Salem,2025-02-07 13:06:47,14,2.4,INCREASING,82,GOOD
SNAP-00189,33,Thiruvarur,2023-12-31 06:16:09,4,0.5,LOW,56,LIMITED
SNAP-00190,38,Tiruvannamalai,2026-07-15 13:39:53,2,1.1,WATCH,70,GOOD
SNAP-00191,28,Pudukkottai,2024-09-06 04:56:41,0,0.8,LOW,61,MODERATE
SNAP-00192,15,Tenkasi,2025-01-15 18:57:54,25,2.3,WATCH,68,LIMITED
SNAP-00193,35,Mayiladuthurai,2025-08-09 05:26:57,8,0.6,LOW,58,LIMITED
SNAP-00194,33,Thiruvarur,2024-09-15 23:18:45,19,0.5,LOW,56,LIMITED
SNAP-00195,22,Dharmapuri,2025-10-07 20:41:04,10,1.4,WATCH,66,MODERATE
SNAP-00196,1,Chennai,2025-08-27 09:08:48,22,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00197,14,Kanniyakumari,2025-08-20 07:50:30,13,1.1,WATCH,70,MODERATE
SNAP-00198,35,Mayiladuthurai,2026-03-25 04:42:54,19,0.6,LOW,58,LIMITED
SNAP-00199,2,Coimbatore,2025-12-17 08:16:13,1,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00200,20,Viluppuram,2025-06-07 13:17:00,19,1,WATCH,65,MODERATE
SNAP-00201,3,Madurai,2024-03-17 01:16:35,0,2.1,INCREASING,78,GOOD
SNAP-00202,17,Chengalpattu,2025-10-16 15:46:56,20,2.1,INCREASING,78,GOOD
SNAP-00203,20,Viluppuram,2026-03-08 08:08:44,17,1,WATCH,65,MODERATE
SNAP-00204,22,Dharmapuri,2025-02-21 12:49:35,23,1.4,WATCH,66,MODERATE
SNAP-00205,19,Cuddalore,2025-06-08 23:10:42,18,0.8,LOW,62,MODERATE
SNAP-00206,21,Kallakurichi,2024-08-08 00:01:21,8,0.6,LOW,58,LIMITED
SNAP-00207,13,Thoothukudi,2024-01-28 15:41:02,22,2.5,INCREASING,86,GOOD
SNAP-00208,34,Nagapattinam,2024-09-15 14:48:13,10,1.2,WATCH,68,MODERATE
SNAP-00209,20,Viluppuram,2024-09-15 06:02:50,23,1,WATCH,65,MODERATE
SNAP-00210,3,Madurai,2025-08-19 09:21:26,1,2.1,INCREASING,78,GOOD
SNAP-00211,19,Cuddalore,2023-10-23 16:52:13,9,0.8,LOW,62,MODERATE
SNAP-00212,1,Chennai,2025-11-29 06:57:45,1,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00213,34,Nagapattinam,2024-09-10 13:19:30,11,1.2,WATCH,68,MODERATE
SNAP-00214,19,Cuddalore,2024-05-03 15:39:15,24,0.8,LOW,62,MODERATE
SNAP-00215,15,Tenkasi,2023-08-23 12:41:21,2,2.3,WATCH,68,LIMITED
SNAP-00216,1,Chennai,2024-09-30 15:05:53,17,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00217,24,Nilgiris,2026-05-01 03:20:03,13,1.8,WATCH,74,MODERATE
SNAP-00218,37,Tirupathur,2025-11-24 02:57:59,4,1.2,WATCH,67,MODERATE
SNAP-00219,19,Cuddalore,2026-08-06 17:34:48,7,0.8,LOW,62,MODERATE
SNAP-00220,29,Sivaganga,2024-11-11 13:52:00,19,0.6,LOW,59,LIMITED
SNAP-00221,4,Salem,2024-03-17 23:35:49,15,2.4,INCREASING,82,GOOD
SNAP-00222,32,Theni,2025-03-01 10:04:53,23,1.9,INCREASING,73,MODERATE
SNAP-00223,34,Nagapattinam,2025-07-01 03:12:36,6,1.2,WATCH,68,MODERATE
SNAP-00224,1,Chennai,2024-07-15 06:43:58,1,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00225,14,Kanniyakumari,2025-06-15 11:24:38,19,1.1,WATCH,70,MODERATE
SNAP-00226,14,Kanniyakumari,2024-01-05 09:12:04,24,1.1,WATCH,70,MODERATE
SNAP-00227,14,Kanniyakumari,2025-10-21 03:04:53,15,1.1,WATCH,70,MODERATE
SNAP-00228,33,Thiruvarur,2024-10-28 10:43:08,0,0.5,LOW,56,LIMITED
SNAP-00229,34,Nagapattinam,2025-02-13 12:52:01,20,1.2,WATCH,68,MODERATE
SNAP-00230,9,Vellore,2025-06-05 20:04:39,4,2.2,INCREASING,76,GOOD
SNAP-00231,26,Ariyalur,2026-07-17 01:56:52,4,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00232,2,Coimbatore,2024-10-12 12:29:17,19,6,HIGH PREVENTIVE ATTENTION,88,GOOD
SNAP-00233,22,Dharmapuri,2026-07-20 10:43:51,9,1.4,WATCH,66,MODERATE
SNAP-00234,26,Ariyalur,2025-10-24 23:51:37,14,0.3,INSUFFICIENT_DATA,42,LIMITED
SNAP-00235,30,Ramanathapuram,2025-06-21 18:19:14,17,1.5,WATCH,71,MODERATE
SNAP-00236,8,Tiruppur,2026-06-28 14:09:23,1,2.8,INCREASING,80,GOOD
SNAP-00237,17,Chengalpattu,2026-02-27 08:55:04,12,2.1,INCREASING,78,GOOD
SNAP-00238,20,Viluppuram,2025-10-09 18:33:41,15,1,WATCH,65,MODERATE
SNAP-00239,11,Dindigul,2025-12-18 19:24:38,18,0.9,WATCH,68,MODERATE
SNAP-00240,1,Chennai,2024-09-27 13:26:29,20,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00241,3,Madurai,2024-05-01 18:49:32,25,2.1,INCREASING,78,GOOD
SNAP-00242,10,Krishnagiri,2026-07-27 20:09:06,4,4.8,HIGH PREVENTIVE ATTENTION,85,GOOD
SNAP-00243,35,Mayiladuthurai,2024-06-07 11:33:31,15,0.6,LOW,58,LIMITED
SNAP-00244,29,Sivaganga,2025-01-07 13:15:42,17,0.6,LOW,59,LIMITED
SNAP-00245,14,Kanniyakumari,2023-09-17 20:31:28,25,1.1,WATCH,70,MODERATE
SNAP-00246,5,Tiruchirappalli,2024-08-24 11:08:46,8,1.1,WATCH,74,GOOD
SNAP-00247,1,Chennai,2024-05-28 19:34:48,19,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00248,24,Nilgiris,2023-12-28 21:02:30,18,1.8,WATCH,74,MODERATE
SNAP-00249,18,Tiruvallur,2024-10-26 23:56:31,15,2.3,INCREASING,80,GOOD
SNAP-00250,37,Tirupathur,2026-08-17 20:06:46,15,1.2,WATCH,67,MODERATE
SNAP-00251,13,Thoothukudi,2024-10-01 18:56:02,6,2.5,INCREASING,86,GOOD
SNAP-00252,1,Chennai,2026-06-09 02:37:25,19,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00253,23,Namakkal,2024-10-16 02:52:59,18,0.9,WATCH,68,MODERATE
SNAP-00254,23,Namakkal,2026-04-02 10:08:00,3,0.9,WATCH,68,MODERATE
SNAP-00255,17,Chengalpattu,2026-08-16 12:36:24,20,2.1,INCREASING,78,GOOD
SNAP-00256,38,Tiruvannamalai,2025-01-10 07:00:26,14,1.1,WATCH,70,GOOD
SNAP-00257,1,Chennai,2025-03-19 08:36:05,1,3.5,HIGH PREVENTIVE ATTENTION,84,GOOD
SNAP-00258,35,Mayiladuthurai,2025-02-28 00:25:45,22,0.6,LOW,58,LIMITED
SNAP-00259,34,Nagapattinam,2026-05-30 09:41:00,18,1.2,WATCH,68,MODERATE
SNAP-00260,8,Tiruppur,2026-02-09 08:08:25,17,2.8,INCREASING,80,GOOD
SNAP-00261,36,Ranipet,2023-09-11 21:20:05,15,1.6,WATCH,72,GOOD
SNAP-00262,31,Virudhunagar,2025-02-21 17:47:49,4,1,WATCH,69,MODERATE
SNAP-00263,5,Tiruchirappalli,2025-11-15 00:10:50,12,1.1,WATCH,74,GOOD
SNAP-00264,28,Pudukkottai,2024-01-16 09:32:10,19,0.8,LOW,61,MODERATE
SNAP-00265,4,Salem,2024-04-25 23:05:55,12,2.4,INCREASING,82,GOOD
SNAP-00266,23,Namakkal,2025-06-03 04:02:09,18,0.9,WATCH,68,MODERATE
SNAP-00267,21,Kallakurichi,2026-08-12 11:43:47,6,0.6,LOW,58,LIMITED
SNAP-00268,16,Kancheepuram,2024-04-24 22:00:12,24,1,WATCH,72,GOOD
SNAP-00269,35,Mayiladuthurai,2025-09-19 02:37:02,6,0.6,LOW,58,LIMITED
SNAP-00270,8,Tiruppur,2024-04-25 14:07:24,11,2.8,INCREASING,80,GOOD
SNAP-00271,25,Karur,2023-10-22 10:08:05,20,0.7,LOW,60,MODERATE
SNAP-00272,12,Thanjavur,2026-01-17 01:43:12,16,0.7,LOW,64,MODERATE
SNAP-00273,14,Kanniyakumari,2025-11-26 20:43:08,17,1.1,WATCH,70,MODERATE
SNAP-00274,13,Thoothukudi,2025-10-11 07:45:29,3,2.5,INCREASING,86,GOOD
SNAP-00275,25,Karur,2024-02-26 08:56:31,7,0.7,LOW,60,MODERATE
SNAP-00276,11,Dindigul,2024-09-14 18:41:05,16,0.9,WATCH,68,MODERATE
