outcome_id,ticket_id,resolved_at,operational_outcome,feedback_to_model,outcome_confidence
OUT-2026-00033,TCK-2026-00033,2025-07-31 00:45:57,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00034,TCK-2026-00034,2025-07-29 21:17:28,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,93
OUT-2026-00035,TCK-2026-00035,2026-05-04 21:57:10,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,79
OUT-2026-00036,TCK-2026-00036,2025-09-28 03:44:46,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,99
OUT-2026-00037,TCK-2026-00037,2026-02-07 10:42:27,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,76
OUT-2026-00038,TCK-2026-00038,2025-07-04 06:22:30,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,88
OUT-2026-00039,TCK-2026-00039,2025-07-29 00:01:41,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,80
OUT-2026-00040,TCK-2026-00040,2025-08-04 19:12:05,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00041,TCK-2026-00041,2025-07-27 14:52:36,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,85
OUT-2026-00042,TCK-2026-00042,2025-10-01 23:00:33,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,82
OUT-2026-00043,TCK-2026-00043,2026-04-17 04:57:17,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,78
OUT-2026-00044,TCK-2026-00044,2026-05-23 13:44:24,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,75
OUT-2026-00045,TCK-2026-00045,2025-06-28 05:10:41,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00046,TCK-2026-00046,2025-10-12 15:14:00,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,81
OUT-2026-00047,TCK-2026-00047,2026-05-05 06:15:30,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,78
OUT-2026-00048,TCK-2026-00048,2026-04-09 09:20:31,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,78
OUT-2026-00049,TCK-2026-00049,2025-09-30 23:20:21,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,85
OUT-2026-00050,TCK-2026-00050,2025-04-15 18:05:06,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00051,TCK-2026-00051,2025-06-12 12:52:33,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,78
OUT-2026-00052,TCK-2026-00052,2025-08-28 04:20:54,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,88
OUT-2026-00053,TCK-2026-00053,2026-05-13 18:32:07,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,92
OUT-2026-00054,TCK-2026-00054,2026-07-16 06:08:31,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,76
OUT-2026-00055,TCK-2026-00055,2025-08-02 10:18:06,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,99
OUT-2026-00056,TCK-2026-00056,2025-09-21 06:56:23,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,93
OUT-2026-00057,TCK-2026-00057,2025-10-31 02:56:28,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,76
OUT-2026-00058,TCK-2026-00058,2025-10-05 19:51:35,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,76
OUT-2026-00059,TCK-2026-00059,2025-04-20 14:14:05,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,85
OUT-2026-00060,TCK-2026-00060,2025-06-27 02:28:52,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,99
OUT-2026-00061,TCK-2026-00061,2026-03-22 16:54:01,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,91
OUT-2026-00062,TCK-2026-00062,2025-07-09 06:53:44,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,90
OUT-2026-00063,TCK-2026-00063,2025-09-14 14:31:26,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00064,TCK-2026-00064,2025-05-21 05:48:45,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00065,TCK-2026-00065,2025-05-06 01:41:22,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00066,TCK-2026-00066,2025-07-29 12:47:58,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,97
OUT-2026-00067,TCK-2026-00067,2025-09-02 08:04:51,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,89
OUT-2026-00068,TCK-2026-00068,2026-05-28 16:34:17,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00069,TCK-2026-00069,2025-06-24 13:05:47,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,80
OUT-2026-00070,TCK-2026-00070,2025-06-12 21:01:43,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,93
OUT-2026-00071,TCK-2026-00071,2026-01-29 23:37:12,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,96
OUT-2026-00072,TCK-2026-00072,2025-09-03 11:09:51,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,84
OUT-2026-00073,TCK-2026-00073,2026-08-18 08:33:10,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,90
OUT-2026-00074,TCK-2026-00074,2025-12-16 06:38:57,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,94
OUT-2026-00075,TCK-2026-00075,2026-03-03 22:41:02,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,85
OUT-2026-00076,TCK-2026-00076,2026-01-19 02:17:49,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00077,TCK-2026-00077,2026-04-12 06:54:45,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,93
OUT-2026-00078,TCK-2026-00078,2025-12-23 13:37:34,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00079,TCK-2026-00079,2025-09-24 10:40:46,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,83
OUT-2026-00080,TCK-2026-00080,2025-06-10 03:01:16,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,85
OUT-2026-00081,TCK-2026-00081,2025-11-08 08:38:41,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,87
OUT-2026-00082,TCK-2026-00082,2025-08-07 09:10:58,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00083,TCK-2026-00083,2025-09-29 19:00:57,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,84
OUT-2026-00084,TCK-2026-00084,2025-12-07 09:24:00,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,81
OUT-2026-00085,TCK-2026-00085,2025-11-06 19:24:22,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,88
OUT-2026-00086,TCK-2026-00086,2025-09-20 23:47:28,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,95
OUT-2026-00087,TCK-2026-00087,2025-12-24 18:54:37,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00088,TCK-2026-00088,2025-09-01 19:46:07,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00089,TCK-2026-00089,2025-07-03 16:47:15,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00090,TCK-2026-00090,2025-06-08 20:03:15,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,90
OUT-2026-00091,TCK-2026-00091,2026-04-09 07:33:17,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,94
OUT-2026-00092,TCK-2026-00092,2025-10-04 05:48:38,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00093,TCK-2026-00093,2026-02-07 00:22:21,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00094,TCK-2026-00094,2026-05-19 01:17:38,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00095,TCK-2026-00095,2026-04-08 00:34:51,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00096,TCK-2026-00096,2026-04-06 21:31:39,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,93
OUT-2026-00097,TCK-2026-00097,2025-12-20 10:01:57,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,89
OUT-2026-00098,TCK-2026-00098,2026-02-05 11:01:21,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00099,TCK-2026-00099,2026-06-13 19:22:39,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,86
OUT-2026-00100,TCK-2026-00100,2025-04-27 18:13:47,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,81
OUT-2026-00101,TCK-2026-00101,2025-10-20 05:22:25,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,85
OUT-2026-00102,TCK-2026-00102,2026-01-29 21:23:58,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,93
OUT-2026-00103,TCK-2026-00103,2025-07-30 17:00:52,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,84
OUT-2026-00104,TCK-2026-00104,2026-04-12 13:16:47,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,85
OUT-2026-00105,TCK-2026-00105,2025-11-30 19:07:14,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,77
OUT-2026-00106,TCK-2026-00106,2025-05-13 23:57:53,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,87
OUT-2026-00107,TCK-2026-00107,2026-06-15 00:57:35,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,75
OUT-2026-00108,TCK-2026-00108,2026-02-25 15:57:13,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,80
OUT-2026-00109,TCK-2026-00109,2026-04-19 13:30:03,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,90
OUT-2026-00110,TCK-2026-00110,2025-11-29 03:26:18,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,89
OUT-2026-00111,TCK-2026-00111,2026-03-01 10:18:35,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,75
OUT-2026-00112,TCK-2026-00112,2025-04-16 12:10:00,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,90
OUT-2026-00113,TCK-2026-00113,2026-06-23 04:07:12,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,99
OUT-2026-00114,TCK-2026-00114,2025-06-16 11:04:31,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,99
OUT-2026-00115,TCK-2026-00115,2026-06-18 16:22:37,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00116,TCK-2026-00116,2026-04-27 05:40:56,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,90
OUT-2026-00117,TCK-2026-00117,2026-06-24 06:53:41,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,95
OUT-2026-00118,TCK-2026-00118,2025-11-06 18:30:25,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00119,TCK-2026-00119,2025-06-07 01:15:25,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,99
OUT-2026-00120,TCK-2026-00120,2025-09-29 00:58:35,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,83
OUT-2026-00121,TCK-2026-00121,2026-07-29 11:45:46,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,77
OUT-2026-00122,TCK-2026-00122,2025-06-19 20:31:28,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,98
OUT-2026-00123,TCK-2026-00123,2026-06-29 20:45:05,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00124,TCK-2026-00124,2025-04-16 16:44:37,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,84
OUT-2026-00125,TCK-2026-00125,2026-05-04 02:45:24,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,91
OUT-2026-00126,TCK-2026-00126,2026-05-01 19:48:51,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,95
OUT-2026-00127,TCK-2026-00127,2026-07-30 02:20:45,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,85
OUT-2026-00128,TCK-2026-00128,2026-04-09 07:31:09,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,80
OUT-2026-00129,TCK-2026-00129,2025-11-07 05:22:38,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,99
OUT-2026-00130,TCK-2026-00130,2026-03-24 15:22:06,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00131,TCK-2026-00131,2026-06-27 00:44:03,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,95
OUT-2026-00132,TCK-2026-00132,2026-02-01 02:21:02,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,88
OUT-2026-00133,TCK-2026-00133,2026-07-14 04:57:59,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,91
OUT-2026-00134,TCK-2026-00134,2025-11-14 20:27:31,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00135,TCK-2026-00135,2026-03-04 05:17:50,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00136,TCK-2026-00136,2025-04-24 11:03:41,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,84
OUT-2026-00137,TCK-2026-00137,2025-05-14 01:03:16,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,82
OUT-2026-00138,TCK-2026-00138,2026-05-02 04:47:58,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,92
OUT-2026-00139,TCK-2026-00139,2026-07-05 05:41:09,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,80
OUT-2026-00140,TCK-2026-00140,2026-02-11 08:00:08,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,87
OUT-2026-00141,TCK-2026-00141,2026-08-18 05:30:17,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,78
OUT-2026-00142,TCK-2026-00142,2026-03-23 17:08:55,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,84
OUT-2026-00143,TCK-2026-00143,2026-04-11 10:21:23,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,96
OUT-2026-00144,TCK-2026-00144,2026-04-05 07:22:34,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,82
OUT-2026-00145,TCK-2026-00145,2025-09-02 23:40:37,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,98
OUT-2026-00146,TCK-2026-00146,2025-12-14 14:02:01,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,87
OUT-2026-00147,TCK-2026-00147,2026-03-29 02:29:23,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,89
OUT-2026-00148,TCK-2026-00148,2025-08-13 15:09:47,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,87
OUT-2026-00149,TCK-2026-00149,2025-07-10 06:16:58,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00150,TCK-2026-00150,2025-12-10 22:02:22,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,83
OUT-2026-00151,TCK-2026-00151,2025-05-12 08:55:33,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,88
OUT-2026-00152,TCK-2026-00152,2026-06-01 19:09:53,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,94
OUT-2026-00153,TCK-2026-00153,2026-03-29 13:47:54,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,76
OUT-2026-00154,TCK-2026-00154,2025-09-28 18:04:07,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00155,TCK-2026-00155,2025-10-15 12:04:43,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,86
OUT-2026-00156,TCK-2026-00156,2026-05-10 22:04:22,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,86
OUT-2026-00157,TCK-2026-00157,2026-07-10 17:01:06,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,87
OUT-2026-00158,TCK-2026-00158,2025-10-21 13:45:22,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,76
OUT-2026-00159,TCK-2026-00159,2025-10-25 01:29:44,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,75
OUT-2026-00160,TCK-2026-00160,2026-04-08 20:24:53,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00161,TCK-2026-00161,2025-06-08 03:14:57,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00162,TCK-2026-00162,2025-12-11 16:13:32,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,87
OUT-2026-00163,TCK-2026-00163,2025-12-23 05:35:47,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,92
OUT-2026-00164,TCK-2026-00164,2025-05-20 20:46:32,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,87
OUT-2026-00165,TCK-2026-00165,2025-06-12 22:43:03,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00166,TCK-2026-00166,2025-12-31 23:40:17,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,94
OUT-2026-00167,TCK-2026-00167,2025-11-30 08:08:19,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,89
OUT-2026-00168,TCK-2026-00168,2025-09-19 05:08:39,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,87
OUT-2026-00169,TCK-2026-00169,2025-05-26 01:17:39,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,91
OUT-2026-00170,TCK-2026-00170,2025-06-07 02:19:02,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,82
OUT-2026-00171,TCK-2026-00171,2025-08-06 21:51:18,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,96
OUT-2026-00172,TCK-2026-00172,2026-05-01 10:54:09,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,97
OUT-2026-00173,TCK-2026-00173,2025-07-24 06:06:40,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00174,TCK-2026-00174,2025-12-08 00:13:16,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00175,TCK-2026-00175,2025-08-29 08:33:58,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00176,TCK-2026-00176,2026-05-22 00:26:48,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,76
OUT-2026-00177,TCK-2026-00177,2025-05-09 14:12:53,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00178,TCK-2026-00178,2026-07-08 06:24:39,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,75
OUT-2026-00179,TCK-2026-00179,2025-05-21 17:19:54,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,87
OUT-2026-00180,TCK-2026-00180,2025-09-11 02:31:03,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,79
OUT-2026-00181,TCK-2026-00181,2026-05-26 05:05:20,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,90
OUT-2026-00182,TCK-2026-00182,2025-11-15 20:16:54,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,81
OUT-2026-00183,TCK-2026-00183,2026-04-10 20:51:17,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,84
OUT-2026-00184,TCK-2026-00184,2026-06-18 04:41:06,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00185,TCK-2026-00185,2026-08-02 08:47:33,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,96
OUT-2026-00186,TCK-2026-00186,2025-11-04 13:30:51,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,85
OUT-2026-00187,TCK-2026-00187,2025-08-30 19:33:50,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00188,TCK-2026-00188,2026-06-05 07:01:50,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00189,TCK-2026-00189,2025-10-02 16:39:04,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,88
OUT-2026-00190,TCK-2026-00190,2025-04-17 00:02:51,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,97
OUT-2026-00191,TCK-2026-00191,2026-07-23 10:43:50,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,97
OUT-2026-00192,TCK-2026-00192,2025-05-10 18:29:54,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,78
