health_signal_id,district_id,district_name,reported_date,facility_type,aggregate_signal_type,category_id,category_name,aggregate_count
HLT-2026-00028,15,Tenkasi,2026-06-12 13:46:18,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,11
HLT-2026-00029,12,Thanjavur,2025-05-15 12:50:38,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,18
HLT-2026-00030,35,Mayiladuthurai,2026-02-18 05:21:59,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,6
HLT-2026-00031,7,Erode,2025-08-24 12:21:14,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,4
HLT-2026-00032,32,Theni,2024-09-23 08:05:37,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,8
HLT-2026-00033,12,Thanjavur,2025-10-01 02:07:13,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,6
HLT-2026-00034,20,Viluppuram,2026-01-02 16:48:46,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,14
HLT-2026-00035,28,Pudukkottai,2025-11-19 11:21:05,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,10
HLT-2026-00036,10,Krishnagiri,2025-11-19 12:03:34,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,5
HLT-2026-00037,29,Sivaganga,2025-07-13 06:54:17,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,18
HLT-2026-00038,8,Tiruppur,2026-05-19 03:31:30,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,10
HLT-2026-00039,19,Cuddalore,2026-08-03 11:36:39,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,12
HLT-2026-00040,38,Tiruvannamalai,2026-04-12 10:16:06,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,8
HLT-2026-00041,12,Thanjavur,2026-05-20 19:38:26,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,17
HLT-2026-00042,30,Ramanathapuram,2025-03-24 23:25:16,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,21
HLT-2026-00043,24,Nilgiris,2025-09-13 20:45:08,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,22
HLT-2026-00044,37,Tirupathur,2026-04-11 23:01:25,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,6
HLT-2026-00045,26,Ariyalur,2026-06-17 19:11:57,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,16
HLT-2026-00046,38,Tiruvannamalai,2026-06-12 22:49:28,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,10
HLT-2026-00047,20,Viluppuram,2026-01-27 08:55:01,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,16
HLT-2026-00048,10,Krishnagiri,2026-05-21 13:35:27,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,20
HLT-2026-00049,4,Salem,2025-11-07 05:24:14,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,3
HLT-2026-00050,16,Kancheepuram,2025-09-26 19:38:00,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,14
HLT-2026-00051,34,Nagapattinam,2024-12-29 01:48:22,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,3
HLT-2026-00052,2,Coimbatore,2025-10-31 06:35:42,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,12
HLT-2026-00053,4,Salem,2025-08-30 04:15:42,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,19
HLT-2026-00054,16,Kancheepuram,2025-04-22 23:54:24,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,3
HLT-2026-00055,1,Chennai,2026-01-14 03:02:22,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,7
HLT-2026-00056,7,Erode,2024-09-20 23:12:58,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,18
HLT-2026-00057,12,Thanjavur,2025-12-29 00:03:11,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,10
HLT-2026-00058,34,Nagapattinam,2025-02-23 23:00:42,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,9
HLT-2026-00059,22,Dharmapuri,2025-09-04 04:58:17,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,15
HLT-2026-00060,21,Kallakurichi,2025-04-10 14:59:37,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,18
HLT-2026-00061,21,Kallakurichi,2025-10-20 07:31:15,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,12
HLT-2026-00062,27,Perambalur,2026-04-13 21:58:50,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,8
HLT-2026-00063,11,Dindigul,2025-03-06 19:40:55,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,13
HLT-2026-00064,14,Kanniyakumari,2025-10-16 13:47:58,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,12
HLT-2026-00065,34,Nagapattinam,2025-10-26 11:41:19,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,13
HLT-2026-00066,31,Virudhunagar,2024-12-24 19:47:45,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,10
HLT-2026-00067,23,Namakkal,2025-02-15 05:36:04,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,11
HLT-2026-00068,38,Tiruvannamalai,2026-06-08 04:01:19,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,8
HLT-2026-00069,38,Tiruvannamalai,2026-02-02 12:00:02,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,15
HLT-2026-00070,28,Pudukkottai,2025-07-18 03:22:29,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,7
HLT-2026-00071,9,Vellore,2024-10-04 19:17:27,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,21
HLT-2026-00072,18,Tiruvallur,2026-07-25 07:07:14,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,3,Prescription Narcotics / Codeine / Alprazolam,7
HLT-2026-00073,11,Dindigul,2025-07-16 07:33:10,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,6
HLT-2026-00074,19,Cuddalore,2025-10-09 12:39:17,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,3,Prescription Narcotics / Codeine / Alprazolam,15
HLT-2026-00075,35,Mayiladuthurai,2026-05-05 19:28:38,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,10
HLT-2026-00076,18,Tiruvallur,2025-06-29 03:24:39,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,5
HLT-2026-00077,32,Theni,2024-12-06 05:09:13,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,7
HLT-2026-00078,23,Namakkal,2024-10-14 07:57:10,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,12
HLT-2026-00079,28,Pudukkottai,2025-05-24 19:05:52,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,15
HLT-2026-00080,14,Kanniyakumari,2024-11-15 23:41:27,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,2
HLT-2026-00081,37,Tirupathur,2025-11-27 08:56:30,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,15
HLT-2026-00082,30,Ramanathapuram,2025-03-11 06:21:23,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,12
HLT-2026-00083,10,Krishnagiri,2025-01-23 03:01:33,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,3
HLT-2026-00084,23,Namakkal,2025-07-26 09:31:27,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,9
HLT-2026-00085,20,Viluppuram,2025-01-02 21:40:42,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,8
HLT-2026-00086,13,Thoothukudi,2025-03-08 13:56:32,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,15
HLT-2026-00087,13,Thoothukudi,2026-08-05 08:11:59,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,4,Chemical Precursors / Ephedrine,2
HLT-2026-00088,11,Dindigul,2025-09-19 08:17:11,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,21
HLT-2026-00089,36,Ranipet,2025-06-29 00:06:12,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,14
HLT-2026-00090,9,Vellore,2025-08-16 11:53:36,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,12
HLT-2026-00091,5,Tiruchirappalli,2025-01-10 01:24:07,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,10
HLT-2026-00092,3,Madurai,2026-04-12 04:34:12,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,7
HLT-2026-00093,11,Dindigul,2024-09-19 08:46:31,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,12
HLT-2026-00094,13,Thoothukudi,2025-05-22 06:35:33,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,13
HLT-2026-00095,20,Viluppuram,2025-04-27 06:57:39,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,3,Prescription Narcotics / Codeine / Alprazolam,9
HLT-2026-00096,25,Karur,2026-01-13 18:05:36,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,15
HLT-2026-00097,31,Virudhunagar,2026-05-17 14:22:26,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,3,Prescription Narcotics / Codeine / Alprazolam,17
HLT-2026-00098,32,Theni,2025-11-19 11:32:42,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,21
HLT-2026-00099,6,Tirunelveli,2025-05-09 05:59:23,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,15
HLT-2026-00100,34,Nagapattinam,2026-05-14 04:24:08,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,8
HLT-2026-00101,27,Perambalur,2024-10-08 13:32:43,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,11
HLT-2026-00102,5,Tiruchirappalli,2025-05-15 22:23:54,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,4
HLT-2026-00103,14,Kanniyakumari,2025-04-25 08:11:34,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,9
HLT-2026-00104,8,Tiruppur,2025-04-02 13:10:42,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,21
HLT-2026-00105,4,Salem,2026-04-30 13:53:02,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,22
HLT-2026-00106,25,Karur,2026-02-15 14:08:51,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,19
HLT-2026-00107,7,Erode,2025-07-06 19:46:47,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,7
HLT-2026-00108,37,Tirupathur,2025-02-01 07:26:41,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,6,Unclassified / Suspicious Substance,18
HLT-2026-00109,19,Cuddalore,2025-01-12 06:07:36,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,5,Opioid Analogues / Brown Sugar / Heroin,2
HLT-2026-00110,24,Nilgiris,2026-04-25 14:54:53,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,4,Chemical Precursors / Ephedrine,2
HLT-2026-00111,8,Tiruppur,2025-04-30 01:30:27,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,2
HLT-2026-00112,12,Thanjavur,2025-08-12 08:42:58,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,14
HLT-2026-00113,20,Viluppuram,2026-03-27 12:02:56,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,11
HLT-2026-00114,2,Coimbatore,2025-11-22 03:52:17,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,16
HLT-2026-00115,22,Dharmapuri,2025-10-18 23:30:26,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,11
HLT-2026-00116,30,Ramanathapuram,2025-12-21 23:33:23,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,5,Opioid Analogues / Brown Sugar / Heroin,3
HLT-2026-00117,17,Chengalpattu,2024-11-27 19:54:58,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,3
HLT-2026-00118,18,Tiruvallur,2026-03-20 01:44:52,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,1,Commercial Ganja / Cannabis,9
HLT-2026-00119,37,Tirupathur,2026-08-16 03:54:26,LICENSED_REHAB_CENTER,WITHDRAWAL_ADMISSION,2,Synthetic Stimulants / MDMA / Meth,10
HLT-2026-00120,23,Namakkal,2026-08-14 20:23:51,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,21
HLT-2026-00121,6,Tirunelveli,2026-05-09 22:47:51,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,17
HLT-2026-00122,29,Sivaganga,2026-03-12 19:25:37,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,7
HLT-2026-00123,31,Virudhunagar,2025-09-19 22:55:36,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,5
HLT-2026-00124,19,Cuddalore,2025-10-12 18:49:06,DISTRICT_HEADQUARTERS_HOSPITAL,WITHDRAWAL_ADMISSION,6,Unclassified / Suspicious Substance,15
HLT-2026-00125,30,Ramanathapuram,2025-08-09 14:18:24,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,3
HLT-2026-00126,6,Tirunelveli,2025-02-21 00:09:05,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,2,Synthetic Stimulants / MDMA / Meth,15
HLT-2026-00127,24,Nilgiris,2025-03-09 06:45:56,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,5
HLT-2026-00128,6,Tirunelveli,2025-05-15 23:38:00,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,4
HLT-2026-00129,33,Thiruvarur,2026-01-29 11:54:19,LICENSED_REHAB_CENTER,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,9
HLT-2026-00130,3,Madurai,2025-06-27 19:11:21,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,7
HLT-2026-00131,32,Theni,2026-02-24 19:26:32,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,16
HLT-2026-00132,20,Viluppuram,2025-01-15 11:34:56,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,8
HLT-2026-00133,14,Kanniyakumari,2025-07-25 06:50:08,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,3,Prescription Narcotics / Codeine / Alprazolam,16
HLT-2026-00134,17,Chengalpattu,2025-12-21 14:24:02,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,6,Unclassified / Suspicious Substance,21
HLT-2026-00135,29,Sivaganga,2025-01-12 03:42:22,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,10
HLT-2026-00136,13,Thoothukudi,2024-09-25 01:37:11,LICENSED_REHAB_CENTER,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,20
HLT-2026-00137,9,Vellore,2024-12-07 18:45:42,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,3,Prescription Narcotics / Codeine / Alprazolam,12
HLT-2026-00138,29,Sivaganga,2024-10-04 17:52:21,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,1,Commercial Ganja / Cannabis,20
HLT-2026-00139,9,Vellore,2026-08-14 11:29:07,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,14
HLT-2026-00140,7,Erode,2024-10-18 01:34:37,DISTRICT_HEADQUARTERS_HOSPITAL,SUBSTANCE_CONSULTATION,4,Chemical Precursors / Ephedrine,17
HLT-2026-00141,16,Kancheepuram,2026-06-27 07:26:56,GOVT_MEDICAL_COLLEGE_PSYCH,SUBSTANCE_CONSULTATION,1,Commercial Ganja / Cannabis,12
HLT-2026-00142,12,Thanjavur,2025-05-08 18:14:00,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,2
HLT-2026-00143,4,Salem,2025-04-20 13:23:02,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,2,Synthetic Stimulants / MDMA / Meth,18
HLT-2026-00144,11,Dindigul,2025-08-28 05:08:10,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,6,Unclassified / Suspicious Substance,11
HLT-2026-00145,19,Cuddalore,2025-12-08 10:00:41,DISTRICT_HEADQUARTERS_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,5,Opioid Analogues / Brown Sugar / Heroin,17
