taluk_id,district_id,district_name,taluk_name,latitude,longitude,population
97,24,Nilgiris,Nilgiris South,11.4180,76.7602,381877
98,24,Nilgiris,Nilgiris East,11.4321,76.6232,269260
99,24,Nilgiris,Nilgiris West,11.4211,76.7068,120803
100,25,Karur,Karur North,11.0314,78.0795,334625
101,25,Karur,Karur South,10.9073,78.0628,449704
102,25,Karur,Karur East,10.9202,78.0133,252460
103,25,Karur,Karur West,10.9070,78.0663,204802
104,26,Ariyalur,Ariyalur North,11.1965,79.1439,288081
105,26,Ariyalur,Ariyalur South,11.1324,79.1525,141768
106,26,Ariyalur,Ariyalur East,11.1314,79.0468,197275
107,26,Ariyalur,Ariyalur West,11.1780,79.0545,353675
108,27,Perambalur,Perambalur North,11.2915,78.8357,424721
109,27,Perambalur,Perambalur South,11.1634,78.9455,392049
110,27,Perambalur,Perambalur East,11.2568,78.8205,125849
111,28,Pudukkottai,Pudukkottai North,10.3966,78.8495,156358
112,28,Pudukkottai,Pudukkottai South,10.3401,78.8952,324598
113,28,Pudukkottai,Pudukkottai East,10.4262,78.7823,228158
114,29,Sivaganga,Sivaganga North,9.8739,78.5509,244722
115,29,Sivaganga,Sivaganga South,9.8936,78.4843,193051
116,29,Sivaganga,Sivaganga East,9.8481,78.5098,124832
117,29,Sivaganga,Sivaganga West,9.8886,78.5398,423353
118,30,Ramanathapuram,Ramanathapuram North,9.4010,78.8089,402911
119,30,Ramanathapuram,Ramanathapuram South,9.3257,78.8009,353219
120,30,Ramanathapuram,Ramanathapuram East,9.2918,78.8810,266752
121,30,Ramanathapuram,Ramanathapuram West,9.3061,78.8673,389707
122,31,Virudhunagar,Virudhunagar North,9.5561,77.9127,196830
123,31,Virudhunagar,Virudhunagar South,9.5392,77.9742,142464
124,31,Virudhunagar,Virudhunagar East,9.6071,78.0125,293617
125,31,Virudhunagar,Virudhunagar West,9.5197,77.9384,361007
126,31,Virudhunagar,Virudhunagar Rural,9.5240,78.0320,171725
127,32,Theni,Theni North,10.0764,77.4496,395343
128,32,Theni,Theni South,10.0775,77.4808,298709
129,32,Theni,Theni East,9.9730,77.5230,378426
130,32,Theni,Theni West,9.9607,77.4861,218423
131,32,Theni,Theni Rural,9.9392,77.4875,157265
132,33,Thiruvarur,Thiruvarur North,10.8438,79.7111,334436
133,33,Thiruvarur,Thiruvarur South,10.8127,79.6520,369953
134,33,Thiruvarur,Thiruvarur East,10.7746,79.6166,268494
135,33,Thiruvarur,Thiruvarur West,10.7189,79.6509,376786
136,34,Nagapattinam,Nagapattinam North,10.8185,79.8329,411761
137,34,Nagapattinam,Nagapattinam South,10.7775,79.7850,365230
138,34,Nagapattinam,Nagapattinam East,10.8209,79.8470,165924
139,34,Nagapattinam,Nagapattinam West,10.8070,79.9142,179631
140,35,Mayiladuthurai,Mayiladuthurai North,11.0337,79.6930,406184
141,35,Mayiladuthurai,Mayiladuthurai South,11.1079,79.5818,132685
142,35,Mayiladuthurai,Mayiladuthurai East,11.1539,79.5953,273775
143,35,Mayiladuthurai,Mayiladuthurai West,11.1655,79.6011,294574
144,36,Ranipet,Ranipet North,12.9623,79.3988,412194
145,36,Ranipet,Ranipet South,12.9415,79.3806,262258
146,36,Ranipet,Ranipet East,12.9102,79.3037,144546
147,37,Tirupathur,Tirupathur North,12.4820,78.6292,142106
148,37,Tirupathur,Tirupathur South,12.5264,78.5702,206880
149,37,Tirupathur,Tirupathur East,12.5317,78.6396,449737
150,38,Tiruvannamalai,Tiruvannamalai North,12.2400,79.1007,185994
151,38,Tiruvannamalai,Tiruvannamalai South,12.2890,79.0285,303877
152,38,Tiruvannamalai,Tiruvannamalai East,12.2414,79.0660,436361
153,38,Tiruvannamalai,Tiruvannamalai West,12.2838,79.0503,229239
