station_id,district_id,district_name,station_code,station_name,division,latitude,longitude
34,9,Vellore,PS-VEL-01,Vellore Town PS 1,B1-Division,12.9240,79.0896
35,9,Vellore,PS-VEL-02,Vellore Town PS 2,B2-Division,12.9230,79.1708
36,9,Vellore,PS-VEL-03,Vellore Town PS 3,B3-Division,12.8846,79.1518
37,10,Krishnagiri,PS-KRI-01,Krishnagiri Town PS 1,B1-Division,12.4876,78.1648
38,10,Krishnagiri,PS-KRI-02,Krishnagiri Town PS 2,B2-Division,12.5320,78.2507
39,10,Krishnagiri,PS-KRI-03,Krishnagiri Town PS 3,B3-Division,12.5203,78.2534
40,11,Dindigul,PS-DGL-01,Dindigul Town PS 1,B1-Division,10.4087,77.9745
41,11,Dindigul,PS-DGL-02,Dindigul Town PS 2,B2-Division,10.4026,77.9905
42,11,Dindigul,PS-DGL-03,Dindigul Town PS 3,B3-Division,10.3207,78.0229
43,11,Dindigul,PS-DGL-04,Dindigul Town PS 4,B4-Division,10.3581,77.9866
44,12,Thanjavur,PS-TNJ-01,Thanjavur Town PS 1,B1-Division,10.8139,79.1636
45,12,Thanjavur,PS-TNJ-02,Thanjavur Town PS 2,B2-Division,10.8090,79.1216
46,12,Thanjavur,PS-TNJ-03,Thanjavur Town PS 3,B3-Division,10.8056,79.1538
47,12,Thanjavur,PS-TNJ-04,Thanjavur Town PS 4,B4-Division,10.7671,79.1051
48,13,Thoothukudi,PS-TUT-01,Thoothukudi Town PS 1,B1-Division,8.7161,78.1248
49,13,Thoothukudi,PS-TUT-02,Thoothukudi Town PS 2,B2-Division,8.7979,78.0939
50,13,Thoothukudi,PS-TUT-03,Thoothukudi Town PS 3,B3-Division,8.7647,78.0993
51,13,Thoothukudi,PS-TUT-04,Thoothukudi Town PS 4,B4-Division,8.8113,78.0920
52,13,Thoothukudi,PS-TUT-05,Thoothukudi Town PS 5,B5-Division,8.7854,78.1041
53,13,Thoothukudi,PS-TUT-06,Thoothukudi Town PS 6,B6-Division,8.7699,78.1480
54,14,Kanniyakumari,PS-KKI-01,Kanniyakumari Town PS 1,B1-Division,8.1090,77.5755
55,14,Kanniyakumari,PS-KKI-02,Kanniyakumari Town PS 2,B2-Division,8.0692,77.5758
56,14,Kanniyakumari,PS-KKI-03,Kanniyakumari Town PS 3,B3-Division,8.0476,77.5787
57,14,Kanniyakumari,PS-KKI-04,Kanniyakumari Town PS 4,B4-Division,8.0827,77.5262
58,14,Kanniyakumari,PS-KKI-05,Kanniyakumari Town PS 5,B5-Division,8.0697,77.5758
59,14,Kanniyakumari,PS-KKI-06,Kanniyakumari Town PS 6,B6-Division,8.0433,77.4929
60,15,Tenkasi,PS-TSI-01,Tenkasi Town PS 1,B1-Division,8.9710,77.3206
61,15,Tenkasi,PS-TSI-02,Tenkasi Town PS 2,B2-Division,9.0067,77.3451
62,15,Tenkasi,PS-TSI-03,Tenkasi Town PS 3,B3-Division,8.9457,77.3601
63,15,Tenkasi,PS-TSI-04,Tenkasi Town PS 4,B4-Division,8.9954,77.2894
64,15,Tenkasi,PS-TSI-05,Tenkasi Town PS 5,B5-Division,8.9504,77.3149
65,16,Kancheepuram,PS-KCP-01,Kancheepuram Town PS 1,B1-Division,12.7868,79.6723
66,16,Kancheepuram,PS-KCP-02,Kancheepuram Town PS 2,B2-Division,12.8820,79.6637
67,16,Kancheepuram,PS-KCP-03,Kancheepuram Town PS 3,B3-Division,12.8414,79.6866
68,16,Kancheepuram,PS-KCP-04,Kancheepuram Town PS 4,B4-Division,12.7966,79.6990
69,16,Kancheepuram,PS-KCP-05,Kancheepuram Town PS 5,B5-Division,12.7983,79.7003
70,17,Chengalpattu,PS-CGL-01,Chengalpattu Town PS 1,B1-Division,12.7037,79.9844
71,17,Chengalpattu,PS-CGL-02,Chengalpattu Town PS 2,B2-Division,12.6633,80.0179
72,17,Chengalpattu,PS-CGL-03,Chengalpattu Town PS 3,B3-Division,12.7067,80.0038
73,17,Chengalpattu,PS-CGL-04,Chengalpattu Town PS 4,B4-Division,12.6658,80.0195
74,17,Chengalpattu,PS-CGL-05,Chengalpattu Town PS 5,B5-Division,12.6857,80.0010
75,18,Tiruvallur,PS-TLR-01,Tiruvallur Town PS 1,B1-Division,13.1212,79.9058
76,18,Tiruvallur,PS-TLR-02,Tiruvallur Town PS 2,B2-Division,13.1028,79.8904
77,18,Tiruvallur,PS-TLR-03,Tiruvallur Town PS 3,B3-Division,13.1583,79.9291
78,19,Cuddalore,PS-CUD-01,Cuddalore Town PS 1,B1-Division,11.7977,79.7236
79,19,Cuddalore,PS-CUD-02,Cuddalore Town PS 2,B2-Division,11.7605,79.7659
80,19,Cuddalore,PS-CUD-03,Cuddalore Town PS 3,B3-Division,11.7479,79.8046
81,19,Cuddalore,PS-CUD-04,Cuddalore Town PS 4,B4-Division,11.7151,79.7369
82,19,Cuddalore,PS-CUD-05,Cuddalore Town PS 5,B5-Division,11.7928,79.7222
83,19,Cuddalore,PS-CUD-06,Cuddalore Town PS 6,B6-Division,11.7833,79.7442
84,20,Viluppuram,PS-VLP-01,Viluppuram Town PS 1,B1-Division,11.9834,79.4823
85,20,Viluppuram,PS-VLP-02,Viluppuram Town PS 2,B2-Division,11.9672,79.4493
86,20,Viluppuram,PS-VLP-03,Viluppuram Town PS 3,B3-Division,11.9593,79.5184
87,21,Kallakurichi,PS-KLK-01,Kallakurichi Town PS 1,B1-Division,11.7375,78.9668
88,21,Kallakurichi,PS-KLK-02,Kallakurichi Town PS 2,B2-Division,11.7656,78.9607
89,21,Kallakurichi,PS-KLK-03,Kallakurichi Town PS 3,B3-Division,11.7569,78.9414
90,21,Kallakurichi,PS-KLK-04,Kallakurichi Town PS 4,B4-Division,11.7609,78.9714
91,21,Kallakurichi,PS-KLK-05,Kallakurichi Town PS 5,B5-Division,11.7456,78.9509
92,21,Kallakurichi,PS-KLK-06,Kallakurichi Town PS 6,B6-Division,11.7438,78.9218
93,22,Dharmapuri,PS-DPI-01,Dharmapuri Town PS 1,B1-Division,12.1357,78.1410
94,22,Dharmapuri,PS-DPI-02,Dharmapuri Town PS 2,B2-Division,12.1553,78.1126
95,22,Dharmapuri,PS-DPI-03,Dharmapuri Town PS 3,B3-Division,12.1538,78.2060
96,22,Dharmapuri,PS-DPI-04,Dharmapuri Town PS 4,B4-Division,12.1361,78.1531
97,22,Dharmapuri,PS-DPI-05,Dharmapuri Town PS 5,B5-Division,12.1535,78.1149
98,23,Namakkal,PS-NMK-01,Namakkal Town PS 1,B1-Division,11.1924,78.1557
99,23,Namakkal,PS-NMK-02,Namakkal Town PS 2,B2-Division,11.2283,78.1395
100,23,Namakkal,PS-NMK-03,Namakkal Town PS 3,B3-Division,11.2300,78.1502
101,23,Namakkal,PS-NMK-04,Namakkal Town PS 4,B4-Division,11.2145,78.1804
102,23,Namakkal,PS-NMK-05,Namakkal Town PS 5,B5-Division,11.2424,78.1261
103,24,Nilgiris,PS-NIL-01,Nilgiris Town PS 1,B1-Division,11.4178,76.7286
104,24,Nilgiris,PS-NIL-02,Nilgiris Town PS 2,B2-Division,11.3651,76.6913
105,24,Nilgiris,PS-NIL-03,Nilgiris Town PS 3,B3-Division,11.4525,76.6644
106,24,Nilgiris,PS-NIL-04,Nilgiris Town PS 4,B4-Division,11.4487,76.7313
107,25,Karur,PS-KRR-01,Karur Town PS 1,B1-Division,10.9708,78.1202
108,25,Karur,PS-KRR-02,Karur Town PS 2,B2-Division,11.0081,78.0697
109,25,Karur,PS-KRR-03,Karur Town PS 3,B3-Division,10.9642,78.0332
110,26,Ariyalur,PS-ARI-01,Ariyalur Town PS 1,B1-Division,11.1352,79.1026
111,26,Ariyalur,PS-ARI-02,Ariyalur Town PS 2,B2-Division,11.1751,79.0473
112,26,Ariyalur,PS-ARI-03,Ariyalur Town PS 3,B3-Division,11.1399,79.0477
113,26,Ariyalur,PS-ARI-04,Ariyalur Town PS 4,B4-Division,11.0997,79.0577
114,27,Perambalur,PS-PBL-01,Perambalur Town PS 1,B1-Division,11.1865,78.9303
115,27,Perambalur,PS-PBL-02,Perambalur Town PS 2,B2-Division,11.2190,78.9017
116,27,Perambalur,PS-PBL-03,Perambalur Town PS 3,B3-Division,11.2078,78.9297
117,27,Perambalur,PS-PBL-04,Perambalur Town PS 4,B4-Division,11.2337,78.8442
118,28,Pudukkottai,PS-PDK-01,Pudukkottai Town PS 1,B1-Division,10.3381,78.8610
119,28,Pudukkottai,PS-PDK-02,Pudukkottai Town PS 2,B2-Division,10.4161,78.8704
120,28,Pudukkottai,PS-PDK-03,Pudukkottai Town PS 3,B3-Division,10.3390,78.8547
121,28,Pudukkottai,PS-PDK-04,Pudukkottai Town PS 4,B4-Division,10.3480,78.8379
122,28,Pudukkottai,PS-PDK-05,Pudukkottai Town PS 5,B5-Division,10.3464,78.8311
123,29,Sivaganga,PS-SVG-01,Sivaganga Town PS 1,B1-Division,9.8228,78.5124
124,29,Sivaganga,PS-SVG-02,Sivaganga Town PS 2,B2-Division,9.8422,78.4761
125,29,Sivaganga,PS-SVG-03,Sivaganga Town PS 3,B3-Division,9.8330,78.4920
126,29,Sivaganga,PS-SVG-04,Sivaganga Town PS 4,B4-Division,9.8191,78.4883
127,30,Ramanathapuram,PS-RMD-01,Ramanathapuram Town PS 1,B1-Division,9.3443,78.7978
128,30,Ramanathapuram,PS-RMD-02,Ramanathapuram Town PS 2,B2-Division,9.3218,78.7976
129,30,Ramanathapuram,PS-RMD-03,Ramanathapuram Town PS 3,B3-Division,9.4129,78.8839
130,30,Ramanathapuram,PS-RMD-04,Ramanathapuram Town PS 4,B4-Division,9.3173,78.8701
131,30,Ramanathapuram,PS-RMD-05,Ramanathapuram Town PS 5,B5-Division,9.3413,78.8592
132,31,Virudhunagar,PS-VRD-01,Virudhunagar Town PS 1,B1-Division,9.5371,77.9226
133,31,Virudhunagar,PS-VRD-02,Virudhunagar Town PS 2,B2-Division,9.5583,77.9441
134,31,Virudhunagar,PS-VRD-03,Virudhunagar Town PS 3,B3-Division,9.5185,77.9901
135,31,Virudhunagar,PS-VRD-04,Virudhunagar Town PS 4,B4-Division,9.5747,77.9309
136,31,Virudhunagar,PS-VRD-05,Virudhunagar Town PS 5,B5-Division,9.5830,77.9250
137,31,Virudhunagar,PS-VRD-06,Virudhunagar Town PS 6,B6-Division,9.5230,77.9914
138,32,Theni,PS-THI-01,Theni Town PS 1,B1-Division,9.9679,77.4772
139,32,Theni,PS-THI-02,Theni Town PS 2,B2-Division,9.9976,77.4970
140,32,Theni,PS-THI-03,Theni Town PS 3,B3-Division,9.9780,77.4594
141,33,Thiruvarur,PS-TVR-01,Thiruvarur Town PS 1,B1-Division,10.7927,79.6098
142,33,Thiruvarur,PS-TVR-02,Thiruvarur Town PS 2,B2-Division,10.7657,79.6444
143,33,Thiruvarur,PS-TVR-03,Thiruvarur Town PS 3,B3-Division,10.7842,79.6067
144,33,Thiruvarur,PS-TVR-04,Thiruvarur Town PS 4,B4-Division,10.7710,79.6192
145,33,Thiruvarur,PS-TVR-05,Thiruvarur Town PS 5,B5-Division,10.7988,79.6789
146,33,Thiruvarur,PS-TVR-06,Thiruvarur Town PS 6,B6-Division,10.7269,79.6786
147,34,Nagapattinam,PS-NGP-01,Nagapattinam Town PS 1,B1-Division,10.7762,79.8039
148,34,Nagapattinam,PS-NGP-02,Nagapattinam Town PS 2,B2-Division,10.7635,79.8299
149,34,Nagapattinam,PS-NGP-03,Nagapattinam Town PS 3,B3-Division,10.7221,79.8009
150,34,Nagapattinam,PS-NGP-04,Nagapattinam Town PS 4,B4-Division,10.7444,79.8713
151,35,Mayiladuthurai,PS-MYD-01,Mayiladuthurai Town PS 1,B1-Division,11.0713,79.6390
152,35,Mayiladuthurai,PS-MYD-02,Mayiladuthurai Town PS 2,B2-Division,11.1098,79.6630
153,35,Mayiladuthurai,PS-MYD-03,Mayiladuthurai Town PS 3,B3-Division,11.1217,79.6653
154,35,Mayiladuthurai,PS-MYD-04,Mayiladuthurai Town PS 4,B4-Division,11.0620,79.6261
155,35,Mayiladuthurai,PS-MYD-05,Mayiladuthurai Town PS 5,B5-Division,11.1185,79.6079
156,36,Ranipet,PS-RNP-01,Ranipet Town PS 1,B1-Division,12.9058,79.3616
157,36,Ranipet,PS-RNP-02,Ranipet Town PS 2,B2-Division,12.9333,79.3395
158,36,Ranipet,PS-RNP-03,Ranipet Town PS 3,B3-Division,12.9075,79.3182
159,36,Ranipet,PS-RNP-04,Ranipet Town PS 4,B4-Division,12.9520,79.3606
160,36,Ranipet,PS-RNP-05,Ranipet Town PS 5,B5-Division,12.9400,79.3755
161,37,Tirupathur,PS-TPR_N-01,Tirupathur Town PS 1,B1-Division,12.5202,78.5450
162,37,Tirupathur,PS-TPR_N-02,Tirupathur Town PS 2,B2-Division,12.5373,78.5522
163,37,Tirupathur,PS-TPR_N-03,Tirupathur Town PS 3,B3-Division,12.5249,78.5357
164,37,Tirupathur,PS-TPR_N-04,Tirupathur Town PS 4,B4-Division,12.4822,78.5698
165,38,Tiruvannamalai,PS-TVM-01,Tiruvannamalai Town PS 1,B1-Division,12.2633,79.0504
166,38,Tiruvannamalai,PS-TVM-02,Tiruvannamalai Town PS 2,B2-Division,12.2002,79.0384
167,38,Tiruvannamalai,PS-TVM-03,Tiruvannamalai Town PS 3,B3-Division,12.2506,79.0257
168,38,Tiruvannamalai,PS-TVM-04,Tiruvannamalai Town PS 4,B4-Division,12.2387,79.0643
