forecast_id,district_id,district_name,generated_at,target_horizon,forecast_risk_level,forecast_confidence,primary_contributing_factor,model_version,safeguard_disclaimer
FC-HIST-00001,1,Chennai,2024-11-07 09:53:20,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,90,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00012,18,Tiruvallur,2025-07-24 15:00:48,90_DAY_PREVENTIVE_ATTENTION,WATCH,86,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00013,12,Thanjavur,2025-05-20 15:18:41,90_DAY_PREVENTIVE_ATTENTION,STABLE,83,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00014,4,Salem,2026-07-19 16:27:56,30_DAY_PREVENTIVE_ATTENTION,STABLE,69,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00015,18,Tiruvallur,2024-11-26 17:49:19,30_DAY_PREVENTIVE_ATTENTION,STABLE,78,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00016,24,Nilgiris,2025-10-12 16:54:42,90_DAY_PREVENTIVE_ATTENTION,WATCH,73,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00017,32,Theni,2025-07-26 12:22:51,30_DAY_PREVENTIVE_ATTENTION,STABLE,71,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00018,23,Namakkal,2025-07-03 23:05:19,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,81,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00019,12,Thanjavur,2025-07-02 00:27:12,30_DAY_PREVENTIVE_ATTENTION,INCREASING,73,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00020,11,Dindigul,2025-08-01 08:34:43,30_DAY_PREVENTIVE_ATTENTION,WATCH,71,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00021,26,Ariyalur,2025-06-28 02:38:31,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,74,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00022,23,Namakkal,2025-06-11 10:56:10,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,68,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00023,7,Tiruppur,2024-10-22 06:14:43,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,83,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00024,2,Coimbatore,2026-02-20 11:47:14,30_DAY_PREVENTIVE_ATTENTION,INCREASING,86,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00025,10,Krishnagiri,2024-12-13 15:42:21,30_DAY_PREVENTIVE_ATTENTION,INCREASING,90,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00026,10,Krishnagiri,2026-07-25 15:06:24,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,91,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00027,35,Mayiladuthurai,2025-12-28 20:03:58,30_DAY_PREVENTIVE_ATTENTION,INCREASING,85,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00028,19,Cuddalore,2025-01-08 06:08:40,90_DAY_PREVENTIVE_ATTENTION,INCREASING,89,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00029,33,Thiruvarur,2024-12-04 17:49:08,30_DAY_PREVENTIVE_ATTENTION,INCREASING,68,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00030,11,Dindigul,2025-11-12 17:53:45,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,74,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00031,24,Nilgiris,2026-04-28 14:10:55,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,71,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00032,20,Viluppuram,2026-05-01 16:42:11,30_DAY_PREVENTIVE_ATTENTION,INCREASING,76,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00033,14,Kanniyakumari,2025-07-21 12:30:29,90_DAY_PREVENTIVE_ATTENTION,INCREASING,87,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00034,3,Madurai,2025-04-02 06:28:53,90_DAY_PREVENTIVE_ATTENTION,STABLE,74,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00035,13,Thoothukudi,2026-07-22 14:12:24,90_DAY_PREVENTIVE_ATTENTION,WATCH,72,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00036,18,Tiruvallur,2025-07-14 03:48:41,30_DAY_PREVENTIVE_ATTENTION,WATCH,84,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00037,33,Thiruvarur,2024-12-29 23:03:57,90_DAY_PREVENTIVE_ATTENTION,WATCH,91,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00038,25,Karur,2025-07-09 02:03:17,90_DAY_PREVENTIVE_ATTENTION,INCREASING,86,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00039,2,Coimbatore,2025-01-19 09:58:42,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,69,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00040,34,Nagapattinam,2025-06-15 06:01:54,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,82,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00041,16,Kancheepuram,2026-06-30 07:32:45,90_DAY_PREVENTIVE_ATTENTION,STABLE,71,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00042,30,Ramanathapuram,2025-07-01 00:56:10,90_DAY_PREVENTIVE_ATTENTION,WATCH,85,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00043,26,Ariyalur,2024-09-23 05:43:23,30_DAY_PREVENTIVE_ATTENTION,INCREASING,88,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00044,13,Thoothukudi,2024-11-10 04:14:18,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,68,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00045,1,Chennai,2026-03-11 02:59:02,90_DAY_PREVENTIVE_ATTENTION,INCREASING,81,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00046,25,Karur,2026-02-12 16:33:48,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,80,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00047,31,Virudhunagar,2025-10-18 13:21:01,90_DAY_PREVENTIVE_ATTENTION,WATCH,68,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00048,6,Tirunelveli,2026-01-25 05:56:14,90_DAY_PREVENTIVE_ATTENTION,INCREASING,90,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00049,26,Ariyalur,2025-04-03 04:07:44,30_DAY_PREVENTIVE_ATTENTION,WATCH,79,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00050,20,Viluppuram,2025-11-08 04:34:55,30_DAY_PREVENTIVE_ATTENTION,WATCH,68,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00051,2,Coimbatore,2024-11-21 20:10:52,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,85,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00052,15,Tenkasi,2026-07-11 13:42:49,90_DAY_PREVENTIVE_ATTENTION,INCREASING,83,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00053,13,Thoothukudi,2026-01-22 07:15:42,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,78,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00054,23,Namakkal,2026-06-12 18:36:37,30_DAY_PREVENTIVE_ATTENTION,INCREASING,78,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00055,6,Tirunelveli,2026-06-20 16:45:57,90_DAY_PREVENTIVE_ATTENTION,WATCH,85,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00056,21,Kallakurichi,2025-11-30 04:07:47,30_DAY_PREVENTIVE_ATTENTION,INCREASING,74,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00057,36,Ranipet,2024-09-23 01:30:50,30_DAY_PREVENTIVE_ATTENTION,STABLE,80,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00058,38,Tiruvannamalai,2026-02-23 13:56:49,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,70,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00059,29,Sivaganga,2025-05-25 06:25:06,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,85,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00060,11,Dindigul,2025-01-01 10:51:12,30_DAY_PREVENTIVE_ATTENTION,WATCH,86,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00061,2,Coimbatore,2025-09-02 13:38:47,90_DAY_PREVENTIVE_ATTENTION,INCREASING,89,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00062,22,Dharmapuri,2025-08-18 11:57:54,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,69,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00063,18,Tiruvallur,2026-05-08 08:09:08,90_DAY_PREVENTIVE_ATTENTION,INCREASING,76,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00064,11,Dindigul,2026-07-16 19:39:08,30_DAY_PREVENTIVE_ATTENTION,WATCH,75,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00065,34,Nagapattinam,2025-10-31 06:01:22,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,86,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00066,13,Thoothukudi,2026-03-15 03:26:00,90_DAY_PREVENTIVE_ATTENTION,WATCH,89,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00067,16,Kancheepuram,2026-02-11 17:18:03,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,73,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00068,37,Tirupathur,2024-09-30 05:22:17,90_DAY_PREVENTIVE_ATTENTION,WATCH,87,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00069,10,Krishnagiri,2026-04-10 10:45:45,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,86,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00070,16,Kancheepuram,2026-04-12 04:00:20,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,71,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00071,18,Tiruvallur,2025-06-18 18:38:18,30_DAY_PREVENTIVE_ATTENTION,STABLE,80,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00072,8,Erode,2025-11-12 19:37:46,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,73,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00073,6,Tirunelveli,2026-06-16 11:03:26,90_DAY_PREVENTIVE_ATTENTION,INCREASING,70,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00074,32,Theni,2025-12-03 06:31:06,90_DAY_PREVENTIVE_ATTENTION,INCREASING,69,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00075,10,Krishnagiri,2025-09-27 18:37:52,30_DAY_PREVENTIVE_ATTENTION,STABLE,73,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00076,28,Pudukkottai,2025-06-24 15:12:13,90_DAY_PREVENTIVE_ATTENTION,WATCH,87,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00077,5,Tiruchirappalli,2026-01-15 02:25:59,90_DAY_PREVENTIVE_ATTENTION,INCREASING,80,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00078,2,Coimbatore,2026-08-09 10:58:14,90_DAY_PREVENTIVE_ATTENTION,INCREASING,73,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00079,22,Dharmapuri,2024-10-03 12:46:53,90_DAY_PREVENTIVE_ATTENTION,STABLE,92,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00080,20,Viluppuram,2025-11-08 13:28:53,90_DAY_PREVENTIVE_ATTENTION,WATCH,82,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00081,17,Chengalpattu,2025-12-18 04:38:56,90_DAY_PREVENTIVE_ATTENTION,STABLE,84,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00082,9,Vellore,2024-09-23 04:49:31,30_DAY_PREVENTIVE_ATTENTION,WATCH,88,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00083,34,Nagapattinam,2024-11-03 13:07:51,90_DAY_PREVENTIVE_ATTENTION,STABLE,84,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00084,37,Tirupathur,2026-03-04 20:15:10,30_DAY_PREVENTIVE_ATTENTION,STABLE,86,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00085,35,Mayiladuthurai,2025-12-31 17:29:06,30_DAY_PREVENTIVE_ATTENTION,WATCH,70,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00086,11,Dindigul,2026-07-14 14:38:30,30_DAY_PREVENTIVE_ATTENTION,STABLE,89,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00087,29,Sivaganga,2025-04-18 03:40:14,90_DAY_PREVENTIVE_ATTENTION,STABLE,87,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00088,29,Sivaganga,2026-05-17 03:09:24,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,68,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00089,11,Dindigul,2025-07-09 08:17:37,30_DAY_PREVENTIVE_ATTENTION,STABLE,72,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00090,21,Kallakurichi,2024-11-07 21:04:57,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,72,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00091,29,Sivaganga,2025-02-12 09:59:29,90_DAY_PREVENTIVE_ATTENTION,STABLE,87,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00092,29,Sivaganga,2025-06-22 23:10:11,30_DAY_PREVENTIVE_ATTENTION,STABLE,86,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00093,23,Namakkal,2026-03-11 06:08:27,30_DAY_PREVENTIVE_ATTENTION,STABLE,72,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00094,22,Dharmapuri,2025-10-19 13:09:09,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,76,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00095,36,Ranipet,2025-09-22 06:39:09,30_DAY_PREVENTIVE_ATTENTION,WATCH,78,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00096,6,Tirunelveli,2025-02-09 15:26:55,90_DAY_PREVENTIVE_ATTENTION,WATCH,74,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00097,37,Tirupathur,2025-09-09 00:58:28,30_DAY_PREVENTIVE_ATTENTION,WATCH,81,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00098,20,Viluppuram,2025-01-24 21:20:29,90_DAY_PREVENTIVE_ATTENTION,INCREASING,85,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00099,38,Tiruvannamalai,2025-06-22 20:33:18,90_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,85,CAMPUS_SECTOR_MICRO_CLUSTER,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00100,20,Viluppuram,2026-05-25 03:26:05,30_DAY_PREVENTIVE_ATTENTION,HIGH PREVENTIVE ATTENTION,86,INTERSTATE_FREIGHT_DISCREPANCY,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
FC-HIST-00101,25,Karur,2025-09-20 16:10:41,90_DAY_PREVENTIVE_ATTENTION,STABLE,69,HIGHWAY_CHECKPOST_ACCELERATION,NARVEX_TEMPORAL_BAYES_V2.1,Preventive attention priority indicator only; not criminal proof.
