report_id,anonymous_token,received_at,district_id,district_name,taluk_id,taluk_name,locality_id,locality_name,signal_type,drug_category,description,source_channel,verification_status,processing_status,duplicate_group_id,risk_relevance,confidence_score,is_first_time_signal
CR-2026-00014,ANON-TN-6A8E1407E0,2026-05-28 16:23:16,5,Tiruchirappalli,20,Tiruchirappalli East,51,Tiruchirappalli West Sector A,HEALTH_EMERGENCY,OPIOID_ANALOGUES,Anonymous observation reported near Tiruchirappalli West Sector A locality in Tiruchirappalli.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-29,LOW,89,0
CR-2026-00015,ANON-TN-D7441C4604,2025-06-12 01:02:43,9,Vellore,33,Vellore North,92,Vellore Rural Bypass Hub,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Vellore Rural Bypass Hub locality in Vellore.,WEB_PORTAL,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-322,MEDIUM,82,0
CR-2026-00016,ANON-TN-710EF02DFA,2026-02-16 04:49:21,1,Chennai,1,Chennai North,6,Chennai South Bypass Hub,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Chennai South Bypass Hub locality in Chennai.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-127,HIGH,67,0
CR-2026-00017,ANON-TN-C7FC723087,2025-02-21 04:34:50,35,Mayiladuthurai,140,Mayiladuthurai North,346,Mayiladuthurai South Market,HEALTH_EMERGENCY,OPIOID_ANALOGUES,Anonymous observation reported near Mayiladuthurai South Market locality in Mayiladuthurai.,MOBILE_APP,UNVERIFIED,PROCESSED,DUP-GRP-310,MEDIUM,91,0
CR-2026-00018,ANON-TN-A1B13A8488,2026-03-14 13:07:56,23,Namakkal,92,Namakkal North,235,Namakkal West Market,HEALTH_EMERGENCY,SYNTHETIC_MDMA,Anonymous observation reported near Namakkal West Market locality in Namakkal.,TELEGRAM_BOT,UNVERIFIED,PROCESSED,DUP-GRP-365,LOW,70,0
CR-2026-00019,ANON-TN-88B58939F3,2024-11-01 09:49:32,13,Thoothukudi,52,Thoothukudi West,123,Thoothukudi North Market,REHAB_NEED,OPIOID_ANALOGUES,Anonymous observation reported near Thoothukudi North Market locality in Thoothukudi.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-110,HIGH,69,0
CR-2026-00020,ANON-TN-F70F8674F7,2025-11-01 22:09:57,4,Salem,15,Salem East,38,Salem East Market,REHAB_NEED,SYNTHETIC_MDMA,Anonymous observation reported near Salem East Market locality in Salem.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-2,MEDIUM,59,0
CR-2026-00021,ANON-TN-72D7A2E7A7,2026-05-03 12:58:31,31,Virudhunagar,122,Virudhunagar North,303,Virudhunagar South Market,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Virudhunagar South Market locality in Virudhunagar.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-235,HIGH,83,0
CR-2026-00022,ANON-TN-326A32F948,2025-02-12 13:32:36,23,Namakkal,95,Namakkal West,234,Namakkal West Sector A,COMMUNITY_CONCERN,OPIOID_ANALOGUES,Anonymous observation reported near Namakkal West Sector A locality in Namakkal.,TOLL_FREE_IVR,DISMISSED,PROCESSED,DUP-GRP-136,HIGH,72,1
CR-2026-00023,ANON-TN-36F4DF4E49,2026-04-02 12:05:11,37,Tirupathur,147,Tirupathur North,360,Tirupathur North Market,HEALTH_EMERGENCY,COMMERCIAL_GANJA,Anonymous observation reported near Tirupathur North Market locality in Tirupathur.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-64,MEDIUM,77,1
CR-2026-00024,ANON-TN-3E5E5B8349,2025-04-19 02:32:16,19,Cuddalore,79,Cuddalore Rural,189,Cuddalore South Market,HEALTH_EMERGENCY,COMMERCIAL_GANJA,Anonymous observation reported near Cuddalore South Market locality in Cuddalore.,TELEGRAM_BOT,UNVERIFIED,PROCESSED,DUP-GRP-174,LOW,79,0
CR-2026-00025,ANON-TN-BB0D1E15F8,2026-01-28 22:34:34,10,Krishnagiri,41,Krishnagiri West,100,Krishnagiri East Bypass Hub,REHAB_NEED,COMMERCIAL_GANJA,Anonymous observation reported near Krishnagiri East Bypass Hub locality in Krishnagiri.,TOLL_FREE_IVR,DISMISSED,PROCESSED,DUP-GRP-288,MEDIUM,78,1
CR-2026-00026,ANON-TN-E8B117307C,2024-12-30 23:28:03,9,Vellore,35,Vellore East,84,Vellore South Market,REHAB_NEED,SYNTHETIC_MDMA,Anonymous observation reported near Vellore South Market locality in Vellore.,WEB_PORTAL,DISMISSED,PROCESSED,DUP-GRP-327,LOW,90,0
CR-2026-00027,ANON-TN-B5643289F9,2024-12-31 23:44:01,26,Ariyalur,105,Ariyalur South,257,Ariyalur North Bypass Hub,HEALTH_EMERGENCY,SYNTHETIC_MDMA,Anonymous observation reported near Ariyalur North Bypass Hub locality in Ariyalur.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-217,HIGH,89,0
CR-2026-00028,ANON-TN-6C700AB949,2025-09-08 13:57:45,10,Krishnagiri,41,Krishnagiri West,95,Krishnagiri North Bypass Hub,HEALTH_EMERGENCY,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Krishnagiri North Bypass Hub locality in Krishnagiri.,MOBILE_APP,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-106,MEDIUM,79,0
CR-2026-00029,ANON-TN-76C42B24A9,2025-03-20 09:28:42,5,Tiruchirappalli,20,Tiruchirappalli East,54,Tiruchirappalli Rural Market,REHAB_NEED,SYNTHETIC_MDMA,Anonymous observation reported near Tiruchirappalli Rural Market locality in Tiruchirappalli.,TOLL_FREE_IVR,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-132,LOW,70,0
CR-2026-00030,ANON-TN-09F8BF3E7F,2024-10-22 07:00:18,36,Ranipet,145,Ranipet South,355,Ranipet South Sector A,HEALTH_EMERGENCY,UNKNOWN_CONTRABAND,Anonymous observation reported near Ranipet South Sector A locality in Ranipet.,TOLL_FREE_IVR,DISMISSED,PROCESSED,DUP-GRP-247,MEDIUM,59,1
CR-2026-00031,ANON-TN-70A5C513DA,2026-06-13 09:54:07,28,Pudukkottai,111,Pudukkottai North,276,Pudukkottai South Market,REHAB_NEED,COMMERCIAL_GANJA,Anonymous observation reported near Pudukkottai South Market locality in Pudukkottai.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-177,MEDIUM,78,0
CR-2026-00032,ANON-TN-E6B52CE106,2025-05-25 13:40:07,21,Kallakurichi,86,Kallakurichi West,215,Kallakurichi West Market,SUSPECTED_DISTRIBUTION,UNKNOWN_CONTRABAND,Anonymous observation reported near Kallakurichi West Market locality in Kallakurichi.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-349,LOW,80,0
CR-2026-00033,ANON-TN-DCC6A604BA,2025-09-28 09:19:08,2,Coimbatore,7,Coimbatore South,16,Coimbatore North Market,REHAB_NEED,COMMERCIAL_GANJA,Anonymous observation reported near Coimbatore North Market locality in Coimbatore.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-144,HIGH,56,1
CR-2026-00034,ANON-TN-0551A70032,2025-12-29 22:36:41,8,Erode,31,Erode East,79,Erode West Bypass Hub,SUSPECTED_DISTRIBUTION,CHEMICAL_PRECURSORS,Anonymous observation reported near Erode West Bypass Hub locality in Erode.,TOLL_FREE_IVR,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-275,LOW,85,0
CR-2026-00035,ANON-TN-04C8C37637,2026-03-20 05:15:21,19,Cuddalore,78,Cuddalore West,196,Cuddalore West Bypass Hub,REHAB_NEED,CHEMICAL_PRECURSORS,Anonymous observation reported near Cuddalore West Bypass Hub locality in Cuddalore.,MOBILE_APP,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-257,HIGH,71,0
CR-2026-00036,ANON-TN-0108B2732D,2025-09-30 23:00:28,6,Tirunelveli,25,Tirunelveli East,55,Tirunelveli North Sector A,COMMUNITY_CONCERN,UNKNOWN_CONTRABAND,Anonymous observation reported near Tirunelveli North Sector A locality in Tirunelveli.,TOLL_FREE_IVR,UNVERIFIED,PROCESSED,DUP-GRP-249,HIGH,56,0
CR-2026-00037,ANON-TN-0AA5A7B25A,2024-11-11 18:02:13,37,Tirupathur,147,Tirupathur North,359,Tirupathur North Sector A,SUSPECTED_DISTRIBUTION,COMMERCIAL_GANJA,Anonymous observation reported near Tirupathur North Sector A locality in Tirupathur.,WEB_PORTAL,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-297,HIGH,91,0
CR-2026-00038,ANON-TN-B6CE268440,2026-01-26 10:37:18,33,Thiruvarur,133,Thiruvarur South,323,Thiruvarur North Sector A,SUSPECTED_DISTRIBUTION,CHEMICAL_PRECURSORS,Anonymous observation reported near Thiruvarur North Sector A locality in Thiruvarur.,WEB_PORTAL,DISMISSED,PROCESSED,DUP-GRP-371,HIGH,63,0
CR-2026-00039,ANON-TN-E1A48F7340,2026-01-11 03:43:43,16,Kancheepuram,63,Kancheepuram South,164,Kancheepuram Rural Market,COMMUNITY_CONCERN,SYNTHETIC_MDMA,Anonymous observation reported near Kancheepuram Rural Market locality in Kancheepuram.,TELEGRAM_BOT,DISMISSED,PROCESSED,DUP-GRP-372,MEDIUM,76,1
CR-2026-00040,ANON-TN-2E0170ADBA,2025-03-03 01:49:23,22,Dharmapuri,88,Dharmapuri North,226,Dharmapuri West Market,REHAB_NEED,COMMERCIAL_GANJA,Anonymous observation reported near Dharmapuri West Market locality in Dharmapuri.,MOBILE_APP,CORROBORATED,PROCESSED,DUP-GRP-55,LOW,60,0
CR-2026-00041,ANON-TN-C32D8DDA41,2026-02-03 19:36:52,15,Tenkasi,61,Tenkasi East,149,Tenkasi South Sector A,REHAB_NEED,CHEMICAL_PRECURSORS,Anonymous observation reported near Tenkasi South Sector A locality in Tenkasi.,MOBILE_APP,CORROBORATED,PROCESSED,DUP-GRP-379,MEDIUM,63,0
CR-2026-00042,ANON-TN-DB841CA845,2025-08-06 05:52:55,1,Chennai,3,Chennai East,5,Chennai South Market,HEALTH_EMERGENCY,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Chennai South Market locality in Chennai.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-164,LOW,82,0
CR-2026-00043,ANON-TN-BDBD57079E,2025-08-06 06:59:15,27,Perambalur,110,Perambalur East,269,Perambalur South Bypass Hub,SUSPECTED_DISTRIBUTION,CHEMICAL_PRECURSORS,Anonymous observation reported near Perambalur South Bypass Hub locality in Perambalur.,WEB_PORTAL,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-1,HIGH,57,0
CR-2026-00044,ANON-TN-DA33BF5600,2025-12-03 18:22:07,23,Namakkal,94,Namakkal East,228,Namakkal North Market,REHAB_NEED,SYNTHETIC_MDMA,Anonymous observation reported near Namakkal North Market locality in Namakkal.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-359,HIGH,70,0
CR-2026-00045,ANON-TN-6DDF1D10B7,2026-06-29 00:05:28,2,Coimbatore,6,Coimbatore North,21,Coimbatore East Market,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Coimbatore East Market locality in Coimbatore.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-269,LOW,91,0
CR-2026-00046,ANON-TN-64554665A1,2025-09-21 17:24:16,35,Mayiladuthurai,143,Mayiladuthurai West,345,Mayiladuthurai South Sector A,COMMUNITY_CONCERN,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Mayiladuthurai South Sector A locality in Mayiladuthurai.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-341,MEDIUM,73,0
CR-2026-00047,ANON-TN-71558C256A,2025-02-26 08:29:54,3,Madurai,10,Madurai South,31,Madurai West Market,SUSPECTED_DISTRIBUTION,OPIOID_ANALOGUES,Anonymous observation reported near Madurai West Market locality in Madurai.,MOBILE_APP,UNVERIFIED,PROCESSED,DUP-GRP-127,HIGH,56,1
CR-2026-00048,ANON-TN-14F6B7E6BD,2025-03-14 23:40:35,38,Tiruvannamalai,152,Tiruvannamalai East,369,Tiruvannamalai South Market,REHAB_NEED,SYNTHETIC_MDMA,Anonymous observation reported near Tiruvannamalai South Market locality in Tiruvannamalai.,MOBILE_APP,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-74,MEDIUM,89,1
CR-2026-00049,ANON-TN-094D8C578D,2024-09-19 11:39:09,34,Nagapattinam,136,Nagapattinam North,332,Nagapattinam North Sector A,REHAB_NEED,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Nagapattinam North Sector A locality in Nagapattinam.,TOLL_FREE_IVR,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-235,LOW,75,0
CR-2026-00050,ANON-TN-185C0EB293,2025-04-13 01:56:26,3,Madurai,10,Madurai South,28,Madurai East Market,HEALTH_EMERGENCY,OPIOID_ANALOGUES,Anonymous observation reported near Madurai East Market locality in Madurai.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-268,MEDIUM,70,0
CR-2026-00051,ANON-TN-473EC984E0,2025-12-12 10:15:04,33,Thiruvarur,133,Thiruvarur South,327,Thiruvarur East Sector A,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Thiruvarur East Sector A locality in Thiruvarur.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-20,HIGH,58,0
CR-2026-00052,ANON-TN-4B134FC750,2026-02-26 15:17:28,30,Ramanathapuram,118,Ramanathapuram North,289,Ramanathapuram North Sector A,SUSPECTED_DISTRIBUTION,OPIOID_ANALOGUES,Anonymous observation reported near Ramanathapuram North Sector A locality in Ramanathapuram.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-232,LOW,72,0
CR-2026-00053,ANON-TN-7C8F34B830,2026-03-06 13:46:48,22,Dharmapuri,91,Dharmapuri West,225,Dharmapuri West Sector A,HEALTH_EMERGENCY,OPIOID_ANALOGUES,Anonymous observation reported near Dharmapuri West Sector A locality in Dharmapuri.,TOLL_FREE_IVR,DISMISSED,PROCESSED,DUP-GRP-162,MEDIUM,86,0
CR-2026-00054,ANON-TN-D382901FE1,2025-05-17 12:16:53,30,Ramanathapuram,118,Ramanathapuram North,299,Ramanathapuram West Bypass Hub,SUSPECTED_DISTRIBUTION,CHEMICAL_PRECURSORS,Anonymous observation reported near Ramanathapuram West Bypass Hub locality in Ramanathapuram.,WEB_PORTAL,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-76,MEDIUM,64,0
CR-2026-00055,ANON-TN-612C1E195B,2026-08-09 16:48:59,10,Krishnagiri,39,Krishnagiri South,98,Krishnagiri East Sector A,COMMUNITY_CONCERN,CHEMICAL_PRECURSORS,Anonymous observation reported near Krishnagiri East Sector A locality in Krishnagiri.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-199,HIGH,80,1
CR-2026-00056,ANON-TN-1794435984,2026-06-15 20:35:42,5,Tiruchirappalli,18,Tiruchirappalli North,43,Tiruchirappalli North Sector A,REHAB_NEED,COMMERCIAL_GANJA,Anonymous observation reported near Tiruchirappalli North Sector A locality in Tiruchirappalli.,TOLL_FREE_IVR,DISMISSED,PROCESSED,DUP-GRP-332,HIGH,76,0
CR-2026-00057,ANON-TN-EEAA074752,2025-04-08 03:52:22,9,Vellore,37,Vellore Rural,82,Vellore North Bypass Hub,COMMUNITY_CONCERN,UNKNOWN_CONTRABAND,Anonymous observation reported near Vellore North Bypass Hub locality in Vellore.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-13,HIGH,62,0
CR-2026-00058,ANON-TN-103B8DB887,2026-02-07 06:51:43,5,Tiruchirappalli,21,Tiruchirappalli West,53,Tiruchirappalli Rural Sector A,COMMUNITY_CONCERN,COMMERCIAL_GANJA,Anonymous observation reported near Tiruchirappalli Rural Sector A locality in Tiruchirappalli.,TELEGRAM_BOT,DISMISSED,PROCESSED,DUP-GRP-139,MEDIUM,75,0
CR-2026-00059,ANON-TN-79AA25A9D0,2026-04-18 05:13:43,29,Sivaganga,116,Sivaganga East,284,Sivaganga South Bypass Hub,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Sivaganga South Bypass Hub locality in Sivaganga.,TELEGRAM_BOT,NEEDS_VERIFICATION,PROCESSED,DUP-GRP-290,HIGH,89,0
CR-2026-00060,ANON-TN-2D1B61653B,2025-12-19 07:12:29,3,Madurai,12,Madurai West,24,Madurai South Sector A,HEALTH_EMERGENCY,CHEMICAL_PRECURSORS,Anonymous observation reported near Madurai South Sector A locality in Madurai.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-229,HIGH,62,0
CR-2026-00061,ANON-TN-98434CD04C,2026-05-13 19:19:49,1,Chennai,3,Chennai East,2,Chennai North Market,HEALTH_EMERGENCY,SYNTHETIC_MDMA,Anonymous observation reported near Chennai North Market locality in Chennai.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-122,HIGH,88,0
CR-2026-00062,ANON-TN-E4D80B91D6,2025-06-02 22:20:01,37,Tirupathur,149,Tirupathur East,365,Tirupathur East Market,COMMUNITY_CONCERN,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Tirupathur East Market locality in Tirupathur.,TELEGRAM_BOT,UNVERIFIED,PROCESSED,DUP-GRP-288,HIGH,84,0
CR-2026-00063,ANON-TN-578123B373,2026-02-22 09:26:40,12,Thanjavur,48,Thanjavur East,121,Thanjavur East Market,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Thanjavur East Market locality in Thanjavur.,TOLL_FREE_IVR,UNVERIFIED,PROCESSED,DUP-GRP-312,MEDIUM,77,0
CR-2026-00064,ANON-TN-ECAEF22AA8,2025-03-12 18:07:46,2,Coimbatore,7,Coimbatore South,16,Coimbatore North Market,COMMUNITY_CONCERN,PRESCRIPTION_NARCOTICS,Anonymous observation reported near Coimbatore North Market locality in Coimbatore.,TOLL_FREE_IVR,UNVERIFIED,PROCESSED,DUP-GRP-368,LOW,68,0
CR-2026-00065,ANON-TN-66FE8EA500,2024-12-29 22:33:52,13,Thoothukudi,52,Thoothukudi West,128,Thoothukudi East Market,SUSPECTED_DISTRIBUTION,UNKNOWN_CONTRABAND,Anonymous observation reported near Thoothukudi East Market locality in Thoothukudi.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-275,HIGH,71,0
CR-2026-00066,ANON-TN-C9867EA539,2024-11-16 18:18:40,31,Virudhunagar,124,Virudhunagar East,303,Virudhunagar South Market,REHAB_NEED,COMMERCIAL_GANJA,Anonymous observation reported near Virudhunagar South Market locality in Virudhunagar.,MOBILE_APP,UNVERIFIED,PROCESSED,DUP-GRP-316,MEDIUM,83,0
CR-2026-00067,ANON-TN-6AA6BAFA69,2026-08-02 21:49:07,38,Tiruvannamalai,150,Tiruvannamalai North,374,Tiruvannamalai West Market,HEALTH_EMERGENCY,COMMERCIAL_GANJA,Anonymous observation reported near Tiruvannamalai West Market locality in Tiruvannamalai.,MOBILE_APP,DISMISSED,PROCESSED,DUP-GRP-385,LOW,55,0
CR-2026-00068,ANON-TN-C5691D1D01,2026-06-03 09:38:29,33,Thiruvarur,134,Thiruvarur East,324,Thiruvarur North Market,COMMUNITY_CONCERN,CHEMICAL_PRECURSORS,Anonymous observation reported near Thiruvarur North Market locality in Thiruvarur.,TOLL_FREE_IVR,UNVERIFIED,PROCESSED,DUP-GRP-88,LOW,55,1
CR-2026-00069,ANON-TN-05184F5457,2024-10-18 13:40:31,18,Tiruvallur,74,Tiruvallur East,180,Tiruvallur South Market,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Tiruvallur South Market locality in Tiruvallur.,MOBILE_APP,UNVERIFIED,PROCESSED,DUP-GRP-115,HIGH,75,0
CR-2026-00070,ANON-TN-C5A8C408C5,2024-09-20 13:49:24,29,Sivaganga,117,Sivaganga West,286,Sivaganga East Market,SUSPECTED_DISTRIBUTION,CHEMICAL_PRECURSORS,Anonymous observation reported near Sivaganga East Market locality in Sivaganga.,MOBILE_APP,UNVERIFIED,PROCESSED,DUP-GRP-365,MEDIUM,62,0
CR-2026-00071,ANON-TN-E4498250C3,2025-04-26 01:14:58,31,Virudhunagar,122,Virudhunagar North,306,Virudhunagar West Sector A,COMMUNITY_CONCERN,CHEMICAL_PRECURSORS,Anonymous observation reported near Virudhunagar West Sector A locality in Virudhunagar.,TOLL_FREE_IVR,CORROBORATED,PROCESSED,DUP-GRP-349,HIGH,79,0
CR-2026-00072,ANON-TN-B26AC8BB76,2026-06-05 23:14:51,4,Salem,14,Salem South,32,Salem North Sector A,SUSPECTED_DISTRIBUTION,SYNTHETIC_MDMA,Anonymous observation reported near Salem North Sector A locality in Salem.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-231,HIGH,84,0
CR-2026-00073,ANON-TN-6276E252AD,2025-03-10 21:48:55,35,Mayiladuthurai,140,Mayiladuthurai North,348,Mayiladuthurai East Market,SUSPECTED_DISTRIBUTION,UNKNOWN_CONTRABAND,Anonymous observation reported near Mayiladuthurai East Market locality in Mayiladuthurai.,WEB_PORTAL,UNVERIFIED,PROCESSED,DUP-GRP-286,LOW,80,0
CR-2026-00074,ANON-TN-334CC93501,2025-02-22 12:13:45,7,Tiruppur,27,Tiruppur South,67,Tiruppur East Sector A,SUSPECTED_DISTRIBUTION,OPIOID_ANALOGUES,Anonymous observation reported near Tiruppur East Sector A locality in Tiruppur.,TELEGRAM_BOT,CORROBORATED,PROCESSED,DUP-GRP-310,MEDIUM,68,0
CR-2026-00075,ANON-TN-042813A62E,2025-04-03 11:39:24,4,Salem,16,Salem West,37,Salem East Sector A,COMMUNITY_CONCERN,SYNTHETIC_MDMA,Anonymous observation reported near Salem East Sector A locality in Salem.,WEB_PORTAL,DISMISSED,PROCESSED,DUP-GRP-183,HIGH,79,0
CR-2026-00076,ANON-TN-DD2390C0DC,2026-07-14 22:39:50,33,Thiruvarur,134,Thiruvarur East,328,Thiruvarur East Market,COMMUNITY_CONCERN,OPIOID_ANALOGUES,Anonymous observation reported near Thiruvarur East Market locality in Thiruvarur.,WEB_PORTAL,CORROBORATED,PROCESSED,DUP-GRP-320,MEDIUM,84,0
CR-2026-00077,ANON-TN-6A14F8D5F9,2025-06-22 03:48:23,6,Tirunelveli,24,Tirunelveli South,60,Tirunelveli East Sector A,HEALTH_EMERGENCY,COMMERCIAL_GANJA,Anonymous observation reported near Tirunelveli East Sector A locality in Tirunelveli.,MOBILE_APP,CORROBORATED,PROCESSED,DUP-GRP-188,MEDIUM,77,0
