alert_id,district_id,district_name,created_at,alert_type,priority_level,status,trigger_summary,confidence_score
ALT-2026-00013,9,Vellore,2026-04-07 21:35:37,EMERGING_ZONE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Vellore jurisdiction.,91
ALT-2026-00014,7,Tiruppur,2025-11-09 01:46:20,DATA_ANOMALY,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruppur jurisdiction.,76
ALT-2026-00015,11,Dindigul,2025-05-09 02:38:00,HIGH_RISK_LOW_CONFIDENCE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dindigul jurisdiction.,86
ALT-2026-00016,29,Sivaganga,2025-05-25 02:56:17,DATA_ANOMALY,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Sivaganga jurisdiction.,66
ALT-2026-00017,26,Ariyalur,2026-01-29 12:51:44,NEW_SIGNAL,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ariyalur jurisdiction.,83
ALT-2026-00018,29,Sivaganga,2026-04-23 09:56:26,CORRIDOR_SURGE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Sivaganga jurisdiction.,85
ALT-2026-00019,28,Pudukkottai,2024-12-30 11:47:41,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,89
ALT-2026-00020,23,Namakkal,2026-07-04 08:57:46,CORRIDOR_SURGE,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Namakkal jurisdiction.,92
ALT-2026-00021,37,Tirupathur,2024-10-02 21:48:14,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Tirupathur jurisdiction.,79
ALT-2026-00022,1,Chennai,2025-05-20 00:12:04,DATA_ANOMALY,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Chennai jurisdiction.,93
ALT-2026-00023,22,Dharmapuri,2025-11-18 21:26:00,EMERGING_ZONE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,75
ALT-2026-00024,32,Theni,2025-05-21 20:09:47,NEW_SIGNAL,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Theni jurisdiction.,65
ALT-2026-00025,34,Nagapattinam,2026-07-22 12:17:43,CORRIDOR_SURGE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Nagapattinam jurisdiction.,79
ALT-2026-00026,15,Tenkasi,2026-06-10 10:06:31,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tenkasi jurisdiction.,93
ALT-2026-00027,36,Ranipet,2025-05-27 00:13:39,CORRIDOR_SURGE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Ranipet jurisdiction.,71
ALT-2026-00028,9,Vellore,2025-02-21 03:49:55,RAPID_INCREASE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Vellore jurisdiction.,92
ALT-2026-00029,33,Thiruvarur,2026-07-08 20:29:12,EMERGING_ZONE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Thiruvarur jurisdiction.,91
ALT-2026-00030,27,Perambalur,2025-07-16 10:04:32,DATA_ANOMALY,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Perambalur jurisdiction.,70
ALT-2026-00031,30,Ramanathapuram,2026-04-10 00:03:37,RAPID_INCREASE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,96
ALT-2026-00032,34,Nagapattinam,2025-05-23 00:27:18,EMERGING_ZONE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Nagapattinam jurisdiction.,91
ALT-2026-00033,29,Sivaganga,2025-12-18 20:30:31,EMERGING_ZONE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Sivaganga jurisdiction.,66
ALT-2026-00034,20,Viluppuram,2026-06-02 13:29:47,DATA_ANOMALY,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Viluppuram jurisdiction.,96
ALT-2026-00035,8,Erode,2026-02-07 08:11:00,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Erode jurisdiction.,75
ALT-2026-00036,27,Perambalur,2025-08-05 03:23:52,DATA_ANOMALY,CRITICAL,RESOLVED,Statistically significant pattern change observed in Perambalur jurisdiction.,94
ALT-2026-00037,29,Sivaganga,2024-10-30 21:15:07,RAPID_INCREASE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Sivaganga jurisdiction.,84
ALT-2026-00038,27,Perambalur,2026-05-30 02:21:43,NEW_SIGNAL,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Perambalur jurisdiction.,74
ALT-2026-00039,1,Chennai,2024-12-12 20:41:58,RAPID_INCREASE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Chennai jurisdiction.,88
ALT-2026-00040,26,Ariyalur,2025-07-13 02:36:44,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Ariyalur jurisdiction.,79
ALT-2026-00041,37,Tirupathur,2025-08-04 12:43:27,DATA_ANOMALY,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tirupathur jurisdiction.,95
ALT-2026-00042,27,Perambalur,2025-11-08 06:11:33,NEW_SIGNAL,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Perambalur jurisdiction.,94
ALT-2026-00043,25,Karur,2025-05-16 11:16:54,HIGH_RISK_LOW_CONFIDENCE,HIGH,RESOLVED,Statistically significant pattern change observed in Karur jurisdiction.,89
ALT-2026-00044,35,Mayiladuthurai,2025-06-29 16:16:15,NEW_SIGNAL,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Mayiladuthurai jurisdiction.,84
ALT-2026-00045,16,Kancheepuram,2025-10-27 14:11:55,EMERGING_ZONE,HIGH,RESOLVED,Statistically significant pattern change observed in Kancheepuram jurisdiction.,84
ALT-2026-00046,30,Ramanathapuram,2026-04-26 06:05:10,RAPID_INCREASE,HIGH,RESOLVED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,75
ALT-2026-00047,5,Tiruchirappalli,2024-10-29 23:07:46,DATA_ANOMALY,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,87
ALT-2026-00048,18,Tiruvallur,2026-02-20 19:10:59,DATA_ANOMALY,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruvallur jurisdiction.,96
ALT-2026-00049,19,Cuddalore,2026-07-01 01:05:12,DATA_ANOMALY,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Cuddalore jurisdiction.,85
ALT-2026-00050,29,Sivaganga,2025-04-28 11:07:12,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Sivaganga jurisdiction.,90
ALT-2026-00051,33,Thiruvarur,2025-01-23 08:05:04,HIGH_RISK_LOW_CONFIDENCE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Thiruvarur jurisdiction.,80
ALT-2026-00052,19,Cuddalore,2025-05-15 04:39:02,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Cuddalore jurisdiction.,93
ALT-2026-00053,3,Madurai,2024-10-06 09:05:25,NEW_SIGNAL,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Madurai jurisdiction.,76
ALT-2026-00054,22,Dharmapuri,2024-11-18 15:58:31,NEW_SIGNAL,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,84
ALT-2026-00055,3,Madurai,2026-01-01 14:44:53,CORRIDOR_SURGE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Madurai jurisdiction.,96
ALT-2026-00056,28,Pudukkottai,2025-01-16 16:50:53,EMERGING_ZONE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Pudukkottai jurisdiction.,88
ALT-2026-00057,10,Krishnagiri,2024-12-12 17:40:58,RAPID_INCREASE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,91
ALT-2026-00058,23,Namakkal,2025-11-11 20:55:53,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Namakkal jurisdiction.,79
ALT-2026-00059,34,Nagapattinam,2026-02-26 19:17:48,EMERGING_ZONE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Nagapattinam jurisdiction.,70
ALT-2026-00060,13,Thoothukudi,2025-02-15 07:40:49,CORRIDOR_SURGE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Thoothukudi jurisdiction.,92
ALT-2026-00061,10,Krishnagiri,2025-07-08 21:58:05,HIGH_RISK_LOW_CONFIDENCE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Krishnagiri jurisdiction.,79
ALT-2026-00062,14,Kanniyakumari,2025-01-01 21:19:31,HIGH_RISK_LOW_CONFIDENCE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,72
ALT-2026-00063,31,Virudhunagar,2024-10-19 22:56:10,CORRIDOR_SURGE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Virudhunagar jurisdiction.,74
ALT-2026-00064,28,Pudukkottai,2025-01-14 19:36:01,RAPID_INCREASE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,71
ALT-2026-00065,14,Kanniyakumari,2025-01-22 20:35:42,RAPID_INCREASE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,68
ALT-2026-00066,10,Krishnagiri,2026-07-06 09:23:15,RAPID_INCREASE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,73
ALT-2026-00067,3,Madurai,2026-01-20 21:29:20,CORRIDOR_SURGE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Madurai jurisdiction.,70
ALT-2026-00068,28,Pudukkottai,2025-03-23 21:13:43,NEW_SIGNAL,HIGH,RESOLVED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,77
ALT-2026-00069,11,Dindigul,2025-08-11 13:06:00,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Dindigul jurisdiction.,88
ALT-2026-00070,14,Kanniyakumari,2025-06-26 11:42:14,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,69
ALT-2026-00071,1,Chennai,2026-01-11 08:07:50,EMERGING_ZONE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Chennai jurisdiction.,75
ALT-2026-00072,5,Tiruchirappalli,2026-02-05 08:25:08,EMERGING_ZONE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,83
ALT-2026-00073,33,Thiruvarur,2026-01-07 21:55:56,CORRIDOR_SURGE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Thiruvarur jurisdiction.,78
ALT-2026-00074,14,Kanniyakumari,2025-09-22 20:48:52,DATA_ANOMALY,HIGH,RESOLVED,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,79
ALT-2026-00075,3,Madurai,2026-08-16 14:58:07,CORRIDOR_SURGE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Madurai jurisdiction.,76
ALT-2026-00076,29,Sivaganga,2024-10-19 19:14:46,NEW_SIGNAL,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Sivaganga jurisdiction.,96
ALT-2026-00077,11,Dindigul,2026-07-24 06:58:44,HIGH_RISK_LOW_CONFIDENCE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dindigul jurisdiction.,80
ALT-2026-00078,11,Dindigul,2026-08-14 08:10:51,CORRIDOR_SURGE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Dindigul jurisdiction.,81
ALT-2026-00079,10,Krishnagiri,2025-01-06 14:24:48,DATA_ANOMALY,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,92
ALT-2026-00080,10,Krishnagiri,2026-05-14 04:23:17,DATA_ANOMALY,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,80
ALT-2026-00081,28,Pudukkottai,2026-05-20 04:39:21,EMERGING_ZONE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Pudukkottai jurisdiction.,95
ALT-2026-00082,14,Kanniyakumari,2025-06-20 16:35:43,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,84
ALT-2026-00083,36,Ranipet,2025-02-26 13:16:36,EMERGING_ZONE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ranipet jurisdiction.,94
ALT-2026-00084,11,Dindigul,2025-03-08 08:51:10,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Dindigul jurisdiction.,80
ALT-2026-00085,33,Thiruvarur,2026-04-13 17:00:59,RAPID_INCREASE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Thiruvarur jurisdiction.,90
ALT-2026-00086,15,Tenkasi,2025-05-03 06:14:45,CORRIDOR_SURGE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tenkasi jurisdiction.,96
ALT-2026-00087,1,Chennai,2024-11-01 00:25:51,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Chennai jurisdiction.,70
ALT-2026-00088,12,Thanjavur,2025-07-30 21:09:06,NEW_SIGNAL,HIGH,RESOLVED,Statistically significant pattern change observed in Thanjavur jurisdiction.,93
ALT-2026-00089,10,Krishnagiri,2025-11-01 10:21:47,DATA_ANOMALY,CRITICAL,RESOLVED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,77
ALT-2026-00090,32,Theni,2025-08-08 19:01:34,EMERGING_ZONE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Theni jurisdiction.,85
ALT-2026-00091,36,Ranipet,2025-04-22 13:04:26,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Ranipet jurisdiction.,66
ALT-2026-00092,38,Tiruvannamalai,2025-06-06 19:22:20,CORRIDOR_SURGE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,89
ALT-2026-00093,28,Pudukkottai,2025-10-01 04:19:54,EMERGING_ZONE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Pudukkottai jurisdiction.,79
ALT-2026-00094,29,Sivaganga,2026-03-10 22:02:16,CORRIDOR_SURGE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Sivaganga jurisdiction.,68
ALT-2026-00095,15,Tenkasi,2025-01-13 20:07:33,DATA_ANOMALY,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tenkasi jurisdiction.,68
ALT-2026-00096,30,Ramanathapuram,2024-10-27 04:55:55,RAPID_INCREASE,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,94
ALT-2026-00097,5,Tiruchirappalli,2024-10-16 14:33:18,RAPID_INCREASE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,86
ALT-2026-00098,19,Cuddalore,2026-01-12 23:10:09,DATA_ANOMALY,CRITICAL,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Cuddalore jurisdiction.,73
ALT-2026-00099,5,Tiruchirappalli,2024-10-01 11:24:26,EMERGING_ZONE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,80
ALT-2026-00100,18,Tiruvallur,2026-03-01 20:00:50,NEW_SIGNAL,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tiruvallur jurisdiction.,96
ALT-2026-00101,3,Madurai,2024-10-12 17:12:18,RAPID_INCREASE,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Madurai jurisdiction.,95
ALT-2026-00102,6,Tirunelveli,2025-01-02 03:39:00,EMERGING_ZONE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,80
ALT-2026-00103,15,Tenkasi,2026-07-16 20:06:18,NEW_SIGNAL,MEDIUM,RESOLVED,Statistically significant pattern change observed in Tenkasi jurisdiction.,83
ALT-2026-00104,24,Nilgiris,2025-10-06 16:25:57,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Nilgiris jurisdiction.,74
ALT-2026-00105,26,Ariyalur,2025-03-18 21:21:33,HIGH_RISK_LOW_CONFIDENCE,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Ariyalur jurisdiction.,71
ALT-2026-00106,37,Tirupathur,2024-09-26 18:51:55,DATA_ANOMALY,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tirupathur jurisdiction.,87
ALT-2026-00107,23,Namakkal,2026-02-16 20:16:12,RAPID_INCREASE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Namakkal jurisdiction.,74
ALT-2026-00108,12,Thanjavur,2026-03-05 06:56:58,RAPID_INCREASE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Thanjavur jurisdiction.,84
ALT-2026-00109,23,Namakkal,2025-09-26 15:38:08,DATA_ANOMALY,ADVISORY,RESOLVED,Statistically significant pattern change observed in Namakkal jurisdiction.,87
ALT-2026-00110,15,Tenkasi,2025-07-30 23:14:40,HIGH_RISK_LOW_CONFIDENCE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tenkasi jurisdiction.,82
ALT-2026-00111,23,Namakkal,2026-04-11 13:21:48,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Namakkal jurisdiction.,81
ALT-2026-00112,5,Tiruchirappalli,2025-02-04 22:38:40,NEW_SIGNAL,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruchirappalli jurisdiction.,82
ALT-2026-00113,22,Dharmapuri,2025-12-13 23:09:57,NEW_SIGNAL,ADVISORY,RESOLVED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,68
ALT-2026-00114,10,Krishnagiri,2024-11-16 03:18:44,CORRIDOR_SURGE,MEDIUM,RESOLVED,Statistically significant pattern change observed in Krishnagiri jurisdiction.,73
ALT-2026-00115,30,Ramanathapuram,2025-05-04 09:33:48,RAPID_INCREASE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Ramanathapuram jurisdiction.,73
ALT-2026-00116,38,Tiruvannamalai,2026-02-02 16:42:00,RAPID_INCREASE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tiruvannamalai jurisdiction.,73
ALT-2026-00117,34,Nagapattinam,2025-04-17 01:00:24,CORRIDOR_SURGE,HIGH,RESOLVED,Statistically significant pattern change observed in Nagapattinam jurisdiction.,70
ALT-2026-00118,9,Vellore,2026-07-02 19:44:37,EMERGING_ZONE,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Vellore jurisdiction.,81
ALT-2026-00119,21,Kallakurichi,2025-07-20 09:58:42,DATA_ANOMALY,MEDIUM,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Kallakurichi jurisdiction.,67
ALT-2026-00120,34,Nagapattinam,2025-08-07 11:55:06,CORRIDOR_SURGE,HIGH,RESOLVED,Statistically significant pattern change observed in Nagapattinam jurisdiction.,90
ALT-2026-00121,14,Kanniyakumari,2025-05-12 04:44:40,DATA_ANOMALY,HIGH,RESOLVED,Statistically significant pattern change observed in Kanniyakumari jurisdiction.,95
ALT-2026-00122,26,Ariyalur,2026-06-05 09:56:49,DATA_ANOMALY,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Ariyalur jurisdiction.,94
ALT-2026-00123,26,Ariyalur,2024-09-20 18:21:35,CORRIDOR_SURGE,ADVISORY,VERIFIED_ACTIONED,Statistically significant pattern change observed in Ariyalur jurisdiction.,86
ALT-2026-00124,34,Nagapattinam,2025-07-22 05:29:16,CORRIDOR_SURGE,ADVISORY,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Nagapattinam jurisdiction.,96
ALT-2026-00125,2,Coimbatore,2025-11-19 21:48:24,DATA_ANOMALY,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Coimbatore jurisdiction.,82
ALT-2026-00126,37,Tirupathur,2026-05-29 02:09:15,RAPID_INCREASE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tirupathur jurisdiction.,87
ALT-2026-00127,4,Salem,2025-04-08 21:04:28,EMERGING_ZONE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Salem jurisdiction.,75
ALT-2026-00128,35,Mayiladuthurai,2026-04-23 08:48:30,EMERGING_ZONE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Mayiladuthurai jurisdiction.,71
ALT-2026-00129,22,Dharmapuri,2026-04-20 13:51:00,EMERGING_ZONE,ADVISORY,RESOLVED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,83
ALT-2026-00130,6,Tirunelveli,2025-02-22 15:45:48,NEW_SIGNAL,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,73
ALT-2026-00131,35,Mayiladuthurai,2025-01-08 02:07:46,EMERGING_ZONE,HIGH,RESOLVED,Statistically significant pattern change observed in Mayiladuthurai jurisdiction.,73
ALT-2026-00132,23,Namakkal,2025-07-23 12:17:47,EMERGING_ZONE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Namakkal jurisdiction.,70
ALT-2026-00133,27,Perambalur,2026-07-14 03:41:35,DATA_ANOMALY,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Perambalur jurisdiction.,91
ALT-2026-00134,22,Dharmapuri,2025-02-07 15:06:56,NEW_SIGNAL,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,81
ALT-2026-00135,22,Dharmapuri,2025-08-18 09:12:04,NEW_SIGNAL,ADVISORY,RESOLVED,Statistically significant pattern change observed in Dharmapuri jurisdiction.,78
ALT-2026-00136,34,Nagapattinam,2026-05-31 01:19:11,EMERGING_ZONE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Nagapattinam jurisdiction.,69
ALT-2026-00137,12,Thanjavur,2026-03-31 16:27:42,NEW_SIGNAL,MEDIUM,RESOLVED,Statistically significant pattern change observed in Thanjavur jurisdiction.,65
ALT-2026-00138,9,Vellore,2026-02-21 03:23:28,RAPID_INCREASE,HIGH,VERIFIED_ACTIONED,Statistically significant pattern change observed in Vellore jurisdiction.,69
ALT-2026-00139,33,Thiruvarur,2025-12-28 19:58:09,NEW_SIGNAL,MEDIUM,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Thiruvarur jurisdiction.,73
ALT-2026-00140,9,Vellore,2024-12-01 04:36:50,NEW_SIGNAL,ADVISORY,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Vellore jurisdiction.,79
ALT-2026-00141,29,Sivaganga,2025-07-06 20:07:37,CORRIDOR_SURGE,CRITICAL,RESOLVED,Statistically significant pattern change observed in Sivaganga jurisdiction.,76
ALT-2026-00142,6,Tirunelveli,2026-03-23 16:29:43,DATA_ANOMALY,ADVISORY,RESOLVED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,65
ALT-2026-00143,34,Nagapattinam,2025-07-04 23:16:53,CORRIDOR_SURGE,HIGH,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Nagapattinam jurisdiction.,96
ALT-2026-00144,15,Tenkasi,2026-05-09 08:53:50,HIGH_RISK_LOW_CONFIDENCE,CRITICAL,ASSIGNED_FOR_TRIAGE,Statistically significant pattern change observed in Tenkasi jurisdiction.,66
ALT-2026-00145,6,Tirunelveli,2025-05-24 20:27:23,EMERGING_ZONE,HIGH,ACTIVE_UNASSIGNED,Statistically significant pattern change observed in Tirunelveli jurisdiction.,85
ALT-2026-00146,2,Coimbatore,2026-02-26 07:38:40,CORRIDOR_SURGE,CRITICAL,VERIFIED_ACTIONED,Statistically significant pattern change observed in Coimbatore jurisdiction.,79
ALT-2026-00147,36,Ranipet,2025-09-23 18:20:01,NEW_SIGNAL,MEDIUM,VERIFIED_ACTIONED,Statistically significant pattern change observed in Ranipet jurisdiction.,80
