district_id,state_code,district_name,district_code,headquarters,latitude,longitude,baseline_population,risk_level,trend_direction,velocity_30d,confidence_score,coverage_status,verified_events_count,emerging_zones_count,active_alerts_count,pending_verification_count,first_time_signals_count
26,TN,Ariyalur,ARI,Ariyalur,11.1401,79.0786,754000,INSUFFICIENT_DATA,STABLE,0.3,42,LIMITED,0,0,0,0,0
27,TN,Perambalur,PBL,Perambalur,11.2342,78.882,565000,INSUFFICIENT_DATA,STABLE,0.4,44,LIMITED,0,0,0,0,0
28,TN,Pudukkottai,PDK,Pudukkottai,10.3797,78.8208,1618000,LOW,STABLE,0.8,61,MODERATE,0,0,0,0,0
29,TN,Sivaganga,SVG,Sivaganga,9.8433,78.4809,1339000,LOW,STABLE,0.6,59,LIMITED,0,0,0,0,0
30,TN,Ramanathapuram,RMD,Ramanathapuram,9.3639,78.8395,1353000,WATCH,MODERATE_INCREASE,1.5,71,MODERATE,0,0,0,0,0
31,TN,Virudhunagar,VRD,Virudhunagar,9.568,77.9624,1942000,WATCH,STABLE,1,69,MODERATE,0,0,0,0,0
32,TN,Theni,THI,Theni,10.0104,77.4768,1245000,INCREASING,MODERATE_INCREASE,1.9,73,MODERATE,0,0,0,0,0
33,TN,Thiruvarur,TVR,Thiruvarur,10.7725,79.6365,1264000,LOW,DECREASING,0.5,56,LIMITED,0,0,0,0,0
34,TN,Nagapattinam,NGP,Nagapattinam,10.7672,79.8449,697000,WATCH,STABLE,1.2,68,MODERATE,0,0,0,0,0
35,TN,Mayiladuthurai,MYD,Mayiladuthurai,11.1075,79.6522,918000,LOW,STABLE,0.6,58,LIMITED,0,0,0,0,0
36,TN,Ranipet,RNP,Ranipet,12.9272,79.333,1210000,WATCH,MODERATE_INCREASE,1.6,72,ADEQUATE,0,0,0,0,0
37,TN,Tirupathur,TPR_N,Tirupathur,12.4926,78.5678,1111000,WATCH,STABLE,1.2,67,MODERATE,0,0,0,0,0
38,TN,Tiruvannamalai,TVM,Tiruvannamalai,12.2253,79.0747,2464000,WATCH,STABLE,1.1,70,ADEQUATE,0,0,0,0,0
