health_record_id,reporting_period,district_id,district_name,facility_type,aggregate_signal_type,primary_category,aggregate_patient_count,confidence_score
HR-2026-00011,2026-01-02 10:49:09,21,Kallakurichi,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,7,76
HR-2026-00012,2024-09-19 14:30:27,1,Chennai,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,12,70
HR-2026-00013,2025-04-05 23:38:32,13,Thoothukudi,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,4,84
HR-2026-00014,2024-12-01 16:53:49,1,Chennai,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,3,82
HR-2026-00015,2025-02-26 11:40:39,15,Tenkasi,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,COMMERCIAL_GANJA,8,82
HR-2026-00016,2024-09-25 11:00:51,29,Sivaganga,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,COMMERCIAL_GANJA,11,76
HR-2026-00017,2025-07-09 03:23:10,22,Dharmapuri,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,15,94
HR-2026-00018,2025-12-08 05:47:01,32,Theni,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,OPIOID_ANALOGUES,15,89
HR-2026-00019,2026-02-10 01:15:15,29,Sivaganga,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,PRESCRIPTION_NARCOTICS,4,73
HR-2026-00020,2026-07-29 07:05:54,9,Vellore,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,1,85
HR-2026-00021,2025-11-28 17:35:56,13,Thoothukudi,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,11,80
HR-2026-00022,2025-09-21 12:49:25,27,Perambalur,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,6,73
HR-2026-00023,2025-03-19 06:44:16,26,Ariyalur,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,14,78
HR-2026-00024,2026-04-07 20:30:48,38,Tiruvannamalai,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,6,76
HR-2026-00025,2024-10-21 09:22:19,34,Nagapattinam,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,10,88
HR-2026-00026,2026-05-20 16:38:08,31,Virudhunagar,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,10,82
HR-2026-00027,2025-01-25 17:36:02,21,Kallakurichi,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,14,71
HR-2026-00028,2025-01-26 20:24:33,16,Kancheepuram,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,12,83
HR-2026-00029,2026-08-08 18:13:59,10,Krishnagiri,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,2,76
HR-2026-00030,2025-04-29 10:03:53,27,Perambalur,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,10,71
HR-2026-00031,2025-05-06 23:02:45,11,Dindigul,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,OPIOID_ANALOGUES,1,87
HR-2026-00032,2025-10-27 15:08:40,31,Virudhunagar,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,13,70
HR-2026-00033,2025-09-05 05:36:49,35,Mayiladuthurai,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,3,90
HR-2026-00034,2025-11-08 06:19:26,21,Kallakurichi,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,8,76
HR-2026-00035,2025-04-04 06:50:43,3,Madurai,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,PRESCRIPTION_NARCOTICS,14,77
HR-2026-00036,2026-05-14 15:28:35,9,Vellore,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,15,83
HR-2026-00037,2025-05-19 10:45:29,16,Kancheepuram,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,PRESCRIPTION_NARCOTICS,4,89
HR-2026-00038,2026-06-30 15:02:00,29,Sivaganga,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,11,90
HR-2026-00039,2025-03-11 20:52:14,12,Thanjavur,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,2,84
HR-2026-00040,2025-12-06 14:45:44,21,Kallakurichi,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,COMMERCIAL_GANJA,1,93
HR-2026-00041,2024-09-19 04:19:46,15,Tenkasi,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,7,93
HR-2026-00042,2025-07-07 07:48:11,15,Tenkasi,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,3,85
HR-2026-00043,2025-11-26 11:11:00,12,Thanjavur,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,2,70
HR-2026-00044,2026-08-16 03:59:49,4,Salem,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,OPIOID_ANALOGUES,5,72
HR-2026-00045,2025-07-26 04:58:51,31,Virudhunagar,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,SYNTHETIC_MDMA,1,77
HR-2026-00046,2025-06-25 23:45:01,21,Kallakurichi,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,5,77
HR-2026-00047,2025-11-29 22:40:18,10,Krishnagiri,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,2,87
HR-2026-00048,2024-11-04 12:43:47,4,Salem,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,7,93
HR-2026-00049,2025-07-27 10:03:05,37,Tirupathur,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,OPIOID_ANALOGUES,9,88
HR-2026-00050,2024-10-22 23:16:01,26,Ariyalur,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,9,84
HR-2026-00051,2026-07-30 07:08:29,4,Salem,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,14,71
HR-2026-00052,2024-10-12 22:58:07,18,Tiruvallur,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,6,73
HR-2026-00053,2024-09-24 08:33:36,18,Tiruvallur,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,2,85
HR-2026-00054,2025-04-18 03:58:19,10,Krishnagiri,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,5,75
HR-2026-00055,2026-03-13 20:47:39,18,Tiruvallur,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,10,77
HR-2026-00056,2024-12-10 02:20:47,24,Nilgiris,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,15,86
HR-2026-00057,2025-08-07 02:36:09,1,Chennai,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,9,81
HR-2026-00058,2024-10-19 19:15:33,12,Thanjavur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,14,94
HR-2026-00059,2024-11-27 16:10:17,10,Krishnagiri,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,6,92
HR-2026-00060,2025-11-24 21:12:09,12,Thanjavur,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,10,73
HR-2026-00061,2025-08-30 19:57:15,3,Madurai,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,SYNTHETIC_MDMA,12,83
HR-2026-00062,2026-07-27 19:59:06,25,Karur,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,4,94
HR-2026-00063,2024-11-04 10:38:20,31,Virudhunagar,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,12,82
HR-2026-00064,2024-12-17 05:38:13,9,Vellore,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,13,84
HR-2026-00065,2025-09-06 10:47:06,25,Karur,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,6,82
HR-2026-00066,2026-06-08 02:13:14,17,Chengalpattu,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,15,92
HR-2026-00067,2025-04-03 09:35:21,37,Tirupathur,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,5,87
HR-2026-00068,2025-11-08 03:56:24,6,Tirunelveli,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,4,86
HR-2026-00069,2025-06-01 14:16:55,12,Thanjavur,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,8,84
HR-2026-00070,2026-08-10 22:37:57,26,Ariyalur,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,COMMERCIAL_GANJA,2,74
HR-2026-00071,2024-09-30 23:44:09,1,Chennai,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,14,78
HR-2026-00072,2025-04-24 10:46:11,3,Madurai,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,6,76
HR-2026-00073,2025-09-23 07:46:37,6,Tirunelveli,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,3,80
HR-2026-00074,2026-08-08 22:23:37,1,Chennai,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,11,94
HR-2026-00075,2025-09-29 02:56:06,35,Mayiladuthurai,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,13,93
HR-2026-00076,2026-06-12 00:32:56,21,Kallakurichi,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,UNKNOWN_CONTRABAND,2,77
HR-2026-00077,2024-12-10 20:51:20,1,Chennai,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,SYNTHETIC_MDMA,9,72
HR-2026-00078,2024-11-21 17:36:42,25,Karur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,13,72
HR-2026-00079,2025-02-15 17:58:54,2,Coimbatore,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,1,73
HR-2026-00080,2025-10-14 00:09:20,23,Namakkal,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,COMMERCIAL_GANJA,8,84
HR-2026-00081,2025-04-12 23:31:05,34,Nagapattinam,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,11,80
HR-2026-00082,2026-03-23 01:23:57,13,Thoothukudi,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,15,73
HR-2026-00083,2024-12-27 12:35:48,15,Tenkasi,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,12,77
HR-2026-00084,2025-04-21 02:01:51,2,Coimbatore,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,4,80
HR-2026-00085,2026-05-30 16:01:11,28,Pudukkottai,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,PRESCRIPTION_NARCOTICS,14,93
HR-2026-00086,2025-05-26 11:07:54,21,Kallakurichi,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,14,80
HR-2026-00087,2025-12-01 01:40:32,10,Krishnagiri,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,14,92
HR-2026-00088,2026-03-17 14:56:51,26,Ariyalur,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,PRESCRIPTION_NARCOTICS,9,73
HR-2026-00089,2026-07-02 17:13:40,23,Namakkal,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,13,85
HR-2026-00090,2026-04-01 13:27:52,11,Dindigul,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,6,72
HR-2026-00091,2024-10-01 20:06:46,18,Tiruvallur,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,COMMERCIAL_GANJA,6,87
HR-2026-00092,2025-07-19 03:24:01,24,Nilgiris,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,5,81
HR-2026-00093,2024-11-14 20:45:05,21,Kallakurichi,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,8,81
HR-2026-00094,2026-02-14 05:20:00,9,Vellore,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,OPIOID_ANALOGUES,14,76
HR-2026-00095,2026-05-07 06:43:01,29,Sivaganga,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,OPIOID_ANALOGUES,6,91
HR-2026-00096,2025-11-26 10:52:23,23,Namakkal,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,12,90
HR-2026-00097,2025-02-12 14:46:00,37,Tirupathur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,15,79
HR-2026-00098,2024-11-22 19:25:24,26,Ariyalur,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,1,88
HR-2026-00099,2024-11-23 04:27:54,2,Coimbatore,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,14,76
HR-2026-00100,2025-07-07 06:50:43,18,Tiruvallur,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,1,87
HR-2026-00101,2026-05-26 06:22:07,5,Tiruchirappalli,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,10,93
HR-2026-00102,2026-07-23 07:38:17,28,Pudukkottai,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,6,72
HR-2026-00103,2026-01-29 06:11:47,34,Nagapattinam,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,9,76
HR-2026-00104,2025-11-01 05:11:48,9,Vellore,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,PRESCRIPTION_NARCOTICS,15,94
HR-2026-00105,2025-01-25 01:06:14,15,Tenkasi,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,13,79
HR-2026-00106,2026-05-06 22:39:34,8,Erode,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,10,91
HR-2026-00107,2025-04-03 17:27:24,3,Madurai,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,1,77
HR-2026-00108,2024-10-20 22:56:41,24,Nilgiris,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,8,86
HR-2026-00109,2025-03-05 11:23:14,19,Cuddalore,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,UNKNOWN_CONTRABAND,7,86
HR-2026-00110,2026-07-05 14:56:23,20,Viluppuram,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,7,78
HR-2026-00111,2025-11-04 08:02:17,36,Ranipet,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,13,86
HR-2026-00112,2026-07-17 16:05:25,33,Thiruvarur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,7,78
HR-2026-00113,2025-05-17 18:21:24,21,Kallakurichi,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,COMMERCIAL_GANJA,7,75
HR-2026-00114,2025-05-03 05:21:27,20,Viluppuram,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,OPIOID_ANALOGUES,2,94
HR-2026-00115,2025-12-04 05:16:04,19,Cuddalore,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,OPIOID_ANALOGUES,9,80
HR-2026-00116,2026-02-22 10:33:47,26,Ariyalur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,9,91
HR-2026-00117,2025-07-16 00:33:36,19,Cuddalore,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,SYNTHETIC_MDMA,13,80
HR-2026-00118,2024-10-13 18:07:51,35,Mayiladuthurai,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,9,75
HR-2026-00119,2025-09-28 15:59:55,19,Cuddalore,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,COMMERCIAL_GANJA,7,86
HR-2026-00120,2025-08-26 20:51:37,11,Dindigul,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,COMMERCIAL_GANJA,4,75
HR-2026-00121,2025-08-04 00:58:28,37,Tirupathur,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,2,77
HR-2026-00122,2026-05-24 21:25:03,16,Kancheepuram,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,4,93
HR-2026-00123,2025-01-22 08:07:51,14,Kanniyakumari,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,3,83
HR-2026-00124,2026-03-15 13:10:19,6,Tirunelveli,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,UNKNOWN_CONTRABAND,3,92
HR-2026-00125,2025-10-09 05:58:58,30,Ramanathapuram,DISTRICT_HQ_HOSPITAL,OUTPATIENT_SUBSTANCE_CONSULT,SYNTHETIC_MDMA,1,74
HR-2026-00126,2025-07-05 16:39:48,5,Tiruchirappalli,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,COMMERCIAL_GANJA,4,90
HR-2026-00127,2024-11-10 20:33:21,16,Kancheepuram,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,11,88
HR-2026-00128,2025-03-02 12:17:16,31,Virudhunagar,LICENSED_DE_ADDICTION_NGO,OUTPATIENT_SUBSTANCE_CONSULT,CHEMICAL_PRECURSORS,3,94
HR-2026-00129,2025-06-12 13:36:08,28,Pudukkottai,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,15,70
HR-2026-00130,2026-06-07 07:17:35,38,Tiruvannamalai,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,9,88
HR-2026-00131,2026-03-30 21:17:01,28,Pudukkottai,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,7,93
HR-2026-00132,2024-11-19 09:39:08,10,Krishnagiri,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,UNKNOWN_CONTRABAND,14,76
HR-2026-00133,2025-08-14 02:24:51,9,Vellore,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,SYNTHETIC_MDMA,11,87
HR-2026-00134,2025-09-09 04:22:23,34,Nagapattinam,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,14,80
HR-2026-00135,2025-04-07 14:06:37,21,Kallakurichi,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,1,91
HR-2026-00136,2026-08-16 15:54:39,14,Kanniyakumari,LICENSED_DE_ADDICTION_NGO,WITHDRAWAL_ADMISSION,UNKNOWN_CONTRABAND,3,83
HR-2026-00137,2025-08-16 10:40:59,27,Perambalur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,9,81
HR-2026-00138,2025-07-13 02:26:43,37,Tirupathur,DISTRICT_HQ_HOSPITAL,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,6,82
HR-2026-00139,2025-03-13 13:36:57,38,Tiruvannamalai,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,OPIOID_ANALOGUES,10,79
HR-2026-00140,2025-04-19 16:28:33,19,Cuddalore,GOVT_MEDICAL_COLLEGE_PSYCH,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,1,79
HR-2026-00141,2025-09-06 02:51:59,17,Chengalpattu,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,SYNTHETIC_MDMA,12,93
HR-2026-00142,2025-09-26 10:15:43,24,Nilgiris,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,7,78
HR-2026-00143,2025-03-09 03:57:16,11,Dindigul,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,OPIOID_ANALOGUES,5,85
HR-2026-00144,2025-06-12 12:22:34,12,Thanjavur,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,PRESCRIPTION_NARCOTICS,8,70
HR-2026-00145,2025-11-29 00:17:16,20,Viluppuram,DISTRICT_HQ_HOSPITAL,WITHDRAWAL_ADMISSION,CHEMICAL_PRECURSORS,15,72
HR-2026-00146,2026-05-31 06:17:17,9,Vellore,GOVT_MEDICAL_COLLEGE_PSYCH,OUTPATIENT_SUBSTANCE_CONSULT,UNKNOWN_CONTRABAND,5,83
HR-2026-00147,2025-06-06 13:31:29,30,Ramanathapuram,GOVT_MEDICAL_COLLEGE_PSYCH,TOXICOLOGY_SCREEN_AGGREGATE,UNKNOWN_CONTRABAND,2,71
HR-2026-00148,2025-03-03 15:29:09,26,Ariyalur,LICENSED_DE_ADDICTION_NGO,TOXICOLOGY_SCREEN_AGGREGATE,CHEMICAL_PRECURSORS,9,74
