eval_id,district_id,district_name,evaluation_timestamp,precision_rate,recall_rate,f1_score,false_alarm_rate,concept_drift_status,model_version
EVAL-00020,2,Coimbatore,2025-12-26 21:51:27,0.860,0.902,0.926,0.058,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00021,34,Nagapattinam,2026-01-23 17:22:59,0.870,0.883,0.845,0.061,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00022,18,Tiruvallur,2024-12-07 23:52:56,0.924,0.836,0.834,0.042,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00023,11,Dindigul,2025-01-24 19:03:46,0.935,0.935,0.932,0.068,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00024,38,Tiruvannamalai,2025-08-05 17:21:03,0.860,0.820,0.832,0.096,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00025,7,Tiruppur,2025-09-03 14:53:14,0.828,0.852,0.893,0.043,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00026,3,Madurai,2026-01-02 07:20:24,0.860,0.819,0.907,0.099,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00027,35,Mayiladuthurai,2025-05-26 19:53:46,0.881,0.873,0.943,0.100,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00028,15,Tenkasi,2025-05-25 16:52:59,0.850,0.871,0.902,0.098,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00029,26,Ariyalur,2025-02-04 07:50:39,0.842,0.882,0.877,0.096,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00030,3,Madurai,2026-07-21 22:37:57,0.931,0.863,0.948,0.064,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00031,18,Tiruvallur,2025-10-28 01:55:15,0.831,0.859,0.852,0.056,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00032,27,Perambalur,2025-04-09 18:25:19,0.960,0.837,0.856,0.062,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00033,34,Nagapattinam,2025-11-10 22:53:35,0.876,0.886,0.946,0.058,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00034,34,Nagapattinam,2025-01-30 16:20:38,0.936,0.879,0.905,0.077,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00035,10,Krishnagiri,2026-05-13 03:25:09,0.899,0.853,0.826,0.045,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00036,32,Theni,2024-11-16 10:10:42,0.834,0.803,0.885,0.062,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00037,15,Tenkasi,2025-06-26 00:22:22,0.945,0.859,0.926,0.074,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00038,34,Nagapattinam,2024-10-08 20:42:47,0.865,0.914,0.915,0.085,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00039,17,Chengalpattu,2026-06-12 08:23:24,0.867,0.925,0.918,0.092,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00040,7,Tiruppur,2026-07-27 06:22:42,0.842,0.844,0.915,0.092,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00041,21,Kallakurichi,2025-06-20 19:48:07,0.829,0.915,0.914,0.082,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00042,30,Ramanathapuram,2025-04-30 06:08:26,0.903,0.930,0.895,0.053,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00043,10,Krishnagiri,2025-03-08 06:36:37,0.839,0.868,0.846,0.084,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00044,1,Chennai,2025-08-02 20:52:05,0.858,0.872,0.933,0.095,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00045,8,Erode,2026-08-12 08:28:00,0.875,0.904,0.852,0.074,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00046,11,Dindigul,2025-02-26 12:00:19,0.835,0.847,0.916,0.067,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00047,17,Chengalpattu,2026-04-07 12:15:07,0.851,0.816,0.859,0.085,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00048,10,Krishnagiri,2025-03-05 16:19:50,0.893,0.863,0.843,0.050,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00049,20,Viluppuram,2026-01-17 12:38:52,0.821,0.916,0.907,0.052,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00050,22,Dharmapuri,2025-12-28 14:09:22,0.915,0.863,0.876,0.068,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00051,27,Perambalur,2025-11-17 06:28:20,0.900,0.907,0.845,0.077,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00052,30,Ramanathapuram,2024-12-28 14:51:20,0.942,0.807,0.826,0.090,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00053,26,Ariyalur,2024-11-28 20:21:13,0.863,0.880,0.896,0.099,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00054,31,Virudhunagar,2025-02-09 06:08:53,0.834,0.856,0.852,0.075,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00055,2,Coimbatore,2025-02-28 21:20:08,0.956,0.802,0.893,0.054,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00056,28,Pudukkottai,2026-05-02 16:42:01,0.938,0.896,0.888,0.081,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00057,1,Chennai,2026-02-19 14:30:08,0.825,0.894,0.938,0.067,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00058,25,Karur,2025-10-08 22:32:00,0.871,0.820,0.903,0.044,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00059,20,Viluppuram,2026-02-19 04:27:23,0.946,0.891,0.881,0.044,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00060,37,Tirupathur,2025-03-11 19:59:05,0.958,0.889,0.843,0.073,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00061,30,Ramanathapuram,2025-01-15 11:38:19,0.893,0.867,0.887,0.046,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00062,23,Namakkal,2025-06-12 15:13:05,0.822,0.816,0.887,0.055,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00063,10,Krishnagiri,2025-09-26 09:50:13,0.841,0.800,0.936,0.059,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00064,9,Vellore,2026-06-03 18:17:03,0.931,0.911,0.855,0.099,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00065,13,Thoothukudi,2025-06-15 14:02:32,0.856,0.802,0.830,0.082,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00066,16,Kancheepuram,2025-07-25 11:40:03,0.957,0.919,0.851,0.070,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00067,28,Pudukkottai,2026-02-07 15:12:34,0.951,0.871,0.904,0.060,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00068,35,Mayiladuthurai,2024-10-21 11:42:17,0.941,0.889,0.835,0.062,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00069,17,Chengalpattu,2026-04-27 04:44:16,0.848,0.876,0.939,0.047,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00070,25,Karur,2025-10-07 04:58:42,0.836,0.913,0.815,0.054,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00071,27,Perambalur,2024-11-01 03:30:24,0.946,0.900,0.819,0.064,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00072,17,Chengalpattu,2025-01-03 09:02:37,0.908,0.923,0.949,0.082,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00073,37,Tirupathur,2025-10-23 19:13:00,0.949,0.840,0.815,0.081,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00074,36,Ranipet,2024-12-02 18:21:16,0.874,0.922,0.813,0.087,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00075,25,Karur,2024-11-05 20:15:12,0.839,0.828,0.882,0.071,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00076,3,Madurai,2026-07-18 14:38:20,0.904,0.929,0.832,0.082,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00077,38,Tiruvannamalai,2024-12-12 16:02:57,0.861,0.914,0.925,0.044,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00078,33,Thiruvarur,2025-11-05 17:14:26,0.938,0.906,0.910,0.088,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00079,36,Ranipet,2025-06-21 16:44:30,0.827,0.926,0.824,0.077,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00080,31,Virudhunagar,2025-01-19 15:49:23,0.859,0.813,0.879,0.052,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00081,37,Tirupathur,2025-04-12 10:22:35,0.952,0.922,0.853,0.079,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00082,24,Nilgiris,2025-08-05 03:54:12,0.937,0.805,0.825,0.052,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00083,30,Ramanathapuram,2026-04-08 11:08:04,0.954,0.931,0.915,0.091,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00084,22,Dharmapuri,2025-12-26 03:54:07,0.863,0.915,0.944,0.089,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00085,14,Kanniyakumari,2026-03-16 15:57:17,0.886,0.835,0.924,0.074,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00086,28,Pudukkottai,2026-05-17 02:29:45,0.935,0.894,0.871,0.052,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00087,7,Tiruppur,2024-09-20 15:04:59,0.851,0.852,0.851,0.090,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00088,9,Vellore,2025-07-14 17:07:13,0.942,0.842,0.864,0.065,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00089,22,Dharmapuri,2026-07-11 21:00:10,0.825,0.847,0.820,0.088,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00090,16,Kancheepuram,2026-06-12 00:55:24,0.849,0.855,0.912,0.093,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00091,21,Kallakurichi,2025-11-14 08:14:47,0.881,0.865,0.849,0.058,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00092,29,Sivaganga,2025-05-14 06:17:44,0.897,0.878,0.920,0.097,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00093,17,Chengalpattu,2025-06-24 15:52:53,0.912,0.921,0.890,0.068,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00094,4,Salem,2026-04-28 19:10:29,0.939,0.812,0.855,0.091,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00095,2,Coimbatore,2026-01-21 20:54:40,0.822,0.919,0.878,0.093,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00096,33,Thiruvarur,2025-04-01 05:13:22,0.881,0.825,0.944,0.097,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00097,37,Tirupathur,2025-08-12 00:24:32,0.953,0.866,0.813,0.091,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00098,24,Nilgiris,2025-11-06 05:58:01,0.887,0.855,0.813,0.097,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00099,8,Erode,2025-05-15 16:05:50,0.931,0.815,0.898,0.069,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00100,28,Pudukkottai,2025-01-15 00:16:25,0.894,0.813,0.884,0.055,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00101,7,Tiruppur,2026-02-14 20:15:37,0.936,0.907,0.884,0.041,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00102,20,Viluppuram,2025-10-22 21:17:30,0.958,0.853,0.812,0.098,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00103,15,Tenkasi,2025-02-26 05:12:33,0.952,0.941,0.820,0.054,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00104,38,Tiruvannamalai,2025-11-15 22:57:34,0.852,0.907,0.914,0.058,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00105,5,Tiruchirappalli,2025-10-07 18:39:27,0.878,0.827,0.849,0.054,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00106,2,Coimbatore,2026-02-18 06:54:56,0.838,0.908,0.828,0.075,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00107,37,Tirupathur,2024-10-31 02:06:53,0.863,0.872,0.917,0.050,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00108,26,Ariyalur,2025-01-18 14:04:09,0.843,0.927,0.833,0.059,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00109,15,Tenkasi,2026-05-15 21:00:59,0.902,0.831,0.928,0.056,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00110,1,Chennai,2025-11-05 22:16:10,0.931,0.811,0.830,0.084,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00111,6,Tirunelveli,2026-01-25 17:35:11,0.955,0.856,0.903,0.100,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00112,29,Sivaganga,2026-04-06 13:11:20,0.884,0.897,0.917,0.062,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00113,11,Dindigul,2026-08-08 19:03:44,0.856,0.868,0.846,0.094,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00114,1,Chennai,2026-05-23 23:16:20,0.932,0.872,0.928,0.044,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00115,7,Tiruppur,2026-08-11 14:46:30,0.880,0.802,0.886,0.096,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00116,20,Viluppuram,2026-01-21 14:43:18,0.928,0.874,0.837,0.082,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00117,28,Pudukkottai,2024-10-18 16:25:39,0.937,0.921,0.877,0.051,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00118,32,Theni,2025-10-24 19:47:17,0.904,0.938,0.913,0.090,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00119,4,Salem,2025-12-07 03:39:05,0.835,0.908,0.833,0.056,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00120,37,Tirupathur,2026-03-29 18:39:50,0.854,0.913,0.877,0.049,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00121,7,Tiruppur,2025-08-14 04:06:24,0.948,0.873,0.832,0.058,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00122,15,Tenkasi,2025-06-03 20:43:10,0.919,0.847,0.886,0.086,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00123,19,Cuddalore,2024-09-28 16:38:05,0.918,0.821,0.863,0.060,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00124,38,Tiruvannamalai,2025-07-27 23:01:02,0.924,0.856,0.913,0.059,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00125,14,Kanniyakumari,2026-06-24 02:50:48,0.952,0.868,0.814,0.066,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00126,22,Dharmapuri,2026-01-17 11:52:04,0.912,0.918,0.923,0.088,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00127,9,Vellore,2025-02-28 09:41:13,0.839,0.877,0.889,0.084,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00128,28,Pudukkottai,2025-09-02 13:18:39,0.883,0.945,0.934,0.092,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00129,14,Kanniyakumari,2025-11-06 17:27:24,0.876,0.805,0.915,0.095,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00130,10,Krishnagiri,2025-05-20 11:22:09,0.933,0.814,0.916,0.056,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00131,37,Tirupathur,2026-06-12 15:27:20,0.855,0.880,0.936,0.056,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00132,5,Tiruchirappalli,2026-08-05 22:28:28,0.875,0.835,0.940,0.081,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00133,1,Chennai,2025-12-29 01:03:29,0.919,0.935,0.933,0.066,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00134,30,Ramanathapuram,2026-05-30 14:36:06,0.857,0.861,0.828,0.067,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00135,16,Kancheepuram,2025-01-13 13:57:44,0.855,0.871,0.867,0.069,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00136,15,Tenkasi,2026-06-15 08:40:12,0.889,0.894,0.902,0.099,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00137,10,Krishnagiri,2025-12-20 10:54:22,0.933,0.918,0.888,0.074,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00138,1,Chennai,2026-07-06 08:02:26,0.929,0.944,0.923,0.081,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00139,17,Chengalpattu,2026-05-16 15:31:45,0.886,0.843,0.903,0.072,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00140,7,Tiruppur,2025-11-30 04:52:07,0.910,0.944,0.942,0.092,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00141,32,Theni,2025-06-19 09:28:34,0.959,0.807,0.865,0.085,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00142,15,Tenkasi,2025-03-25 15:43:45,0.901,0.926,0.949,0.065,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00143,6,Tirunelveli,2025-03-26 18:07:29,0.859,0.850,0.922,0.073,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00144,4,Salem,2025-01-17 09:15:13,0.914,0.922,0.861,0.082,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00145,2,Coimbatore,2024-11-28 13:12:24,0.957,0.844,0.832,0.080,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00146,4,Salem,2025-09-07 03:40:46,0.921,0.808,0.869,0.095,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00147,32,Theni,2024-11-26 11:42:36,0.828,0.920,0.904,0.099,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00148,14,Kanniyakumari,2025-12-23 20:58:00,0.931,0.927,0.884,0.071,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00149,27,Perambalur,2025-09-19 22:03:32,0.915,0.927,0.863,0.045,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00150,7,Tiruppur,2025-12-06 15:59:17,0.836,0.875,0.836,0.074,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00151,10,Krishnagiri,2025-11-29 03:22:40,0.872,0.941,0.847,0.097,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00152,33,Thiruvarur,2024-12-07 18:36:24,0.902,0.842,0.813,0.066,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00153,30,Ramanathapuram,2026-01-05 18:15:23,0.856,0.843,0.833,0.063,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00154,1,Chennai,2025-04-05 02:21:17,0.851,0.928,0.911,0.082,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00155,36,Ranipet,2025-11-02 23:57:59,0.880,0.887,0.895,0.081,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00156,34,Nagapattinam,2024-10-28 04:42:15,0.917,0.875,0.910,0.097,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00157,6,Tirunelveli,2025-05-08 19:06:30,0.911,0.819,0.902,0.054,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00158,32,Theni,2025-06-01 06:12:50,0.951,0.900,0.947,0.078,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00159,29,Sivaganga,2026-05-20 12:32:30,0.905,0.908,0.823,0.093,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00160,7,Tiruppur,2025-09-15 02:10:44,0.835,0.943,0.855,0.045,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00161,35,Mayiladuthurai,2026-04-01 21:02:43,0.822,0.884,0.891,0.085,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00162,32,Theni,2026-01-27 10:00:13,0.908,0.835,0.823,0.099,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00163,21,Kallakurichi,2025-11-14 13:03:11,0.891,0.903,0.940,0.066,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00164,36,Ranipet,2026-05-04 02:01:13,0.942,0.941,0.940,0.089,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00165,19,Cuddalore,2026-02-03 00:17:56,0.830,0.897,0.871,0.093,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00166,32,Theni,2026-08-11 13:50:28,0.849,0.918,0.852,0.083,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00167,12,Thanjavur,2025-04-23 22:23:27,0.891,0.825,0.918,0.075,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00168,2,Coimbatore,2026-06-07 23:11:28,0.865,0.936,0.852,0.063,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00169,5,Tiruchirappalli,2026-04-20 13:50:21,0.857,0.862,0.893,0.097,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00170,23,Namakkal,2025-02-05 08:26:06,0.825,0.804,0.821,0.092,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00171,23,Namakkal,2025-06-11 03:15:14,0.935,0.807,0.862,0.072,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00172,6,Tirunelveli,2026-03-24 17:20:54,0.833,0.905,0.887,0.062,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00173,20,Viluppuram,2026-08-02 06:26:15,0.895,0.806,0.888,0.063,OPTIMAL,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00174,23,Namakkal,2024-09-30 22:13:45,0.889,0.854,0.836,0.046,CALIBRATED,NARVEX_TEMPORAL_BAYES_V2.1
EVAL-00175,19,Cuddalore,2025-10-27 17:48:18,0.958,0.864,0.827,0.094,SLIGHT_DRIFT,NARVEX_TEMPORAL_BAYES_V2.1
