provenance_id,target_record_id,source_origin_dataset,ingested_at,transformation_stage,verification_status,sha256_audit_hash
PRV-000041,SIG-TN-00041,CITIZEN_FEED,2024-10-09 23:34:18,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,43ae273053840d469fe208f69bff46ee2eb17bdbdf3911e51f7659f136c05e05
PRV-000042,SIG-TN-00042,CHECKPOST_OCR,2025-05-01 07:12:35,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,f2882c6aede7ee90fe1dc8565183e4bb25a525ef185253483ef48d134850791c
PRV-000043,SIG-TN-00043,CITIZEN_FEED,2026-06-02 22:17:50,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,388ff7f34b778b1243ec4b676f10851cd7dfdd56f7f3e0e136485a5544ce1632
PRV-000044,SIG-TN-00044,CITIZEN_FEED,2025-06-05 08:12:27,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,63ab50c3b17ce3bd64d81d671fd1b060931a9e2f6d0a4d578f03bee8b08c648e
PRV-000045,SIG-TN-00045,HEALTH_STAT,2025-11-05 00:42:27,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,76be4b62a030034e7e4f9a120fb74e781a2ef6f763a82e06fb6b3e0d86f91130
PRV-000046,SIG-TN-00046,CITIZEN_FEED,2025-03-31 11:30:56,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,5c38e8562fcee2ffa5a9436e94c09efef92b028cf087be63932bca56cb36dc8e
PRV-000047,SIG-TN-00047,POLICE_LEDGER,2026-04-25 08:12:30,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,b985a07da75c5742adda21eed06c1061dec84c6a0d9f72193be434344cb1b9c0
PRV-000048,SIG-TN-00048,HEALTH_STAT,2026-06-14 23:20:53,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,01ed56a6843ea7ae04b3c129a011a65d68e084d83349befcc0274eb894b3c001
PRV-000049,SIG-TN-00049,POLICE_LEDGER,2025-11-02 17:52:53,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cdda64e0c112ef37a82fab85fc845da2b077f3f3181dd87cc853cfa603417c15
PRV-000050,SIG-TN-00050,POLICE_LEDGER,2025-03-07 01:35:00,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,0afff4dcaad442367d2d577b4cfee0f3003bdc1ede58f21139e7117e325bdd83
PRV-000051,SIG-TN-00051,HEALTH_STAT,2026-05-26 17:09:40,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,0a16bf39665857e25ad89470c5b7a60bb10297c2a9c7b03850cae2913727e616
PRV-000052,SIG-TN-00052,HEALTH_STAT,2025-11-21 03:07:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7dc27b805b6cf36f0b7f3833399e1e182dcd15553cce5f5da18f040bcd95c9df
PRV-000053,SIG-TN-00053,HEALTH_STAT,2025-02-28 07:20:05,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,2e5e889713ed7c2cbca337e407171228e2788a39526cc78730f0a70fe62c0239
PRV-000054,SIG-TN-00054,CHECKPOST_OCR,2026-06-22 12:49:16,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,5930105ee276577bc2fa1bb9c6f9737ceb991304a46f3de76ba82d9cbbfcc370
PRV-000055,SIG-TN-00055,CHECKPOST_OCR,2025-09-21 11:40:23,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,17f31ff025e2f3cf64d96b0684d465f4410c3ad5298685afba5cf89c538b9ef1
PRV-000056,SIG-TN-00056,CHECKPOST_OCR,2026-05-24 10:00:56,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,50e000833e9da45ca28eea9d6442bc32706454870ac26eefc6cf7e32ff80e2e0
PRV-000057,SIG-TN-00057,HEALTH_STAT,2025-08-04 14:32:28,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,338ead59c3ef5d3d7d312fddc0ce11f683490d9581cb78009156430d268660aa
PRV-000058,SIG-TN-00058,POLICE_LEDGER,2026-08-08 12:39:58,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,27090e7a56e7eec426590efea48fe4a718321cdfdfbb0e1fc7ac12a4054b9d4d
PRV-000059,SIG-TN-00059,CITIZEN_FEED,2024-11-16 15:24:56,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,b658ca856d4b0075ae6ee967b755c226d21f7eb4af07afea398b05474b309d89
PRV-000060,SIG-TN-00060,CITIZEN_FEED,2025-09-13 10:09:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7424edaf2f128099c507ead21044b755d0133370b60c43d833ab30d39f004d18
PRV-000061,SIG-TN-00061,HEALTH_STAT,2025-04-25 12:12:22,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,a2094bfa5490beb2f445071bb25d9d1eb838fb10ccad4f458efb3704703895bd
PRV-000062,SIG-TN-00062,CITIZEN_FEED,2025-08-08 11:45:06,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,05f6b8c57ec44af84695fa148a8f87e41a4e93b16628206683c3777a371577be
PRV-000063,SIG-TN-00063,POLICE_LEDGER,2025-11-26 02:39:06,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3b00e6a4747729ef84529400c8c335a0bceca1985cfb9c3af0aaa9810884d7e3
PRV-000064,SIG-TN-00064,POLICE_LEDGER,2026-08-12 20:10:52,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,b7a3b78e78962299cee2d9c99237d8c1016073e2d2982a9ed86f4f43304d4cf5
PRV-000065,SIG-TN-00065,HEALTH_STAT,2025-12-29 16:48:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,b94454f4e0e20053f55ac0b2ce03a265c26ab46c7434c20b5746e771d6f4cf77
PRV-000066,SIG-TN-00066,HEALTH_STAT,2025-09-08 04:32:17,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,20e66b82deb5db52b29dd5aebf28b526dbebf2ac805cebd5b9875466a05b4bb5
PRV-000067,SIG-TN-00067,HEALTH_STAT,2026-04-01 03:27:07,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,809d26210855b758e6e3fef8b1806c702ed057a720b8d55c66fb183b1a797ddf
PRV-000068,SIG-TN-00068,HEALTH_STAT,2025-04-07 04:19:42,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,564c7e02acc99066d86c320451f0877d3bf74bdeae0dbb7c97f2f9b6196393ab
PRV-000069,SIG-TN-00069,CHECKPOST_OCR,2025-12-13 18:51:37,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,91cefc9dc1b9af40296c256e1a30cfe6643090bc3d84c1077d2a965b1b9963a4
PRV-000070,SIG-TN-00070,HEALTH_STAT,2025-04-11 15:31:02,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cb14a305533fc0a5df248a1e33b42ca452fdb41406fca2d2519942405f9af64e
PRV-000071,SIG-TN-00071,CHECKPOST_OCR,2025-02-22 18:32:51,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,e1f5beb303e874f2cea6ec31ee680d65819617736d091a8e5c4b205ef2db8845
PRV-000072,SIG-TN-00072,HEALTH_STAT,2026-03-21 00:04:38,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7380ca3ac28f9288146aeb1aa9c3edbe186b32e828f1375d4fb3cb2ebca1c1c6
PRV-000073,SIG-TN-00073,CHECKPOST_OCR,2026-08-08 15:02:20,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,77aa4950af04f89b42a6bcb69f45cd79eb3a0a898bdec5a3725e0ee9dd0e3bce
PRV-000074,SIG-TN-00074,HEALTH_STAT,2025-04-17 23:01:03,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,ae8ae6e59f05e95c8c20854bc50ccbbe7c9b5418205f2f599a7c00cf81ab372f
PRV-000075,SIG-TN-00075,CITIZEN_FEED,2024-11-27 07:04:10,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,32e82b9de58d8a32500de434d445674d088c39ae165f047f759fc3065b40bcb5
PRV-000076,SIG-TN-00076,CHECKPOST_OCR,2026-03-17 20:27:55,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,42b3403109d1696a63a4f77e7cd64234bcc9957e895bfcafc5ff9ceb54b37346
PRV-000077,SIG-TN-00077,HEALTH_STAT,2025-02-26 23:16:53,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,13c1efc581ba688597257fa467553d37d117ae61b0a8f20bd30da41d1e4cd5ea
PRV-000078,SIG-TN-00078,POLICE_LEDGER,2026-01-20 02:42:38,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,2ffcbd681399da6acb20716b4ad2bf0aca8613c88eebc49d97d302588bd3eade
PRV-000079,SIG-TN-00079,POLICE_LEDGER,2025-11-25 18:38:59,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,c6e23a08c34646aaf8fdba96cba7cff3ec4ea247dc37aeecb276e50a4839c39d
PRV-000080,SIG-TN-00080,CHECKPOST_OCR,2025-11-10 17:03:23,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,84931322093b66226f0d91748943d179b2ae0cdce505fcab2fc4813ea5c8b211
PRV-000081,SIG-TN-00081,CHECKPOST_OCR,2024-11-11 06:11:17,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,831c22aff3d2e84eaf4e7c1d02c401ee4ef4fc70dc815cc318d5104257a9fae1
PRV-000082,SIG-TN-00082,CITIZEN_FEED,2025-10-08 13:26:43,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1481dcb2422bef879ab1254575b9e0894248cc9a42d46276249c3b20c5d1f52d
PRV-000083,SIG-TN-00083,CITIZEN_FEED,2024-10-08 18:51:04,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,de74e1867cabc9f597014878ea926c9ed6ad59d9707cbf89b88adbecca6e890c
PRV-000084,SIG-TN-00084,POLICE_LEDGER,2025-12-24 21:54:44,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,309a5257773fa003d8b16f7de7f514f20412122688c2d1476628b7fdc3d698f0
PRV-000085,SIG-TN-00085,CITIZEN_FEED,2025-06-01 06:34:02,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,9a76f969bb11a7fbcb1fef59b249ab4ef100cf5006a72682d91012f286a43b6c
PRV-000086,SIG-TN-00086,HEALTH_STAT,2024-10-02 13:28:01,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,da604b4965158672b2fd82aaa6627a1cdb65cd54259cebbcb234452a3e517eb6
PRV-000087,SIG-TN-00087,POLICE_LEDGER,2025-08-19 07:38:51,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,03d075cf049a42a3fc4b28f690141b0eba785b1256f423e8accb46fe676a228f
PRV-000088,SIG-TN-00088,HEALTH_STAT,2026-06-22 23:58:36,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,52027dbd7537d3fa205702b4fd9ac5e9c0eb0b8d6f9c8adaca7a2944d40307cc
PRV-000089,SIG-TN-00089,CHECKPOST_OCR,2025-09-21 13:15:08,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,67938f774ce7260e230edad2f7238a2cb4c63a8b7e86db027016062cc6a0dbfd
PRV-000090,SIG-TN-00090,CITIZEN_FEED,2025-07-01 09:41:16,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,b8a63636e61c7bf5d35c0b373c76c0f4331dcf10bb2f534de42b6ffc315979f3
PRV-000091,SIG-TN-00091,POLICE_LEDGER,2026-01-25 02:17:20,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,4e211dc36e8763a727c8d3faedd09404e5df100a3ac375a9fc623f92bfba18d5
PRV-000092,SIG-TN-00092,CHECKPOST_OCR,2025-10-03 18:09:42,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d44a920466341fb71dd8632ada967db8fed4665b5d2b3743924ea1fcb2fd4fd4
PRV-000093,SIG-TN-00093,CITIZEN_FEED,2025-01-08 21:58:50,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,529085e3bbfd90f76916f547acd3e2dcb7c52d3305ac891a369b765e426f3a58
PRV-000094,SIG-TN-00094,CHECKPOST_OCR,2026-01-08 21:41:11,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,f48dcd27c904071712e940503a5c8fd689f583b205309f4f3d8ac2e509f66506
PRV-000095,SIG-TN-00095,HEALTH_STAT,2024-11-26 12:40:59,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,163e5405efcc092813a6574aa5e595e8409439e00fae3d40236a0c63af5d22e4
PRV-000096,SIG-TN-00096,CITIZEN_FEED,2025-04-11 21:17:01,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3dc0a7798b68d3ea8a225534dfdb50ddda9a7690be2ab5144fb40e2f8ea402d5
PRV-000097,SIG-TN-00097,POLICE_LEDGER,2026-02-23 15:55:54,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,a4982ccdf4cf456f7663a5e008307ebb5a13389ad61fefc7dac04ac54b08b488
PRV-000098,SIG-TN-00098,CHECKPOST_OCR,2025-09-27 20:46:56,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,d4ec60c6e27c85a299e7d72387a8951963a7280e3a9e768518133eea781dc1ad
PRV-000099,SIG-TN-00099,CHECKPOST_OCR,2026-07-28 17:42:14,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,94e36cc23c886a9626f36ca55d316c7c5cc90609fac2b7cd79b8e93a90f9c106
PRV-000100,SIG-TN-00100,CHECKPOST_OCR,2026-01-07 22:48:26,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,c91d0f605c5233bcebb12a8d7b77c6fee1ace409633dec118bea770af0c132a6
PRV-000101,SIG-TN-00101,POLICE_LEDGER,2025-11-11 14:41:01,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,0a67a7e89be2fa40fafed7347aafebe39cf38e6e7b7e2923818ffbbc6f4a4408
PRV-000102,SIG-TN-00102,CITIZEN_FEED,2025-01-09 16:14:34,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,7018a9f1a5d72bb51ba7abc3ada9444d5cbe681dd045a9f2a94d3297c67fadae
PRV-000103,SIG-TN-00103,HEALTH_STAT,2026-06-30 09:00:49,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,5b5cc867b8efeb3adaa40bdcd2a9a3b85a1c82f6cdccb347ca1819a5305420f2
PRV-000104,SIG-TN-00104,POLICE_LEDGER,2025-11-19 18:01:24,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,f9c10897e231864628a4acb043dddd6c89233f593fb92bd33b73c44da7fdbca0
PRV-000105,SIG-TN-00105,CITIZEN_FEED,2024-12-20 17:12:18,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1f98d20925c5af723995310153ba09834710f9b8fd17068a2c477e0b07043ae6
PRV-000106,SIG-TN-00106,HEALTH_STAT,2026-06-16 12:34:23,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,5342c90bc1e009ef30cd40db21896bc03e06c0698cdba5fd7a0fd642903999c3
PRV-000107,SIG-TN-00107,POLICE_LEDGER,2026-05-06 07:41:26,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,6835d20723a239b1995738e8d0dcb430b496fce327c66a9cf035814f0c0b7324
PRV-000108,SIG-TN-00108,POLICE_LEDGER,2026-04-26 17:30:01,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,07e4ac77bc044279b850c42b87310a0b62e46d4a3e38486a79c069ef3e980100
PRV-000109,SIG-TN-00109,CHECKPOST_OCR,2025-08-31 04:06:40,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3d147edf043903ae6f2a9bc25a5a16eadb124c47734c14e171c940d2a1117a2f
PRV-000110,SIG-TN-00110,CITIZEN_FEED,2025-10-08 11:34:12,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,3fa21e2bcddbe638e274c8bca3892beb9278b5facb607470f31ec8e3c6c3477d
PRV-000111,SIG-TN-00111,POLICE_LEDGER,2025-03-18 02:45:32,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,85e637d9669937359cfa9af923a92be0ef291da2949e1733a2465a7d54a60540
PRV-000112,SIG-TN-00112,CITIZEN_FEED,2026-04-17 20:58:19,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,9d583bc8493d953005c52ce4b06762fdc50da2e828844613bc99ab45ab598e8c
PRV-000113,SIG-TN-00113,CHECKPOST_OCR,2026-07-19 14:39:36,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,cdcce42935b0be8b51920d2a1fbf7bf42fb90cc087b8b7e864e9a0cac836e126
PRV-000114,SIG-TN-00114,HEALTH_STAT,2026-02-23 16:55:23,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,dbda5f6f1890400f4fe32e86dacbeb8f184588489a766f6045b83d1b7b268949
PRV-000115,SIG-TN-00115,HEALTH_STAT,2024-12-16 12:46:47,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,1eb42a4064381baa91046f3d56e489dd837c3d1b6458d07e4a9e853d39c309ee
PRV-000116,SIG-TN-00116,HEALTH_STAT,2025-08-26 05:46:05,PII_REDACTED_AND_NORMALIZED,VERIFIED_INTEGRITY,249f7ccc31831a2b1f445b3d593f4fa10741edd66d999aedbc735532d1fcb249
