outcome_id,ticket_id,resolved_at,operational_outcome,feedback_to_intelligence_model,outcome_confidence
OUT-2026-00045,TCK-2026-00045,2025-08-03 08:31:24,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,78
OUT-2026-00046,TCK-2026-00046,2025-07-30 22:35:50,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,82
OUT-2026-00047,TCK-2026-00047,2026-08-13 09:15:13,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00048,TCK-2026-00048,2025-11-10 04:29:10,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,78
OUT-2026-00049,TCK-2026-00049,2026-08-14 06:50:29,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,81
OUT-2026-00050,TCK-2026-00050,2025-05-25 15:09:36,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,92
OUT-2026-00051,TCK-2026-00051,2026-07-19 00:22:45,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,84
OUT-2026-00052,TCK-2026-00052,2026-05-06 09:18:26,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00053,TCK-2026-00053,2025-04-19 15:31:35,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,90
OUT-2026-00054,TCK-2026-00054,2026-07-23 12:35:40,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00055,TCK-2026-00055,2025-08-06 10:31:44,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,94
OUT-2026-00056,TCK-2026-00056,2026-07-11 04:00:37,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,95
OUT-2026-00057,TCK-2026-00057,2025-08-01 14:44:46,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00058,TCK-2026-00058,2026-06-17 00:50:49,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,88
OUT-2026-00059,TCK-2026-00059,2026-05-30 05:26:06,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,81
OUT-2026-00060,TCK-2026-00060,2026-01-25 15:50:21,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,82
OUT-2026-00061,TCK-2026-00061,2025-08-26 11:05:07,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,88
OUT-2026-00062,TCK-2026-00062,2026-04-27 17:49:30,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,87
OUT-2026-00063,TCK-2026-00063,2025-10-19 08:03:46,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,79
OUT-2026-00064,TCK-2026-00064,2025-09-14 05:12:35,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,95
OUT-2026-00065,TCK-2026-00065,2025-10-08 02:42:15,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00066,TCK-2026-00066,2026-03-21 06:33:15,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,89
OUT-2026-00067,TCK-2026-00067,2025-08-19 15:32:09,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,81
OUT-2026-00068,TCK-2026-00068,2025-12-05 00:44:09,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,96
OUT-2026-00069,TCK-2026-00069,2026-03-18 04:18:27,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00070,TCK-2026-00070,2025-06-24 09:26:07,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,96
OUT-2026-00071,TCK-2026-00071,2026-03-06 14:47:56,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,86
OUT-2026-00072,TCK-2026-00072,2025-12-30 22:37:36,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00073,TCK-2026-00073,2025-06-03 23:10:56,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00074,TCK-2026-00074,2025-07-06 20:44:54,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,86
OUT-2026-00075,TCK-2026-00075,2026-06-10 15:31:53,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,77
OUT-2026-00076,TCK-2026-00076,2026-03-07 12:38:52,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00077,TCK-2026-00077,2026-08-14 03:35:48,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,80
OUT-2026-00078,TCK-2026-00078,2025-09-22 20:22:13,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,85
OUT-2026-00079,TCK-2026-00079,2026-07-29 03:29:38,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,98
OUT-2026-00080,TCK-2026-00080,2025-11-03 19:38:26,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,93
OUT-2026-00081,TCK-2026-00081,2025-11-16 19:18:03,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,96
OUT-2026-00082,TCK-2026-00082,2025-07-06 00:17:18,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,94
OUT-2026-00083,TCK-2026-00083,2026-06-14 12:27:14,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,84
OUT-2026-00084,TCK-2026-00084,2025-04-08 17:03:36,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,97
OUT-2026-00085,TCK-2026-00085,2025-05-30 06:31:29,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00086,TCK-2026-00086,2026-03-13 03:01:04,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00087,TCK-2026-00087,2026-06-07 09:13:26,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00088,TCK-2026-00088,2025-05-13 11:02:02,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,92
OUT-2026-00089,TCK-2026-00089,2025-07-05 17:04:42,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,80
OUT-2026-00090,TCK-2026-00090,2026-02-13 08:23:48,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,89
OUT-2026-00091,TCK-2026-00091,2025-04-29 11:53:50,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,94
OUT-2026-00092,TCK-2026-00092,2026-04-22 17:43:04,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00093,TCK-2026-00093,2025-05-15 22:46:09,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,83
OUT-2026-00094,TCK-2026-00094,2025-08-28 03:39:38,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00095,TCK-2026-00095,2025-11-27 09:18:25,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,78
OUT-2026-00096,TCK-2026-00096,2025-05-31 20:02:59,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,83
OUT-2026-00097,TCK-2026-00097,2026-05-22 11:36:48,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,93
OUT-2026-00098,TCK-2026-00098,2026-07-13 18:57:14,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,76
OUT-2026-00099,TCK-2026-00099,2026-07-03 07:30:05,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,76
OUT-2026-00100,TCK-2026-00100,2026-06-05 01:18:59,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00101,TCK-2026-00101,2025-11-25 11:21:55,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,96
OUT-2026-00102,TCK-2026-00102,2026-01-01 07:15:08,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,94
OUT-2026-00103,TCK-2026-00103,2025-06-21 15:02:45,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,76
OUT-2026-00104,TCK-2026-00104,2025-09-10 18:46:33,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,78
OUT-2026-00105,TCK-2026-00105,2026-05-13 07:43:38,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,81
OUT-2026-00106,TCK-2026-00106,2026-01-05 18:52:52,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,75
OUT-2026-00107,TCK-2026-00107,2025-06-13 19:41:13,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,75
OUT-2026-00108,TCK-2026-00108,2025-09-13 04:32:18,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,75
OUT-2026-00109,TCK-2026-00109,2026-06-28 08:03:27,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,77
OUT-2026-00110,TCK-2026-00110,2025-11-11 13:03:50,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,85
OUT-2026-00111,TCK-2026-00111,2025-10-22 13:37:52,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,91
OUT-2026-00112,TCK-2026-00112,2025-11-19 18:57:22,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,94
OUT-2026-00113,TCK-2026-00113,2026-06-20 21:05:12,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,95
OUT-2026-00114,TCK-2026-00114,2026-03-08 01:07:12,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00115,TCK-2026-00115,2026-06-01 03:05:39,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00116,TCK-2026-00116,2025-11-05 00:29:14,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,79
OUT-2026-00117,TCK-2026-00117,2025-08-23 01:42:51,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,87
OUT-2026-00118,TCK-2026-00118,2025-06-10 11:42:50,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,83
OUT-2026-00119,TCK-2026-00119,2025-07-20 08:09:06,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,80
OUT-2026-00120,TCK-2026-00120,2026-04-26 02:25:33,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,82
OUT-2026-00121,TCK-2026-00121,2026-02-12 17:23:27,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,93
OUT-2026-00122,TCK-2026-00122,2026-06-20 19:15:32,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,78
OUT-2026-00123,TCK-2026-00123,2026-01-16 00:26:56,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,83
OUT-2026-00124,TCK-2026-00124,2025-04-29 10:04:24,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,96
OUT-2026-00125,TCK-2026-00125,2025-10-09 17:03:02,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,84
OUT-2026-00126,TCK-2026-00126,2026-02-06 20:56:10,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,95
OUT-2026-00127,TCK-2026-00127,2025-06-24 18:05:51,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00128,TCK-2026-00128,2026-03-18 18:34:39,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,89
OUT-2026-00129,TCK-2026-00129,2025-04-24 02:31:50,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,81
OUT-2026-00130,TCK-2026-00130,2025-12-26 15:48:45,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,82
OUT-2026-00131,TCK-2026-00131,2026-01-09 15:35:33,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,90
OUT-2026-00132,TCK-2026-00132,2025-11-01 03:55:56,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00133,TCK-2026-00133,2025-09-28 03:55:30,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,76
OUT-2026-00134,TCK-2026-00134,2026-05-05 07:55:58,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,90
OUT-2026-00135,TCK-2026-00135,2025-04-11 16:15:54,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,97
OUT-2026-00136,TCK-2026-00136,2025-09-08 11:01:18,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,96
OUT-2026-00137,TCK-2026-00137,2026-01-23 04:06:52,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,93
OUT-2026-00138,TCK-2026-00138,2025-04-11 13:00:42,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,99
OUT-2026-00139,TCK-2026-00139,2026-05-27 18:56:24,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,81
OUT-2026-00140,TCK-2026-00140,2026-05-09 22:52:06,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,97
OUT-2026-00141,TCK-2026-00141,2025-09-08 11:44:53,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,79
OUT-2026-00142,TCK-2026-00142,2025-08-18 00:41:47,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,76
OUT-2026-00143,TCK-2026-00143,2026-04-25 22:05:46,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,87
OUT-2026-00144,TCK-2026-00144,2026-06-08 21:38:47,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,84
OUT-2026-00145,TCK-2026-00145,2025-05-21 08:23:10,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,90
OUT-2026-00146,TCK-2026-00146,2026-04-15 23:11:14,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,75
OUT-2026-00147,TCK-2026-00147,2025-12-31 06:05:25,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,86
OUT-2026-00148,TCK-2026-00148,2026-03-26 11:12:53,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,78
OUT-2026-00149,TCK-2026-00149,2026-08-11 21:57:27,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00150,TCK-2026-00150,2026-04-09 08:49:42,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,85
OUT-2026-00151,TCK-2026-00151,2025-10-03 07:59:56,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,82
OUT-2026-00152,TCK-2026-00152,2026-01-25 18:55:26,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,97
OUT-2026-00153,TCK-2026-00153,2026-07-06 18:26:47,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,91
OUT-2026-00154,TCK-2026-00154,2026-02-15 19:25:46,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,76
OUT-2026-00155,TCK-2026-00155,2025-11-20 02:32:01,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,75
OUT-2026-00156,TCK-2026-00156,2025-11-20 03:45:21,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,84
OUT-2026-00157,TCK-2026-00157,2025-08-02 03:55:59,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,79
OUT-2026-00158,TCK-2026-00158,2025-05-31 03:59:01,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,78
OUT-2026-00159,TCK-2026-00159,2026-07-21 11:45:51,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,76
OUT-2026-00160,TCK-2026-00160,2025-05-19 21:55:04,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,88
OUT-2026-00161,TCK-2026-00161,2025-11-13 02:40:50,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,76
OUT-2026-00162,TCK-2026-00162,2026-03-06 13:56:29,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,87
OUT-2026-00163,TCK-2026-00163,2025-10-22 02:54:53,CIVIL_SUPPORT_REFERRED,NEW_CORRIDOR_DISCOVERED,83
OUT-2026-00164,TCK-2026-00164,2025-12-14 21:04:40,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,84
OUT-2026-00165,TCK-2026-00165,2026-07-27 09:47:59,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00166,TCK-2026-00166,2025-07-13 16:35:42,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,98
OUT-2026-00167,TCK-2026-00167,2026-06-13 07:01:54,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,97
OUT-2026-00168,TCK-2026-00168,2025-11-13 17:15:47,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,86
OUT-2026-00169,TCK-2026-00169,2025-05-16 08:53:37,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,95
OUT-2026-00170,TCK-2026-00170,2025-08-05 06:23:58,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,89
OUT-2026-00171,TCK-2026-00171,2025-09-13 02:06:51,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,79
OUT-2026-00172,TCK-2026-00172,2026-08-13 23:11:59,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,79
OUT-2026-00173,TCK-2026-00173,2026-03-06 01:40:18,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,89
OUT-2026-00174,TCK-2026-00174,2026-04-25 15:46:53,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,88
OUT-2026-00175,TCK-2026-00175,2025-05-04 20:18:32,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,79
OUT-2026-00176,TCK-2026-00176,2026-03-17 01:34:41,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,91
OUT-2026-00177,TCK-2026-00177,2025-06-11 09:32:26,SEIZURE_EXECUTED,FALSE_ALARM_REPORTED,77
OUT-2026-00178,TCK-2026-00178,2025-09-04 18:19:00,PREVENTIVE_DETERRENCE_ACHIEVED,FALSE_ALARM_REPORTED,81
OUT-2026-00179,TCK-2026-00179,2025-09-24 15:42:18,CIVIL_SUPPORT_REFERRED,FALSE_ALARM_REPORTED,95
OUT-2026-00180,TCK-2026-00180,2025-12-14 03:16:30,PREVENTIVE_DETERRENCE_ACHIEVED,MODEL_PREDICTION_VERIFIED,88
OUT-2026-00181,TCK-2026-00181,2026-01-13 03:01:58,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,91
OUT-2026-00182,TCK-2026-00182,2026-03-14 11:59:52,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,94
OUT-2026-00183,TCK-2026-00183,2025-11-02 05:12:10,UNSUBSTANTIATED_TIP,FALSE_ALARM_REPORTED,93
OUT-2026-00184,TCK-2026-00184,2025-09-04 05:19:44,UNSUBSTANTIATED_TIP,NEW_CORRIDOR_DISCOVERED,89
OUT-2026-00185,TCK-2026-00185,2026-04-08 03:56:53,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,84
OUT-2026-00186,TCK-2026-00186,2026-01-22 15:17:26,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,77
OUT-2026-00187,TCK-2026-00187,2026-05-04 21:49:34,SEIZURE_EXECUTED,NEW_CORRIDOR_DISCOVERED,96
OUT-2026-00188,TCK-2026-00188,2025-09-09 18:35:24,SEIZURE_EXECUTED,MODEL_PREDICTION_VERIFIED,86
OUT-2026-00189,TCK-2026-00189,2026-04-16 00:53:45,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,85
OUT-2026-00190,TCK-2026-00190,2026-07-03 13:39:41,CIVIL_SUPPORT_REFERRED,MODEL_PREDICTION_VERIFIED,83
OUT-2026-00191,TCK-2026-00191,2025-11-09 19:38:19,UNSUBSTANTIATED_TIP,MODEL_PREDICTION_VERIFIED,78
OUT-2026-00192,TCK-2026-00192,2026-06-12 17:00:47,PREVENTIVE_DETERRENCE_ACHIEVED,NEW_CORRIDOR_DISCOVERED,85
