fir_number,station_id,station_name,district_id,district_name,fir_date,offense_section,drug_category,quantity_band,investigation_status,confidence_score
FIR-PDK-2025-0019,121,Pudukkottai Town PS 4,28,Pudukkottai,2026-05-23 17:31:52,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,97
FIR-SVG-2025-0020,125,Sivaganga Town PS 3,29,Sivaganga,2026-01-11 21:35:17,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,COMMERCIAL_QUANTITY,PENDING_TRIAL,89
FIR-MYD-2026-0021,153,Mayiladuthurai Town PS 3,35,Mayiladuthurai,2026-08-11 18:50:49,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,97
FIR-RMD-2025-0022,128,Ramanathapuram Town PS 2,30,Ramanathapuram,2025-04-29 09:56:58,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,UNDER_INVESTIGATION,88
FIR-TPR_N-2025-0023,163,Tirupathur Town PS 3,37,Tirupathur,2026-07-22 22:58:16,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,PENDING_TRIAL,99
FIR-ARI-2026-0024,111,Ariyalur Town PS 2,26,Ariyalur,2026-03-09 07:06:41,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,PENDING_TRIAL,87
FIR-TPR-2025-0025,28,Tiruppur Town PS 1,7,Tiruppur,2026-03-05 06:39:31,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,INTERMEDIATE_QUANTITY,PENDING_TRIAL,85
FIR-TPR-2025-0026,28,Tiruppur Town PS 1,7,Tiruppur,2025-01-10 19:30:09,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,CHARGESHEET_FILED,95
FIR-TSI-2026-0027,60,Tenkasi Town PS 1,15,Tenkasi,2026-01-01 21:57:47,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,90
FIR-TNJ-2026-0028,45,Thanjavur Town PS 2,12,Thanjavur,2024-12-09 22:37:17,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,87
FIR-CBE-2026-0029,7,Coimbatore Town PS 4,2,Coimbatore,2026-04-09 10:23:34,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,92
FIR-TPJ-2025-0030,18,Tiruchirappalli Town PS 1,5,Tiruchirappalli,2025-07-20 17:53:04,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,PENDING_TRIAL,86
FIR-PDK-2025-0031,122,Pudukkottai Town PS 5,28,Pudukkottai,2026-02-21 00:58:33,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,PENDING_TRIAL,86
FIR-VLP-2026-0032,86,Viluppuram Town PS 3,20,Viluppuram,2025-03-26 08:56:56,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,92
FIR-NMK-2025-0033,101,Namakkal Town PS 4,23,Namakkal,2026-06-28 06:24:03,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,90
FIR-CBE-2025-0034,5,Coimbatore Town PS 2,2,Coimbatore,2025-05-23 18:05:56,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,PENDING_TRIAL,91
FIR-NIL-2025-0035,103,Nilgiris Town PS 1,24,Nilgiris,2026-06-16 13:45:22,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,PENDING_TRIAL,96
FIR-KKI-2026-0036,54,Kanniyakumari Town PS 1,14,Kanniyakumari,2026-03-24 23:25:12,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,97
FIR-NMK-2026-0037,102,Namakkal Town PS 5,23,Namakkal,2025-02-14 19:30:41,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,PENDING_TRIAL,95
FIR-TPR-2026-0038,29,Tiruppur Town PS 2,7,Tiruppur,2025-04-09 01:03:16,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,PENDING_TRIAL,85
FIR-KCP-2026-0039,69,Kancheepuram Town PS 5,16,Kancheepuram,2026-05-15 16:18:43,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,92
FIR-VLP-2026-0040,85,Viluppuram Town PS 2,20,Viluppuram,2026-06-02 04:05:07,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,97
FIR-MDU-2026-0041,12,Madurai Town PS 3,3,Madurai,2024-12-08 23:39:58,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,SMALL_QUANTITY,PENDING_TRIAL,99
FIR-MDU-2026-0042,13,Madurai Town PS 4,3,Madurai,2025-02-08 05:18:45,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,92
FIR-CUD-2025-0043,82,Cuddalore Town PS 5,19,Cuddalore,2024-10-04 23:03:24,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,85
FIR-TLR-2025-0044,75,Tiruvallur Town PS 1,18,Tiruvallur,2026-03-14 20:36:41,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,SMALL_QUANTITY,CHARGESHEET_FILED,94
FIR-MYD-2025-0045,153,Mayiladuthurai Town PS 3,35,Mayiladuthurai,2025-11-26 18:09:14,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,PENDING_TRIAL,88
FIR-VRD-2025-0046,134,Virudhunagar Town PS 3,31,Virudhunagar,2025-05-23 06:11:10,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,UNDER_INVESTIGATION,93
FIR-KRR-2025-0047,108,Karur Town PS 2,25,Karur,2025-11-13 03:35:20,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,97
FIR-TPR-2025-0048,30,Tiruppur Town PS 3,7,Tiruppur,2026-07-04 11:59:42,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,COMMERCIAL_QUANTITY,PENDING_TRIAL,88
FIR-PDK-2026-0049,120,Pudukkottai Town PS 3,28,Pudukkottai,2025-11-12 10:02:18,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,87
FIR-TPR-2026-0050,29,Tiruppur Town PS 2,7,Tiruppur,2026-01-20 14:57:51,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,SMALL_QUANTITY,CHARGESHEET_FILED,94
FIR-VRD-2026-0051,134,Virudhunagar Town PS 3,31,Virudhunagar,2025-07-27 23:15:43,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,SMALL_QUANTITY,UNDER_INVESTIGATION,89
FIR-VLP-2026-0052,85,Viluppuram Town PS 2,20,Viluppuram,2024-10-03 10:27:04,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,UNDER_INVESTIGATION,96
FIR-KRI-2025-0053,39,Krishnagiri Town PS 3,10,Krishnagiri,2025-11-30 04:36:27,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,94
FIR-PBL-2026-0054,115,Perambalur Town PS 2,27,Perambalur,2025-03-28 13:23:44,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,85
FIR-TPR_N-2025-0055,161,Tirupathur Town PS 1,37,Tirupathur,2025-04-17 18:45:46,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,99
FIR-THI-2025-0056,140,Theni Town PS 3,32,Theni,2025-11-21 07:38:54,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,INTERMEDIATE_QUANTITY,PENDING_TRIAL,94
FIR-DPI-2026-0057,94,Dharmapuri Town PS 2,22,Dharmapuri,2026-01-26 05:03:46,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,COMMERCIAL_QUANTITY,PENDING_TRIAL,93
FIR-PDK-2025-0058,119,Pudukkottai Town PS 2,28,Pudukkottai,2025-08-06 05:14:28,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,SMALL_QUANTITY,UNDER_INVESTIGATION,93
FIR-NIL-2026-0059,106,Nilgiris Town PS 4,24,Nilgiris,2025-12-11 08:18:13,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,88
FIR-TLR-2026-0060,77,Tiruvallur Town PS 3,18,Tiruvallur,2025-03-11 11:03:19,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,UNDER_INVESTIGATION,88
FIR-RMD-2026-0061,127,Ramanathapuram Town PS 1,30,Ramanathapuram,2025-07-04 15:17:36,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,SMALL_QUANTITY,CHARGESHEET_FILED,91
FIR-CUD-2025-0062,80,Cuddalore Town PS 3,19,Cuddalore,2026-06-12 12:22:11,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,SMALL_QUANTITY,PENDING_TRIAL,92
FIR-TLR-2025-0063,77,Tiruvallur Town PS 3,18,Tiruvallur,2025-03-06 08:23:37,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,96
FIR-ARI-2025-0064,113,Ariyalur Town PS 4,26,Ariyalur,2025-10-18 20:37:49,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,99
FIR-MDU-2026-0065,13,Madurai Town PS 4,3,Madurai,2024-10-28 03:30:01,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,SMALL_QUANTITY,CHARGESHEET_FILED,88
FIR-ARI-2026-0066,113,Ariyalur Town PS 4,26,Ariyalur,2026-07-07 06:39:09,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,85
FIR-TPR_N-2026-0067,164,Tirupathur Town PS 4,37,Tirupathur,2025-01-12 12:11:29,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,UNDER_INVESTIGATION,88
FIR-KRI-2025-0068,39,Krishnagiri Town PS 3,10,Krishnagiri,2025-11-03 15:16:52,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,99
FIR-KRI-2026-0069,39,Krishnagiri Town PS 3,10,Krishnagiri,2025-12-11 08:02:24,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,SMALL_QUANTITY,PENDING_TRIAL,93
FIR-ARI-2026-0070,111,Ariyalur Town PS 2,26,Ariyalur,2025-12-08 22:33:50,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,SMALL_QUANTITY,CHARGESHEET_FILED,96
FIR-SVG-2025-0071,124,Sivaganga Town PS 2,29,Sivaganga,2026-05-21 03:43:25,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,93
FIR-TUT-2026-0072,49,Thoothukudi Town PS 2,13,Thoothukudi,2026-04-07 08:12:16,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,UNDER_INVESTIGATION,95
FIR-TPJ-2026-0073,18,Tiruchirappalli Town PS 1,5,Tiruchirappalli,2026-01-07 02:13:49,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,PENDING_TRIAL,99
FIR-TVR-2025-0074,145,Thiruvarur Town PS 5,33,Thiruvarur,2026-05-07 04:19:26,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,PENDING_TRIAL,87
FIR-RMD-2025-0075,128,Ramanathapuram Town PS 2,30,Ramanathapuram,2025-10-28 16:14:24,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,95
FIR-CUD-2025-0076,83,Cuddalore Town PS 6,19,Cuddalore,2025-07-15 15:24:20,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,UNDER_INVESTIGATION,87
FIR-TPR-2025-0077,28,Tiruppur Town PS 1,7,Tiruppur,2024-12-05 20:36:06,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,PENDING_TRIAL,95
FIR-DPI-2026-0078,97,Dharmapuri Town PS 5,22,Dharmapuri,2024-11-28 05:56:48,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,PENDING_TRIAL,89
FIR-TPR-2026-0079,29,Tiruppur Town PS 2,7,Tiruppur,2025-11-25 10:03:16,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,97
FIR-NGP-2025-0080,149,Nagapattinam Town PS 3,34,Nagapattinam,2025-07-19 03:25:29,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,PENDING_TRIAL,92
FIR-SLM-2026-0081,16,Salem Town PS 3,4,Salem,2025-02-16 17:17:07,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,99
FIR-CBE-2025-0082,5,Coimbatore Town PS 2,2,Coimbatore,2024-11-23 08:48:31,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,INTERMEDIATE_QUANTITY,PENDING_TRIAL,94
FIR-TVM-2025-0083,168,Tiruvannamalai Town PS 4,38,Tiruvannamalai,2026-01-22 06:57:14,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,89
FIR-DGL-2025-0084,40,Dindigul Town PS 1,11,Dindigul,2025-02-07 05:09:21,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,PENDING_TRIAL,91
FIR-SVG-2026-0085,126,Sivaganga Town PS 4,29,Sivaganga,2026-06-17 12:10:09,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,UNDER_INVESTIGATION,91
FIR-CBE-2025-0086,6,Coimbatore Town PS 3,2,Coimbatore,2025-02-22 00:43:37,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,PENDING_TRIAL,87
FIR-VRD-2026-0087,132,Virudhunagar Town PS 1,31,Virudhunagar,2025-08-05 20:30:17,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,93
FIR-MDU-2026-0088,13,Madurai Town PS 4,3,Madurai,2025-03-09 22:26:38,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,PENDING_TRIAL,96
FIR-MYD-2025-0089,153,Mayiladuthurai Town PS 3,35,Mayiladuthurai,2025-02-23 11:23:41,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,SMALL_QUANTITY,CHARGESHEET_FILED,90
FIR-PDK-2025-0090,120,Pudukkottai Town PS 3,28,Pudukkottai,2025-07-18 10:49:52,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,PENDING_TRIAL,86
FIR-TNJ-2026-0091,46,Thanjavur Town PS 3,12,Thanjavur,2024-12-23 12:32:46,NDPS ACT SEC 8(c)/20(b)/22,COMMERCIAL_GANJA,SMALL_QUANTITY,PENDING_TRIAL,96
FIR-ARI-2026-0092,113,Ariyalur Town PS 4,26,Ariyalur,2025-12-21 17:12:31,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,98
FIR-ARI-2026-0093,111,Ariyalur Town PS 2,26,Ariyalur,2025-09-29 04:04:49,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,98
FIR-THI-2025-0094,138,Theni Town PS 1,32,Theni,2026-06-26 03:00:50,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,98
FIR-VLP-2025-0095,84,Viluppuram Town PS 1,20,Viluppuram,2026-06-12 05:58:15,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,92
FIR-SLM-2025-0096,17,Salem Town PS 4,4,Salem,2025-08-07 23:42:19,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,CHARGESHEET_FILED,95
FIR-TVR-2025-0097,141,Thiruvarur Town PS 1,33,Thiruvarur,2024-10-27 15:09:24,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,SMALL_QUANTITY,CHARGESHEET_FILED,94
FIR-NGP-2026-0098,147,Nagapattinam Town PS 1,34,Nagapattinam,2025-02-28 10:04:51,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,99
FIR-TPR_N-2026-0099,161,Tirupathur Town PS 1,37,Tirupathur,2026-03-04 10:36:39,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,UNDER_INVESTIGATION,86
FIR-VEL-2026-0100,36,Vellore Town PS 3,9,Vellore,2025-05-09 07:23:47,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,SMALL_QUANTITY,CHARGESHEET_FILED,97
FIR-TIN-2026-0101,26,Tirunelveli Town PS 3,6,Tirunelveli,2026-01-01 23:01:40,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,CHARGESHEET_FILED,98
FIR-TPR-2025-0102,30,Tiruppur Town PS 3,7,Tiruppur,2024-11-01 07:57:04,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,85
FIR-TPR-2025-0103,30,Tiruppur Town PS 3,7,Tiruppur,2025-02-23 07:24:33,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,INTERMEDIATE_QUANTITY,PENDING_TRIAL,93
FIR-TPJ-2026-0104,23,Tiruchirappalli Town PS 6,5,Tiruchirappalli,2026-04-08 04:20:31,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,COMMERCIAL_QUANTITY,PENDING_TRIAL,96
FIR-TVM-2025-0105,167,Tiruvannamalai Town PS 3,38,Tiruvannamalai,2025-04-28 17:38:02,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,COMMERCIAL_QUANTITY,PENDING_TRIAL,91
FIR-KKI-2025-0106,54,Kanniyakumari Town PS 1,14,Kanniyakumari,2025-02-15 00:56:39,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,SMALL_QUANTITY,PENDING_TRIAL,97
FIR-TVM-2025-0107,166,Tiruvannamalai Town PS 2,38,Tiruvannamalai,2025-09-28 07:37:56,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,UNDER_INVESTIGATION,89
FIR-ARI-2025-0108,112,Ariyalur Town PS 3,26,Ariyalur,2025-12-05 21:42:14,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,90
FIR-DPI-2025-0109,94,Dharmapuri Town PS 2,22,Dharmapuri,2026-05-06 17:30:48,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,UNDER_INVESTIGATION,85
FIR-CUD-2026-0110,83,Cuddalore Town PS 6,19,Cuddalore,2024-11-03 11:19:04,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,COMMERCIAL_QUANTITY,PENDING_TRIAL,93
FIR-RMD-2026-0111,130,Ramanathapuram Town PS 4,30,Ramanathapuram,2025-02-06 05:33:04,NDPS ACT SEC 8(c)/20(b)/22,PRESCRIPTION_NARCOTICS,INTERMEDIATE_QUANTITY,UNDER_INVESTIGATION,86
FIR-VRD-2025-0112,132,Virudhunagar Town PS 1,31,Virudhunagar,2026-08-10 19:34:25,NDPS ACT SEC 8(c)/20(b)/22,SYNTHETIC_MDMA,INTERMEDIATE_QUANTITY,CHARGESHEET_FILED,89
FIR-SLM-2025-0113,15,Salem Town PS 2,4,Salem,2025-09-26 03:01:50,NDPS ACT SEC 8(c)/20(b)/22,UNKNOWN_CONTRABAND,SMALL_QUANTITY,PENDING_TRIAL,97
FIR-KCP-2025-0114,67,Kancheepuram Town PS 3,16,Kancheepuram,2025-01-21 23:39:39,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,INTERMEDIATE_QUANTITY,PENDING_TRIAL,87
FIR-RMD-2025-0115,130,Ramanathapuram Town PS 4,30,Ramanathapuram,2025-09-14 21:37:28,NDPS ACT SEC 8(c)/20(b)/22,OPIOID_ANALOGUES,SMALL_QUANTITY,UNDER_INVESTIGATION,94
FIR-CUD-2026-0116,78,Cuddalore Town PS 1,19,Cuddalore,2026-02-23 09:05:30,NDPS ACT SEC 8(c)/20(b)/22,CHEMICAL_PRECURSORS,SMALL_QUANTITY,CHARGESHEET_FILED,93
