signal_id,call_timestamp,district_id,district_name,helpline_source,request_type,drug_category,confidence_score
HL-2026-00012,2025-10-16 06:57:31,2,Coimbatore,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,81
HL-2026-00013,2024-11-30 16:29:55,32,Theni,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,SYNTHETIC_MDMA,76
HL-2026-00014,2025-08-15 03:08:39,1,Chennai,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,87
HL-2026-00015,2026-02-24 17:08:58,16,Kancheepuram,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,62
HL-2026-00016,2024-12-08 19:19:32,10,Krishnagiri,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,84
HL-2026-00017,2025-08-05 00:13:37,5,Tiruchirappalli,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,75
HL-2026-00018,2025-04-07 20:01:38,12,Thanjavur,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,88
HL-2026-00019,2026-02-06 21:49:48,3,Madurai,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,61
HL-2026-00020,2025-10-06 02:01:21,21,Kallakurichi,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,73
HL-2026-00021,2025-11-22 07:33:10,38,Tiruvannamalai,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,64
HL-2026-00022,2024-10-07 00:50:31,37,Tirupathur,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,85
HL-2026-00023,2025-08-14 08:56:49,18,Tiruvallur,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,68
HL-2026-00024,2024-11-05 00:27:26,33,Thiruvarur,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,68
HL-2026-00025,2026-05-02 00:44:54,7,Tiruppur,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,62
HL-2026-00026,2026-01-05 10:23:23,2,Coimbatore,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,83
HL-2026-00027,2025-01-31 07:42:29,11,Dindigul,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,79
HL-2026-00028,2026-01-17 03:03:13,19,Cuddalore,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,83
HL-2026-00029,2026-04-16 17:00:32,6,Tirunelveli,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,71
HL-2026-00030,2025-03-12 10:47:26,36,Ranipet,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,83
HL-2026-00031,2025-06-27 12:09:45,22,Dharmapuri,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,88
HL-2026-00032,2026-07-13 16:33:51,17,Chengalpattu,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,87
HL-2026-00033,2025-12-26 15:17:03,9,Vellore,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,88
HL-2026-00034,2025-03-24 19:18:40,34,Nagapattinam,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,68
HL-2026-00035,2026-05-12 01:23:05,20,Viluppuram,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,68
HL-2026-00036,2026-04-12 14:23:13,13,Thoothukudi,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,85
HL-2026-00037,2025-04-23 03:19:25,1,Chennai,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,75
HL-2026-00038,2026-05-22 17:51:05,29,Sivaganga,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,80
HL-2026-00039,2026-07-08 07:09:17,15,Tenkasi,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,85
HL-2026-00040,2025-11-12 22:12:46,26,Ariyalur,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,84
HL-2026-00041,2025-03-13 20:03:37,27,Perambalur,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,61
HL-2026-00042,2024-12-03 11:48:21,35,Mayiladuthurai,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,83
HL-2026-00043,2026-04-16 14:17:19,6,Tirunelveli,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,74
HL-2026-00044,2025-10-31 04:30:09,20,Viluppuram,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,81
HL-2026-00045,2024-12-25 18:02:18,1,Chennai,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,82
HL-2026-00046,2024-11-17 07:08:43,7,Tiruppur,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,85
HL-2026-00047,2025-10-22 01:52:31,26,Ariyalur,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,67
HL-2026-00048,2025-05-30 20:43:51,21,Kallakurichi,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,61
HL-2026-00049,2026-04-04 21:45:22,34,Nagapattinam,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,62
HL-2026-00050,2026-03-31 01:26:37,18,Tiruvallur,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,71
HL-2026-00051,2025-12-01 18:23:07,19,Cuddalore,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,67
HL-2026-00052,2026-07-26 04:00:34,7,Tiruppur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,69
HL-2026-00053,2024-12-04 21:11:47,3,Madurai,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,87
HL-2026-00054,2025-03-14 13:55:34,10,Krishnagiri,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,70
HL-2026-00055,2025-06-11 18:16:42,31,Virudhunagar,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,82
HL-2026-00056,2025-06-30 04:31:34,30,Ramanathapuram,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,71
HL-2026-00057,2025-01-04 20:38:01,37,Tirupathur,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,61
HL-2026-00058,2026-08-20 01:58:07,26,Ariyalur,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,69
HL-2026-00059,2025-03-14 07:47:33,3,Madurai,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,71
HL-2026-00060,2026-01-03 10:13:44,25,Karur,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,87
HL-2026-00061,2026-07-19 09:06:58,31,Virudhunagar,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,70
HL-2026-00062,2025-05-06 18:59:52,12,Thanjavur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,70
HL-2026-00063,2026-06-24 17:36:23,14,Kanniyakumari,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,64
HL-2026-00064,2026-03-06 13:09:07,15,Tenkasi,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,83
HL-2026-00065,2025-12-30 05:50:45,14,Kanniyakumari,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,79
HL-2026-00066,2025-04-28 15:36:49,33,Thiruvarur,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,79
HL-2026-00067,2026-08-19 22:20:57,31,Virudhunagar,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,71
HL-2026-00068,2025-06-10 22:20:09,9,Vellore,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,61
HL-2026-00069,2025-08-23 01:36:47,31,Virudhunagar,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,72
HL-2026-00070,2026-06-13 23:44:45,12,Thanjavur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,66
HL-2026-00071,2026-04-01 10:42:12,33,Thiruvarur,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,68
HL-2026-00072,2026-07-15 08:16:25,37,Tirupathur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,82
HL-2026-00073,2026-01-27 04:58:11,7,Tiruppur,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,65
HL-2026-00074,2025-04-05 14:20:18,32,Theni,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,70
HL-2026-00075,2025-08-09 08:15:10,30,Ramanathapuram,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,80
HL-2026-00076,2025-11-07 17:18:31,4,Salem,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,67
HL-2026-00077,2025-08-16 12:16:06,20,Viluppuram,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,80
HL-2026-00078,2026-02-24 00:59:46,5,Tiruchirappalli,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,78
HL-2026-00079,2025-06-07 23:36:50,6,Tirunelveli,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,76
HL-2026-00080,2026-08-10 13:53:46,30,Ramanathapuram,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,SYNTHETIC_MDMA,67
HL-2026-00081,2024-12-12 14:43:57,6,Tirunelveli,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,87
HL-2026-00082,2026-01-08 23:56:13,16,Kancheepuram,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,65
HL-2026-00083,2025-05-24 20:56:48,1,Chennai,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,62
HL-2026-00084,2024-11-27 16:19:23,38,Tiruvannamalai,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,61
HL-2026-00085,2025-03-08 00:18:25,5,Tiruchirappalli,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,65
HL-2026-00086,2024-10-09 15:18:45,14,Kanniyakumari,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,78
HL-2026-00087,2026-03-31 02:48:17,15,Tenkasi,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,60
HL-2026-00088,2024-12-02 08:40:45,6,Tirunelveli,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,PRESCRIPTION_NARCOTICS,66
HL-2026-00089,2025-03-11 15:01:58,20,Viluppuram,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,SYNTHETIC_MDMA,79
HL-2026-00090,2025-09-25 04:49:30,2,Coimbatore,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,65
HL-2026-00091,2025-11-03 04:01:21,30,Ramanathapuram,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,81
HL-2026-00092,2026-02-04 20:26:18,30,Ramanathapuram,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,64
HL-2026-00093,2026-08-06 12:15:00,28,Pudukkottai,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,80
HL-2026-00094,2025-03-29 06:24:14,17,Chengalpattu,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,88
HL-2026-00095,2025-07-09 07:37:41,18,Tiruvallur,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,83
HL-2026-00096,2026-01-12 09:46:41,35,Mayiladuthurai,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,62
HL-2026-00097,2026-07-14 10:27:14,13,Thoothukudi,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,PRESCRIPTION_NARCOTICS,61
HL-2026-00098,2025-05-14 17:31:19,9,Vellore,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,68
HL-2026-00099,2024-11-24 01:13:11,6,Tirunelveli,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,69
HL-2026-00100,2024-12-16 22:30:21,10,Krishnagiri,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,73
HL-2026-00101,2026-08-01 18:24:46,5,Tiruchirappalli,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,73
HL-2026-00102,2026-04-11 18:02:34,16,Kancheepuram,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,72
HL-2026-00103,2025-09-28 18:55:10,30,Ramanathapuram,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,69
HL-2026-00104,2024-12-16 13:36:55,22,Dharmapuri,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,88
HL-2026-00105,2024-10-16 03:24:48,21,Kallakurichi,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,87
HL-2026-00106,2025-10-26 10:34:50,15,Tenkasi,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,67
HL-2026-00107,2026-02-24 15:50:47,37,Tirupathur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,86
HL-2026-00108,2025-07-10 00:23:01,5,Tiruchirappalli,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,69
HL-2026-00109,2026-04-17 19:13:14,38,Tiruvannamalai,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,86
HL-2026-00110,2026-03-15 14:53:25,23,Namakkal,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,84
HL-2026-00111,2024-09-29 09:16:33,25,Karur,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,62
HL-2026-00112,2024-10-21 09:02:47,19,Cuddalore,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,PRESCRIPTION_NARCOTICS,78
HL-2026-00113,2026-03-31 21:45:53,31,Virudhunagar,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,71
HL-2026-00114,2025-01-02 15:44:56,15,Tenkasi,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,81
HL-2026-00115,2024-11-16 22:17:53,36,Ranipet,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,84
HL-2026-00116,2026-04-30 06:25:56,12,Thanjavur,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,63
HL-2026-00117,2024-11-15 10:51:06,26,Ariyalur,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,81
HL-2026-00118,2025-12-09 05:30:40,17,Chengalpattu,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,82
HL-2026-00119,2024-10-28 08:50:28,17,Chengalpattu,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,60
HL-2026-00120,2026-06-08 03:12:25,37,Tirupathur,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,65
HL-2026-00121,2025-07-25 00:51:47,24,Nilgiris,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,63
HL-2026-00122,2025-07-28 18:36:05,27,Perambalur,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,73
HL-2026-00123,2025-08-24 02:13:27,1,Chennai,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,68
HL-2026-00124,2025-11-13 20:16:32,16,Kancheepuram,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,79
HL-2026-00125,2025-01-31 19:44:36,23,Namakkal,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,76
HL-2026-00126,2025-04-22 17:32:01,24,Nilgiris,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,82
HL-2026-00127,2026-07-27 11:14:09,35,Mayiladuthurai,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,83
HL-2026-00128,2025-08-02 04:02:11,9,Vellore,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,67
HL-2026-00129,2026-08-05 03:31:54,31,Virudhunagar,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,88
HL-2026-00130,2025-07-22 17:52:25,36,Ranipet,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,SYNTHETIC_MDMA,88
HL-2026-00131,2025-05-06 08:22:00,31,Virudhunagar,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,76
HL-2026-00132,2024-11-28 09:48:09,9,Vellore,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,87
HL-2026-00133,2025-06-03 07:28:32,28,Pudukkottai,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,62
HL-2026-00134,2025-05-27 16:28:14,19,Cuddalore,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,COMMERCIAL_GANJA,85
HL-2026-00135,2026-07-24 07:51:14,4,Salem,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,SYNTHETIC_MDMA,76
HL-2026-00136,2025-08-08 02:22:06,19,Cuddalore,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,85
HL-2026-00137,2026-03-15 08:06:27,38,Tiruvannamalai,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,68
HL-2026-00138,2025-12-27 19:58:27,3,Madurai,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,68
HL-2026-00139,2026-08-04 10:12:10,6,Tirunelveli,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,82
HL-2026-00140,2025-11-01 18:29:23,20,Viluppuram,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,81
HL-2026-00141,2025-04-07 01:38:21,34,Nagapattinam,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,76
HL-2026-00142,2026-01-14 14:24:27,27,Perambalur,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,SYNTHETIC_MDMA,78
HL-2026-00143,2026-03-05 05:52:13,34,Nagapattinam,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,OPIOID_ANALOGUES,80
HL-2026-00144,2025-12-31 23:53:37,1,Chennai,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,PRESCRIPTION_NARCOTICS,61
HL-2026-00145,2025-09-11 08:10:58,37,Tirupathur,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,79
HL-2026-00146,2025-10-06 10:49:17,23,Namakkal,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,81
HL-2026-00147,2026-05-19 11:33:32,9,Vellore,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,UNKNOWN_CONTRABAND,82
HL-2026-00148,2025-11-10 22:46:49,3,Madurai,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,86
HL-2026-00149,2025-01-04 02:28:06,24,Nilgiris,112_EMERGENCY_DISPATCH,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,74
HL-2026-00150,2025-08-16 18:28:39,4,Salem,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,67
HL-2026-00151,2025-09-03 07:17:17,19,Cuddalore,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,62
HL-2026-00152,2025-11-03 15:33:27,1,Chennai,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,74
HL-2026-00153,2026-05-23 01:47:49,16,Kancheepuram,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,69
HL-2026-00154,2026-04-12 19:16:07,2,Coimbatore,1098_CHILDLINE_REFERRAL,YOUTH_COUNSELLING_REQUEST,UNKNOWN_CONTRABAND,60
HL-2026-00155,2025-04-25 21:25:32,6,Tirunelveli,112_EMERGENCY_DISPATCH,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,67
HL-2026-00156,2026-04-19 10:31:23,30,Ramanathapuram,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,COMMERCIAL_GANJA,68
HL-2026-00157,2026-04-29 07:09:59,28,Pudukkottai,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,77
HL-2026-00158,2026-04-27 20:14:08,17,Chengalpattu,10583_STATE_HELPLINE,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,77
HL-2026-00159,2025-12-14 20:47:08,15,Tenkasi,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,CHEMICAL_PRECURSORS,80
HL-2026-00160,2026-01-20 11:38:58,9,Vellore,10583_STATE_HELPLINE,YOUTH_COUNSELLING_REQUEST,COMMERCIAL_GANJA,84
HL-2026-00161,2025-05-17 23:37:07,10,Krishnagiri,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,UNKNOWN_CONTRABAND,80
HL-2026-00162,2026-07-15 22:54:00,13,Thoothukudi,112_EMERGENCY_DISPATCH,DE_ADDICTION_SUPPORT,PRESCRIPTION_NARCOTICS,73
HL-2026-00163,2024-12-21 05:20:09,19,Cuddalore,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,SYNTHETIC_MDMA,81
HL-2026-00164,2025-01-16 02:55:06,35,Mayiladuthurai,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,71
HL-2026-00165,2025-05-14 02:51:19,1,Chennai,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,78
HL-2026-00166,2026-04-15 16:24:53,31,Virudhunagar,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,CHEMICAL_PRECURSORS,83
HL-2026-00167,2026-02-11 04:42:34,9,Vellore,10583_STATE_HELPLINE,COMMUNITY_SUSPICION,OPIOID_ANALOGUES,62
HL-2026-00168,2026-06-29 02:53:17,33,Thiruvarur,1098_CHILDLINE_REFERRAL,COMMUNITY_SUSPICION,CHEMICAL_PRECURSORS,68
HL-2026-00169,2025-07-06 18:19:36,14,Kanniyakumari,1098_CHILDLINE_REFERRAL,DE_ADDICTION_SUPPORT,OPIOID_ANALOGUES,85
